State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Tennessee,Anderson,74.34,-0.0000202743,0.0000175367,0.0000050212,0.0000235801,0.0000215946,0.0000217724
Tennessee,Bedford,92.79,-0.0000178541,0.0000185902,0.0000147253,0.0000176035,0.0000167299,0.0000161344
Tennessee,Benton,64.10,-0.0000155292,0.0000097304,0.0000092584,0.0000111552,0.0000173318,0.0000026806
Tennessee,Bledsoe,77.49,-0.0000219094,0.0000212810,0.0000012787,0.0000220048,0.0000227229,0.0000178553
Tennessee,Blount,73.95,-0.0000103303,0.0000098014,0.0000055415,0.0000119716,0.0000134335,0.0000093358
Tennessee,Bradley,53.48,-0.0000154981,0.0000090058,0.0000050302,0.0000120632,0.0000059646,0.0000181702
Tennessee,Campbell,72.56,-0.0000281095,0.0000246728,0.0000005313,0.0000311824,0.0000303412,0.0000262512
Tennessee,Cannon,76.11,-0.0000241132,0.0000300659,0.0000093230,0.0000290099,0.0000328949,0.0000203160
Tennessee,Carroll,62.89,-0.0000135966,0.0000070674,0.0000150466,0.0000069302,0.0000104144,0.0000031026
Tennessee,Carter,42.28,-0.0000169855,-0.0000026155,0.0000129200,0.0000173702,0.0000080111,0.0000271114
Tennessee,Cheatham,58.92,-0.0000167269,0.0000171011,0.0000025358,0.0000179037,0.0000251836,0.0000070891
Tennessee,Chester,58.31,-0.0000131059,0.0000046330,0.0000133724,0.0000045207,0.0000124124,-0.0000036761
Tennessee,Claiborne,63.17,-0.0000271482,0.0000207894,-0.0000020391,0.0000305199,0.0000343252,0.0000211575
Tennessee,Clay,81.54,-0.0000263182,0.0000287604,0.0000129198,0.0000311089,0.0000322296,0.0000261800
Tennessee,Cocke,42.21,-0.0000130378,0.0000086201,0.0000002455,0.0000136532,0.0000235046,0.0000002863
Tennessee,Coffee,80.84,-0.0000199350,0.0000238239,0.0000138611,0.0000219656,0.0000257939,0.0000142931
Tennessee,Crockett,39.01,-0.0000098000,0.0000036705,0.0000193867,0.0000037572,0.0000053071,0.0000026447
Tennessee,Cumberland,70.54,-0.0000306896,0.0000284572,-0.0000030353,0.0000296894,0.0000344116,0.0000200827
Tennessee,Davidson,69.91,-0.0000202543,0.0000218199,0.0000018433,0.0000215334,0.0000253246,0.0000138876
Tennessee,Decatur,62.38,-0.0000158707,0.0000062653,0.0000143182,0.0000081764,0.0000133024,0.0000026088
Tennessee,DeKalb,77.20,-0.0000287567,0.0000328792,0.0000046611,0.0000323957,0.0000345577,0.0000261138
Tennessee,Dickson,51.08,-0.0000142423,0.0000101972,0.0000048580,0.0000136832,0.0000222734,0.0000017432
Tennessee,Dyer,63.69,-0.0000135969,0.0000113345,0.0000197628,0.0000097858,0.0000094732,0.0000090595
Tennessee,Fayette,63.01,-0.0000176769,0.0000104553,0.0000200934,0.0000087294,0.0000132627,0.0000029236
Tennessee,Fentress,77.00,-0.0000330178,0.0000331129,0.0000027917,0.0000327625,0.0000349818,0.0000257982
Tennessee,Franklin,84.45,-0.0000165941,0.0000166274,0.0000161488,0.0000163575,0.0000195951,0.0000097761
Tennessee,Gibson,49.20,-0.0000105741,0.0000064371,0.0000176430,0.0000052316,0.0000063384,0.0000043718
Tennessee,Giles,71.24,-0.0000100530,0.0000085275,0.0000057320,0.0000061498,0.0000059680,0.0000064725
Tennessee,Grainger,58.53,-0.0000190632,0.0000131401,0.0000102605,0.0000213082,0.0000286867,0.0000101389
Tennessee,Greene,40.69,-0.0000135131,0.0000126735,-0.0000005532,0.0000169054,0.0000318112,-0.0000031510
Tennessee,Grundy,72.29,-0.0000166397,0.0000166449,0.0000051599,0.0000177687,0.0000206387,0.0000123824
Tennessee,Hamblen,48.89,-0.0000137495,0.0000117412,0.0000044961,0.0000164017,0.0000263418,0.0000027093
Tennessee,Hamilton,43.62,-0.0000095653,-0.0000006618,0.0000087949,0.0000032337,-0.0000014912,0.0000084661
Tennessee,Hancock,51.74,-0.0000166621,0.0000126295,0.0000026813,0.0000209406,0.0000284938,0.0000095547
Tennessee,Hardeman,56.58,-0.0000168473,0.0000053470,0.0000178578,0.0000061035,0.0000182152,-0.0000079078
Tennessee,Hardin,58.37,-0.0000165369,0.0000068179,0.0000112670,0.0000081048,0.0000156939,-0.0000006269
Tennessee,Hawkins,47.03,-0.0000131147,0.0000093228,0.0000052367,0.0000159816,0.0000256377,0.0000028092
Tennessee,Haywood,32.01,-0.0000127161,0.0000023120,0.0000300965,0.0000034815,0.0000074854,-0.0000002367
Tennessee,Henderson,48.79,-0.0000134894,0.0000035304,0.0000165144,0.0000051113,0.0000101199,0.0000001489
Tennessee,Henry,60.71,-0.0000175625,0.0000118994,0.0000094478,0.0000136713,0.0000215705,0.0000026913
Tennessee,Hickman,61.09,-0.0000115984,0.0000076844,0.0000060738,0.0000088082,0.0000138549,0.0000016881
Tennessee,Houston,52.43,-0.0000166869,0.0000129767,0.0000054837,0.0000159041,0.0000258029,0.0000017200
Tennessee,Humphreys,54.24,-0.0000141125,0.0000081734,0.0000077485,0.0000108539,0.0000187618,0.0000003235
Tennessee,Jackson,76.57,-0.0000295766,0.0000331274,0.0000031211,0.0000336013,0.0000352321,0.0000279877
Tennessee,Jefferson,57.31,-0.0000129494,0.0000117322,0.0000081574,0.0000154293,0.0000226879,0.0000055794
Tennessee,Johnson,51.86,-0.0000193730,-0.0000025482,0.0000093753,0.0000187782,0.0000145842,0.0000228176
Tennessee,Knox,74.14,-0.0000156356,0.0000130205,0.0000057634,0.0000162966,0.0000177775,0.0000123255
Tennessee,Lake,90.76,-0.0000147449,0.0000149699,0.0000105712,0.0000137660,0.0000145044,0.0000108727
Tennessee,Lauderdale,56.16,-0.0000148580,0.0000122492,0.0000264244,0.0000112283,0.0000098221,0.0000120202
Tennessee,Lawrence,70.10,-0.0000119553,0.0000102077,0.0000027446,0.0000087221,0.0000104005,0.0000062578
Tennessee,Lewis,70.41,-0.0000112725,0.0000083462,0.0000051175,0.0000078027,0.0000106770,0.0000043746
Tennessee,Lincoln,80.79,-0.0000136157,0.0000119665,0.0000080235,0.0000112389,0.0000110979,0.0000091970
Tennessee,Loudon,88.16,-0.0000163514,0.0000154373,0.0000104455,0.0000158016,0.0000137885,0.0000164800
Tennessee,McMinn,69.85,-0.0000208271,0.0000196766,0.0000051042,0.0000211494,0.0000158177,0.0000244907
Tennessee,McNairy,53.71,-0.0000154891,0.0000068150,0.0000113300,0.0000070129,0.0000176819,-0.0000059331
Tennessee,Macon,72.68,-0.0000244705,0.0000290290,0.0000108097,0.0000300355,0.0000351605,0.0000206821
Tennessee,Madison,39.79,-0.0000101364,0.0000040030,0.0000187691,0.0000030819,0.0000070981,-0.0000003798
Tennessee,Marion,70.85,-0.0000121600,0.0000062969,0.0000096052,0.0000090803,0.0000089309,0.0000075465
Tennessee,Marshall,85.93,-0.0000122414,0.0000131326,0.0000144158,0.0000112918,0.0000087248,0.0000127457
Tennessee,Maury,79.95,-0.0000112628,0.0000094872,0.0000061145,0.0000094967,0.0000100516,0.0000078319
Tennessee,Meigs,72.11,-0.0000220231,0.0000179623,0.0000049087,0.0000191907,0.0000139774,0.0000216837
Tennessee,Monroe,83.42,-0.0000146287,0.0000174076,0.0000086044,0.0000187817,0.0000170869,0.0000189223
Tennessee,Montgomery,53.63,-0.0000201810,0.0000195410,0.0000039501,0.0000215540,0.0000333716,0.0000045354
Tennessee,Moore,91.51,-0.0000163969,0.0000170708,0.0000167629,0.0000162641,0.0000182310,0.0000116190
Tennessee,Morgan,79.29,-0.0000265397,0.0000298720,0.0000027043,0.0000291300,0.0000285929,0.0000250955
Tennessee,Obion,80.67,-0.0000111583,0.0000121167,0.0000157005,0.0000116561,0.0000142975,0.0000066971
Tennessee,Overton,74.00,-0.0000296505,0.0000323004,0.0000021600,0.0000335334,0.0000358918,0.0000270391
Tennessee,Perry,68.17,-0.0000151820,0.0000086490,0.0000112973,0.0000092859,0.0000140634,0.0000033077
Tennessee,Pickett,77.14,-0.0000274955,0.0000278048,0.0000085430,0.0000312165,0.0000328028,0.0000257933
Tennessee,Polk,79.53,-0.0000209014,0.0000242395,0.0000032736,0.0000234952,0.0000222862,0.0000214992
Tennessee,Putnam,81.34,-0.0000312829,0.0000359391,-0.0000057957,0.0000361321,0.0000352993,0.0000327970
Tennessee,Rhea,73.84,-0.0000237789,0.0000194169,0.0000033511,0.0000220984,0.0000206428,0.0000202567
Tennessee,Roane,85.88,-0.0000212223,0.0000210352,0.0000096539,0.0000221794,0.0000201033,0.0000210945
Tennessee,Robertson,64.48,-0.0000214579,0.0000240246,0.0000063667,0.0000247032,0.0000323951,0.0000129988
Tennessee,Rutherford,78.79,-0.0000248051,0.0000283066,0.0000118997,0.0000273368,0.0000309719,0.0000185867
Tennessee,Scott,76.94,-0.0000301714,0.0000286176,0.0000031481,0.0000324913,0.0000303635,0.0000294450
Tennessee,Sequatchie,66.98,-0.0000151223,0.0000081271,0.0000056947,0.0000127313,0.0000123748,0.0000115181
Tennessee,Sevier,43.60,-0.0000083820,0.0000052174,0.0000015218,0.0000137805,0.0000195044,0.0000050469
Tennessee,Shelby,81.29,-0.0000249104,0.0000244071,0.0000126160,0.0000202432,0.0000174659,0.0000221025
Tennessee,Smith,68.94,-0.0000274107,0.0000323207,0.0000010599,0.0000312980,0.0000368309,0.0000203584
Tennessee,Stewart,53.66,-0.0000178755,0.0000141546,0.0000069047,0.0000170188,0.0000275126,0.0000021047
Tennessee,Sullivan,74.19,-0.0000160157,0.0000084353,0.0000157326,0.0000191220,0.0000167848,0.0000198897
Tennessee,Sumner,69.49,-0.0000248879,0.0000285521,0.0000099581,0.0000294279,0.0000361683,0.0000182469
Tennessee,Tipton,84.60,-0.0000209825,0.0000188894,0.0000196363,0.0000157186,0.0000121819,0.0000184436
Tennessee,Trousdale,70.43,-0.0000266444,0.0000318577,0.0000071895,0.0000308685,0.0000373457,0.0000197557
Tennessee,Unicoi,49.45,-0.0000188659,0.0000034949,0.0000011862,0.0000206514,0.0000232618,0.0000137618
Tennessee,Union,60.54,-0.0000182018,0.0000172024,-0.0000004410,0.0000260426,0.0000290154,0.0000181579
Tennessee,Van Buren,76.21,-0.0000261902,0.0000267514,0.0000034513,0.0000277726,0.0000294684,0.0000217687
Tennessee,Warren,79.45,-0.0000243147,0.0000285090,0.0000057792,0.0000264771,0.0000286680,0.0000200454
Tennessee,Washington,70.49,-0.0000184320,0.0000129745,0.0000078480,0.0000208880,0.0000222486,0.0000165407
Tennessee,Wayne,73.47,-0.0000151986,0.0000123312,0.0000079871,0.0000116158,0.0000159048,0.0000055520
Tennessee,Weakley,70.41,-0.0000131859,0.0000083447,0.0000159968,0.0000101327,0.0000140455,0.0000039335
Tennessee,White,77.81,-0.0000297099,0.0000344571,-0.0000006547,0.0000335508,0.0000340607,0.0000291611
Tennessee,Williamson,94.14,-0.0000127173,0.0000132347,0.0000119673,0.0000138407,0.0000139524,0.0000115206
Tennessee,Wilson,70.03,-0.0000279898,0.0000329551,0.0000031084,0.0000319719,0.0000375916,0.0000208835
