State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Alabama,Autauga,66.49,-0.0000234771,0.0000143529,0.0000148404,0.0000149312,0.0000105299,0.0000201522
Alabama,Baldwin,40.86,-0.0000091370,-0.0000035270,-0.0000014959,-0.0000040999,-0.0000057728,-0.0000005406
Alabama,Barbour,56.28,-0.0000322718,0.0000203300,0.0000079094,0.0000194864,0.0000237302,0.0000167412
Alabama,Bibb,85.06,-0.0000254764,0.0000233074,0.0000204387,0.0000202446,0.0000242197,0.0000136967
Alabama,Blount,64.65,-0.0000254744,0.0000233296,0.0000077600,0.0000207779,0.0000113806,0.0000289671
Alabama,Bullock,52.65,-0.0000346065,0.0000207092,0.0000040332,0.0000214372,0.0000222502,0.0000220446
Alabama,Butler,76.56,-0.0000218927,0.0000185830,0.0000123509,0.0000169714,0.0000141409,0.0000185654
Alabama,Calhoun,79.77,-0.0000281550,0.0000264372,0.0000128919,0.0000244935,0.0000248873,0.0000208058
Alabama,Chambers,47.12,-0.0000232094,0.0000168194,0.0000033045,0.0000169489,0.0000298313,0.0000013647
Alabama,Cherokee,74.96,-0.0000261901,0.0000219999,0.0000109254,0.0000222830,0.0000260639,0.0000138562
Alabama,Chilton,84.47,-0.0000223395,0.0000192501,0.0000179938,0.0000183332,0.0000194784,0.0000150422
Alabama,Choctaw,57.54,-0.0000230016,0.0000093891,0.0000188637,0.0000096104,0.0000136643,0.0000071289
Alabama,Clarke,39.13,-0.0000182992,0.0000020691,0.0000140343,0.0000034462,0.0000062116,0.0000005209
Alabama,Clay,72.26,-0.0000290411,0.0000253089,0.0000100437,0.0000230082,0.0000280633,0.0000149593
Alabama,Cleburne,63.08,-0.0000256203,0.0000194355,0.0000150280,0.0000211635,0.0000308298,0.0000070991
Alabama,Coffee,65.95,-0.0000253269,0.0000187967,0.0000116399,0.0000160929,0.0000168901,0.0000148152
Alabama,Colbert,67.72,-0.0000172519,0.0000159441,0.0000109145,0.0000159608,0.0000217485,0.0000063668
Alabama,Conecuh,52.39,-0.0000157967,0.0000082882,0.0000087591,0.0000057868,0.0000048058,0.0000065600
Alabama,Coosa,78.26,-0.0000252734,0.0000219834,0.0000145824,0.0000202039,0.0000226512,0.0000152952
Alabama,Covington,61.35,-0.0000189720,0.0000126267,0.0000097094,0.0000101395,0.0000091726,0.0000102331
Alabama,Crenshaw,80.92,-0.0000236203,0.0000227391,0.0000123703,0.0000196221,0.0000173686,0.0000207026
Alabama,Cullman,56.17,-0.0000199108,0.0000112484,0.0000079355,0.0000109840,0.0000106803,0.0000108545
Alabama,Dale,52.10,-0.0000284328,0.0000166234,0.0000071883,0.0000147383,0.0000175557,0.0000129787
Alabama,Dallas,49.61,-0.0000227138,0.0000073454,0.0000144228,0.0000089104,0.0000042952,0.0000163095
Alabama,DeKalb,73.79,-0.0000207817,0.0000164606,0.0000080789,0.0000181323,0.0000150044,0.0000193413
Alabama,Elmore,65.80,-0.0000265480,0.0000191242,0.0000105512,0.0000184299,0.0000190310,0.0000173431
Alabama,Escambia,25.58,-0.0000130761,0.0000037503,0.0000020604,0.0000010849,0.0000021541,0.0000007190
Alabama,Etowah,74.18,-0.0000272549,0.0000275803,0.0000139198,0.0000250250,0.0000171271,0.0000312723
Alabama,Fayette,66.33,-0.0000329353,0.0000232956,0.0000149201,0.0000225169,0.0000237037,0.0000194789
Alabama,Franklin,72.70,-0.0000204300,0.0000182860,0.0000106895,0.0000177267,0.0000224342,0.0000091502
Alabama,Geneva,40.25,-0.0000196385,0.0000072876,0.0000054844,0.0000067525,0.0000085968,0.0000057301
Alabama,Greene,74.18,-0.0000260805,0.0000172125,0.0000271068,0.0000159406,0.0000179480,0.0000131180
Alabama,Hale,77.86,-0.0000245652,0.0000184458,0.0000208628,0.0000169434,0.0000132875,0.0000201949
Alabama,Henry,49.58,-0.0000275801,0.0000161506,0.0000037614,0.0000146544,0.0000226534,0.0000066871
Alabama,Houston,50.77,-0.0000233534,0.0000145729,0.0000034762,0.0000121707,0.0000176610,0.0000074890
Alabama,Jackson,70.36,-0.0000195936,0.0000137041,0.0000098108,0.0000152399,0.0000167340,0.0000109191
Alabama,Jefferson,65.75,-0.0000231537,0.0000148916,0.0000132219,0.0000147317,0.0000132445,0.0000154161
Alabama,Lamar,65.35,-0.0000318900,0.0000227924,0.0000138699,0.0000211446,0.0000259754,0.0000141855
Alabama,Lauderdale,66.54,-0.0000162492,0.0000128572,0.0000075690,0.0000137564,0.0000181948,0.0000060028
Alabama,Lawrence,68.83,-0.0000191350,0.0000142364,0.0000094178,0.0000133715,0.0000144048,0.0000104375
Alabama,Lee,56.20,-0.0000254753,0.0000168368,-0.0000069418,0.0000165243,0.0000268345,0.0000047229
Alabama,Limestone,73.72,-0.0000138547,0.0000106338,0.0000078047,0.0000106283,0.0000099833,0.0000099612
Alabama,Lowndes,65.61,-0.0000241119,0.0000163125,0.0000118132,0.0000158220,0.0000106462,0.0000219209
Alabama,Macon,49.18,-0.0000312485,0.0000186193,0.0000009801,0.0000183319,0.0000239436,0.0000125735
