State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Arkansas,Arkansas,72.01,-0.0000280613,0.0000307051,0.0000006800,0.0000250440,0.0000249155,0.0000225526
Arkansas,Ashley,49.18,-0.0000158310,0.0000162612,-0.0000011870,0.0000148195,0.0000270667,0.0000000895
Arkansas,Baxter,50.09,-0.0000021137,0.0000033443,0.0000048273,0.0000065532,0.0000098643,0.0000002990
Arkansas,Benton,74.67,-0.0000215135,0.0000204631,0.0000081530,0.0000240743,0.0000262525,0.0000179431
Arkansas,Boone,74.73,-0.0000118961,0.0000100175,0.0000043752,0.0000143486,0.0000143850,0.0000112655
Arkansas,Bradley,49.41,-0.0000176859,0.0000190830,-0.0000004606,0.0000181446,0.0000315219,0.0000012392
Arkansas,Calhoun,58.10,-0.0000209993,0.0000238420,0.0000012332,0.0000226729,0.0000329083,0.0000093061
Arkansas,Carroll,72.54,-0.0000173626,0.0000192549,0.0000074537,0.0000219610,0.0000246316,0.0000153270
Arkansas,Chicot,70.14,-0.0000223118,0.0000238180,0.0000038785,0.0000208029,0.0000267608,0.0000118001
Arkansas,Clark,63.51,-0.0000262354,0.0000253476,-0.0000029176,0.0000231181,0.0000323867,0.0000115918
Arkansas,Clay,80.18,-0.0000118938,0.0000135015,0.0000133378,0.0000105023,0.0000153790,0.0000021093
Arkansas,Cleburne,80.35,-0.0000185972,0.0000207789,0.0000079815,0.0000201989,0.0000221671,0.0000144336
Arkansas,Cleveland,62.57,-0.0000198806,0.0000224180,-0.0000002735,0.0000199516,0.0000274291,0.0000107237
Arkansas,Columbia,67.33,-0.0000266604,0.0000325993,0.0000085807,0.0000292917,0.0000391979,0.0000153853
Arkansas,Conway,62.76,-0.0000103366,0.0000087795,0.0000069033,0.0000096218,0.0000145596,0.0000018989
Arkansas,Craighead,72.49,-0.0000176006,0.0000180734,0.0000103630,0.0000173009,0.0000226384,0.0000077142
Arkansas,Crawford,72.57,-0.0000123502,0.0000198708,0.0000066428,0.0000220302,0.0000239830,0.0000175940
Arkansas,Crittenden,83.92,-0.0000308556,0.0000335492,0.0000177220,0.0000284992,0.0000304000,0.0000238851
Arkansas,Cross,80.35,-0.0000340558,0.0000412369,0.0000203389,0.0000325989,0.0000382668,0.0000223178
Arkansas,Dallas,69.43,-0.0000279868,0.0000247255,-0.0000013406,0.0000222846,0.0000284107,0.0000140865
Arkansas,Desha,72.75,-0.0000256422,0.0000317989,0.0000042667,0.0000254413,0.0000265349,0.0000210756
Arkansas,Drew,62.07,-0.0000203853,0.0000215306,0.0000035119,0.0000191691,0.0000279321,0.0000075668
Arkansas,Faulkner,72.49,-0.0000229707,0.0000199571,0.0000104502,0.0000191326,0.0000252784,0.0000093824
Arkansas,Franklin,47.06,-0.0000063088,0.0000070720,0.0000074210,0.0000158230,0.0000232378,0.0000045963
Arkansas,Fulton,56.37,-0.0000102930,0.0000052955,0.0000042679,0.0000118863,0.0000147992,0.0000060589
Arkansas,Garland,51.12,-0.0000184541,0.0000144840,-0.0000016980,0.0000160227,0.0000263968,0.0000022140
Arkansas,Grant,66.96,-0.0000272030,0.0000230383,-0.0000022646,0.0000196513,0.0000244970,0.0000138004
Arkansas,Greene,73.10,-0.0000139231,0.0000148322,0.0000134280,0.0000128139,0.0000190894,0.0000027884
Arkansas,Hempstead,48.78,-0.0000235936,0.0000208175,0.0000109136,0.0000207477,0.0000420480,-0.0000067959
Arkansas,Hot Spring,65.03,-0.0000248268,0.0000214011,-0.0000024270,0.0000182763,0.0000263566,0.0000080415
Arkansas,Howard,42.71,-0.0000196050,0.0000147049,0.0000057419,0.0000171934,0.0000370523,-0.0000091816
Arkansas,Independence,79.82,-0.0000188569,0.0000212681,0.0000087990,0.0000213746,0.0000233332,0.0000159591
Arkansas,Izard,72.18,-0.0000114344,0.0000162610,0.0000088198,0.0000195904,0.0000155423,0.0000212386
Arkansas,Jackson,81.50,-0.0000240546,0.0000252397,0.0000151133,0.0000219044,0.0000269848,0.0000131400
Arkansas,Jefferson,70.99,-0.0000308770,0.0000301867,-0.0000010809,0.0000239187,0.0000241161,0.0000227647
Arkansas,Johnson,49.92,-0.0000033973,0.0000057857,0.0000074912,0.0000119798,0.0000172474,0.0000031484
Arkansas,Lafayette,64.02,-0.0000238135,0.0000291118,0.0000115355,0.0000277375,0.0000392174,0.0000114083
Arkansas,Lawrence,71.98,-0.0000175222,0.0000193392,0.0000109138,0.0000180920,0.0000239477,0.0000078392
Arkansas,Lee,69.11,-0.0000266673,0.0000276449,-0.0000032726,0.0000224536,0.0000304057,0.0000114387
Arkansas,Lincoln,73.67,-0.0000200962,0.0000268700,0.0000050317,0.0000212430,0.0000258223,0.0000140101
