State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
California,Alameda,65.93,-0.0000224899,0.0000173551,-0.0000307668,0.0000154268,0.0000251215,-0.0000018654
California,Alpine,48.95,-0.0000426349,0.0000304448,-0.0000157565,0.0000342352,0.0000662633,-0.0000158897
California,Amador,57.87,-0.0000371296,0.0000440592,-0.0000211128,0.0000287553,0.0000606136,-0.0000224454
California,Butte,68.54,-0.0000082254,0.0000270294,-0.0000272609,0.0000070365,0.0000280356,-0.0000239626
California,Calaveras,62.82,-0.0000379197,0.0000426644,-0.0000177864,0.0000293549,0.0000531347,-0.0000086277
California,Colusa,46.16,0.0000012393,0.0000237653,-0.0000210121,0.0000041558,0.0000307359,-0.0000343294
California,Contra Costa,47.91,-0.0000069931,0.0000110638,-0.0000287101,0.0000063284,0.0000219573,-0.0000170291
California,Del Norte,46.50,-0.0000400040,0.0000142105,-0.0000163661,0.0000242179,0.0000497839,-0.0000183319
California,El Dorado,51.70,-0.0000359360,0.0000415700,-0.0000209382,0.0000279779,0.0000670542,-0.0000328019
California,Fresno,75.78,-0.0000257395,0.0000232767,-0.0000098075,0.0000206093,0.0000170724,0.0000219610
California,Glenn,65.51,-0.0000039674,0.0000282125,-0.0000259500,0.0000079112,0.0000223222,-0.0000136533
California,Humboldt,31.74,0.0000001676,0.0000079546,-0.0000294868,-0.0000006048,0.0000077888,-0.0000127400
California,Imperial,50.97,0.0000121485,-0.0000039742,0.0000049269,-0.0000071911,-0.0000062321,-0.0000071744
California,Inyo,48.53,-0.0000171536,0.0000223730,-0.0000012406,0.0000195255,0.0000361030,-0.0000049789
California,Kern,63.80,-0.0000266105,0.0000387110,0.0000006127,0.0000335024,0.0000443654,0.0000154079
California,Kings,44.90,-0.0000064661,0.0000233915,-0.0000049895,0.0000136262,0.0000002565,0.0000297709
California,Lake,42.38,-0.0000051534,0.0000177242,-0.0000211834,0.0000032658,0.0000282991,-0.0000329720
California,Lassen,69.53,-0.0000651220,0.0000318403,-0.0000391572,0.0000523522,0.0000635886,0.0000296722
California,Los Angeles,63.08,-0.0000279476,0.0000216115,0.0000016740,0.0000191799,0.0000267764,0.0000059642
California,Madera,78.97,-0.0000306833,0.0000273072,-0.0000129516,0.0000258579,0.0000287893,0.0000160425
California,Marin,46.05,-0.0000087717,0.0000047188,-0.0000269567,0.0000073806,0.0000271880,-0.0000223813
California,Mariposa,67.11,-0.0000344828,0.0000245042,-0.0000119495,0.0000288494,0.0000372828,0.0000096442
California,Mendocino,59.60,-0.0000056465,0.0000224182,-0.0000232638,0.0000030600,0.0000243274,-0.0000257067
California,Merced,70.24,-0.0000401446,0.0000457156,-0.0000145131,0.0000403162,0.0000241727,0.0000507883
California,Modoc,65.60,-0.0000696302,0.0000299537,-0.0000383864,0.0000577595,0.0000721422,0.0000298057
California,Mono,32.66,-0.0000247777,0.0000145668,0.0000016994,0.0000205895,0.0000571843,-0.0000369546
California,Monterey,63.17,-0.0000399006,0.0000287655,-0.0000108266,0.0000274441,0.0000216228,0.0000229234
California,Napa,21.79,-0.0000048393,0.0000039511,-0.0000191828,0.0000001981,0.0000275424,-0.0000392651
California,Nevada,32.29,-0.0000125549,0.0000218761,-0.0000219406,0.0000055145,0.0000490760,-0.0000587220
California,Orange,59.77,-0.0000216475,0.0000146815,0.0000072256,0.0000133140,0.0000067606,0.0000194801
California,Placer,46.66,-0.0000235619,0.0000329989,-0.0000233311,0.0000152612,0.0000580972,-0.0000481157
California,Plumas,61.72,-0.0000262932,0.0000222430,-0.0000310477,0.0000197182,0.0000404029,-0.0000139113
California,Riverside,64.36,-0.0000033167,0.0000155812,0.0000155153,0.0000053264,0.0000018025,0.0000088354
California,Sacramento,60.63,-0.0000116825,0.0000322896,-0.0000276588,0.0000126861,0.0000394617,-0.0000288071
California,San Benito,60.44,-0.0000475229,0.0000313612,-0.0000127476,0.0000320062,0.0000213055,0.0000352858
California,San Bernardino,69.60,-0.0000074404,0.0000230565,0.0000162994,0.0000127951,0.0000138785,0.0000088847
California,San Diego,36.35,-0.0000105119,0.0000041787,0.0000180844,-0.0000003891,-0.0000048523,0.0000073317
California,San Francisco,62.86,-0.0000187896,0.0000126246,-0.0000281219,0.0000150644,0.0000290572,-0.0000065658
California,San Joaquin,65.08,-0.0000065610,0.0000270036,-0.0000225559,0.0000074816,0.0000221225,-0.0000145117
California,San Luis Obispo,58.86,-0.0000310445,0.0000244288,-0.0000005365,0.0000203452,0.0000135440,0.0000273184
California,San Mateo,64.37,-0.0000256851,0.0000046951,-0.0000267455,0.0000196608,0.0000271088,0.0000028810
California,Santa Barbara,55.40,-0.0000468249,0.0000244844,-0.0000025677,0.0000361475,0.0000498013,0.0000108964
California,Santa Clara,70.27,-0.0000372527,0.0000249340,-0.0000248704,0.0000255179,0.0000249092,0.0000174330
California,Santa Cruz,62.41,-0.0000367606,0.0000145584,-0.0000206939,0.0000278820,0.0000251117,0.0000192841
California,Shasta,73.77,-0.0000210892,0.0000234715,-0.0000278326,0.0000145912,0.0000152211,0.0000110297
California,Sierra,37.83,-0.0000139749,0.0000154136,-0.0000234045,0.0000089513,0.0000453783,-0.0000475000
California,Siskiyou,71.35,-0.0000242468,0.0000100714,-0.0000233434,0.0000189060,0.0000250710,0.0000048284
California,Solano,42.88,-0.0000020719,0.0000134006,-0.0000222002,0.0000046240,0.0000263332,-0.0000297453
California,Sonoma,28.00,-0.0000003583,0.0000056792,-0.0000260164,0.0000001407,0.0000249144,-0.0000345334
California,Stanislaus,73.80,-0.0000420758,0.0000412185,-0.0000137599,0.0000362310,0.0000236091,0.0000446868
California,Sutter,54.56,0.0000062982,0.0000247655,-0.0000270328,0.0000043214,0.0000299860,-0.0000326483
California,Tehama,73.97,-0.0000145544,0.0000291688,-0.0000292198,0.0000133031,0.0000186333,0.0000041830
California,Trinity,38.65,0.0000048569,0.0000066884,-0.0000215124,-0.0000039647,-0.0000030785,-0.0000042114
California,Tulare,72.98,-0.0000301606,0.0000241833,-0.0000109574,0.0000236959,0.0000258928,0.0000183887
California,Tuolumne,58.46,-0.0000390116,0.0000316759,-0.0000134339,0.0000316185,0.0000507287,-0.0000009930
California,Ventura,48.52,-0.0000486256,0.0000240172,-0.0000023063,0.0000362342,0.0000577922,-0.0000010043
California,Yolo,53.27,-0.0000022777,0.0000291425,-0.0000230421,0.0000080307,0.0000369153,-0.0000362554
California,Yuba,33.00,-0.0000034640,0.0000211157,-0.0000244505,0.0000003877,0.0000332709,-0.0000462808
