State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Colorado,Adams,70.71,-0.0000227805,0.0000209533,-0.0000096748,0.0000159203,0.0000201128,0.0000245721
Colorado,Alamosa,62.21,-0.0000106212,0.0000035643,-0.0000112875,0.0000111351,0.0000144368,0.0000048116
Colorado,Arapahoe,61.53,-0.0000230457,0.0000143783,-0.0000084618,0.0000170952,0.0000200104,0.0000252660
Colorado,Archuleta,35.92,-0.0000059809,0.0000007487,0.0000211677,0.0000046248,0.0000126950,-0.0000072153
Colorado,Baca,78.25,-0.0000367208,0.0000339455,-0.0000093056,0.0000319527,0.0000340875,0.0000352402
Colorado,Bent,88.85,-0.0000292054,0.0000327203,-0.0000184585,0.0000325652,0.0000282775,0.0000305933
Colorado,Boulder,62.28,-0.0000232286,0.0000174398,0.0000041697,0.0000200589,0.0000269672,0.0000115327
Colorado,Chaffee,49.65,-0.0000148415,-0.0000001691,-0.0000241955,0.0000147101,0.0000098489,0.0000218941
Colorado,Cheyenne,76.34,-0.0000248132,0.0000250387,-0.0000157746,0.0000189344,0.0000249449,0.0000280110
Colorado,Clear Creek,48.11,-0.0000140059,-0.0000042528,-0.0000064773,0.0000124483,0.0000197205,0.0000102193
Colorado,Conejos,33.92,-0.0000089995,0.0000019584,-0.0000026334,0.0000093383,0.0000190497,-0.0000061154
Colorado,Costilla,58.10,-0.0000070942,0.0000036668,-0.0000116292,0.0000068132,0.0000123854,-0.0000012763
Colorado,Crowley,66.32,-0.0000223300,0.0000223948,-0.0000122869,0.0000199010,0.0000189675,0.0000293788
Colorado,Custer,68.66,-0.0000111218,0.0000099161,-0.0000042080,0.0000121498,0.0000094194,0.0000139930
Colorado,Delta,21.52,-0.0000114554,0.0000050746,0.0000042053,0.0000075257,-0.0000109747,0.0000340465
Colorado,Denver,65.54,-0.0000127805,0.0000133871,-0.0000058932,0.0000114968,0.0000175531,0.0000088869
Colorado,Dolores,33.26,-0.0000018216,-0.0000007061,0.0000031166,0.0000014088,0.0000060893,-0.0000049073
Colorado,Douglas,75.57,-0.0000150221,0.0000097982,-0.0000145250,0.0000137134,0.0000129475,0.0000169863
Colorado,Eagle,22.71,-0.0000143043,0.0000007675,0.0000059546,0.0000129456,-0.0000033571,0.0000338129
Colorado,Elbert,61.42,-0.0000244425,0.0000124448,-0.0000147550,0.0000227888,0.0000186204,0.0000293751
Colorado,El Paso,70.28,-0.0000144633,0.0000120990,-0.0000204283,0.0000126551,0.0000127877,0.0000188090
Colorado,Fremont,47.07,-0.0000047604,-0.0000011671,-0.0000140309,0.0000068828,0.0000112733,0.0000002395
Colorado,Garfield,38.35,-0.0000377762,0.0000227333,0.0000041735,0.0000319479,0.0000071985,0.0000594008
Colorado,Gilpin,43.72,-0.0000192471,0.0000038156,-0.0000063256,0.0000168349,0.0000267308,0.0000081573
Colorado,Grand,39.29,-0.0000145200,-0.0000017165,0.0000023625,0.0000144425,0.0000087299,0.0000200327
Colorado,Gunnison,14.09,-0.0000008215,-0.0000011807,0.0000010812,0.0000028064,-0.0000092822,0.0000185031
Colorado,Hinsdale,34.37,0.0000167615,0.0000000000,0.0000110501,-0.0000120636,0.0000008235,-0.0000233859
Colorado,Huerfano,82.13,-0.0000172207,0.0000149947,-0.0000088051,0.0000152374,0.0000172671,0.0000123834
Colorado,Jackson,17.91,-0.0000119452,0.0000003607,0.0000083973,0.0000128863,-0.0000041652,0.0000451350
Colorado,Jefferson,69.45,-0.0000148787,0.0000116357,-0.0000111732,0.0000135374,0.0000185972,0.0000076742
Colorado,Kiowa,86.63,-0.0000255342,0.0000273841,-0.0000149898,0.0000292747,0.0000279365,0.0000289045
Colorado,Kit Carson,50.93,-0.0000325944,0.0000280186,-0.0000127274,0.0000257818,0.0000215525,0.0000483753
Colorado,Lake,25.68,0.0000006738,0.0000000000,-0.0000248243,-0.0000002435,-0.0000109927,0.0000194521
Colorado,La Plata,33.52,-0.0000022031,-0.0000008237,0.0000120780,0.0000019454,0.0000060005,-0.0000051218
Colorado,Larimer,54.61,-0.0000288287,0.0000127147,0.0000159828,0.0000267755,0.0000206560,0.0000372125
Colorado,Las Animas,76.51,-0.0000287534,0.0000273080,-0.0000071809,0.0000229348,0.0000268061,0.0000234573
Colorado,Lincoln,63.72,-0.0000301104,0.0000231572,-0.0000176963,0.0000292755,0.0000227826,0.0000390497
Colorado,Logan,42.20,-0.0000286971,0.0000154519,0.0000020246,0.0000208529,0.0000208430,0.0000393835
Colorado,Mesa,32.36,-0.0000199587,0.0000091913,0.0000046052,0.0000134164,-0.0000014715,0.0000323393
Colorado,Mineral,37.48,0.0000071738,0.0000000000,0.0000154279,-0.0000031829,0.0000110010,-0.0000158904
Colorado,Moffat,41.87,-0.0000614187,0.0000318279,0.0000042506,0.0000502070,0.0000186359,0.0000829996
Colorado,Montezuma,61.33,-0.0000131078,0.0000083521,0.0000077669,0.0000070023,0.0000052486,0.0000074151
Colorado,Montrose,52.34,-0.0000018932,0.0000027272,0.0000055316,-0.0000026967,-0.0000067422,0.0000033167
Colorado,Morgan,39.99,-0.0000231734,0.0000153162,-0.0000066162,0.0000153333,0.0000118379,0.0000362769
Colorado,Otero,63.60,-0.0000361458,0.0000240882,-0.0000178346,0.0000208831,0.0000211179,0.0000313476
Colorado,Ouray,38.15,0.0000155805,-0.0000063901,0.0000011291,-0.0000124557,-0.0000033881,-0.0000213219
Colorado,Park,40.94,-0.0000126958,-0.0000015693,-0.0000319404,0.0000122360,0.0000083023,0.0000306670
Colorado,Phillips,45.56,-0.0000315453,0.0000168564,-0.0000059318,0.0000236589,0.0000226299,0.0000420270
Colorado,Pitkin,22.93,-0.0000102124,-0.0000032749,-0.0000034929,0.0000103857,-0.0000043667,0.0000294618
Colorado,Prowers,81.89,-0.0000309212,0.0000318010,-0.0000121160,0.0000264033,0.0000307108,0.0000303931
Colorado,Pueblo,72.40,-0.0000112770,0.0000113648,-0.0000154936,0.0000074941,0.0000139438,0.0000109101
Colorado,Rio Blanco,38.39,-0.0000536308,0.0000288332,0.0000001480,0.0000441779,0.0000115532,0.0000775396
Colorado,Rio Grande,32.20,-0.0000065383,-0.0000018361,-0.0000048286,0.0000088886,0.0000205827,-0.0000072205
Colorado,Routt,29.90,-0.0000280874,0.0000102264,0.0000079843,0.0000256131,0.0000004424,0.0000544642
Colorado,Saguache,40.29,-0.0000065331,0.0000016714,-0.0000016135,0.0000083767,0.0000125400,0.0000029153
Colorado,San Juan,31.82,0.0000174751,0.0000000000,0.0000027678,-0.0000140611,-0.0000034885,-0.0000227995
Colorado,San Miguel,24.55,0.0000009654,0.0000002643,0.0000051822,-0.0000021399,0.0000043001,-0.0000097501
Colorado,Sedgwick,60.70,-0.0000386002,0.0000217312,-0.0000058465,0.0000280481,0.0000337348,0.0000384826
Colorado,Summit,23.09,-0.0000068328,0.0000000000,0.0000071915,0.0000058216,-0.0000031584,0.0000195381
Colorado,Teller,59.75,-0.0000123220,0.0000096466,-0.0000193409,0.0000119257,0.0000119249,0.0000216888
Colorado,Washington,47.35,-0.0000323789,0.0000255632,-0.0000086240,0.0000235375,0.0000182955,0.0000466505
Colorado,Weld,59.58,-0.0000243273,0.0000198237,-0.0000100879,0.0000210398,0.0000204005,0.0000318550
Colorado,Yuma,45.90,-0.0000368777,0.0000303842,-0.0000077877,0.0000291207,0.0000204949,0.0000563468
