State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Florida,Alachua,72.38,-0.0000199075,0.0000203699,0.0000007717,0.0000158809,0.0000182696,0.0000130446
Florida,Baker,65.42,-0.0000184049,0.0000189571,0.0000005383,0.0000147329,0.0000094846,0.0000202045
Florida,Bay,58.07,-0.0000124610,-0.0000091947,0.0000046176,-0.0000066950,0.0000008872,-0.0000114205
Florida,Bradford,70.89,-0.0000212472,0.0000247644,0.0000011009,0.0000195691,0.0000194525,0.0000176845
Florida,Brevard,37.24,-0.0000185340,0.0000077045,0.0000020482,0.0000063517,0.0000031600,0.0000085065
Florida,Broward,72.74,-0.0000077344,-0.0000203628,-0.0000086842,-0.0000157901,-0.0000144066,-0.0000151692
Florida,Calhoun,36.66,-0.0000138304,-0.0000020780,0.0000090206,-0.0000009272,0.0000097330,-0.0000101607
Florida,Charlotte,45.94,-0.0000160511,0.0000091789,-0.0000043545,0.0000057752,0.0000033190,0.0000073082
Florida,Citrus,54.99,-0.0000212042,0.0000155173,-0.0000007855,0.0000117786,0.0000117761,0.0000125775
Florida,Clay,73.90,-0.0000271914,0.0000354033,-0.0000054759,0.0000289549,0.0000325953,0.0000217175
Florida,Collier,33.66,-0.0000142413,-0.0000006770,-0.0000083347,-0.0000013416,-0.0000152988,0.0000114138
Florida,Columbia,59.96,-0.0000141674,0.0000114339,-0.0000009269,0.0000078300,0.0000134248,0.0000019587
Florida,DeSoto,56.00,-0.0000196282,0.0000137374,-0.0000045579,0.0000103772,0.0000085546,0.0000099704
Florida,Dixie,55.81,-0.0000169063,0.0000116535,-0.0000061788,0.0000069617,0.0000100363,0.0000060372
Florida,Duval,75.63,-0.0000299543,0.0000381534,-0.0000097038,0.0000325897,0.0000393138,0.0000214290
Florida,Escambia,60.94,-0.0000071516,-0.0000059345,-0.0000007181,-0.0000067505,-0.0000088976,-0.0000023184
Florida,Flagler,54.96,-0.0000251958,0.0000219316,-0.0000021801,0.0000189464,0.0000325624,0.0000036188
Florida,Franklin,48.36,-0.0000106100,-0.0000147290,0.0000035069,-0.0000117806,0.0000037449,-0.0000216030
Florida,Gadsden,56.30,-0.0000208421,0.0000153690,0.0000001696,0.0000120471,0.0000215404,0.0000030254
Florida,Gilchrist,66.18,-0.0000173878,0.0000146492,-0.0000049513,0.0000104320,0.0000137529,0.0000076819
Florida,Glades,41.40,-0.0000120691,0.0000054779,-0.0000034110,0.0000020340,-0.0000080536,0.0000104569
Florida,Gulf,56.91,-0.0000102332,-0.0000127175,0.0000072339,-0.0000098189,0.0000010739,-0.0000169692
Florida,Hamilton,60.55,-0.0000186864,0.0000155236,0.0000026275,0.0000106362,0.0000194918,0.0000000672
Florida,Hardee,64.43,-0.0000178152,0.0000152600,-0.0000025428,0.0000118682,0.0000104655,0.0000106419
Florida,Hendry,39.59,-0.0000108676,-0.0000020251,-0.0000063651,-0.0000039276,-0.0000134690,0.0000054630
Florida,Hernando,35.04,-0.0000178941,0.0000085024,-0.0000001619,0.0000054935,0.0000000984,0.0000120695
Florida,Highlands,35.49,-0.0000167420,0.0000075369,-0.0000006369,0.0000056358,0.0000001070,0.0000089518
Florida,Hillsborough,66.26,-0.0000183781,0.0000171090,-0.0000010989,0.0000123836,0.0000188750,0.0000045159
Florida,Holmes,23.53,-0.0000123145,-0.0000017221,0.0000036181,-0.0000010614,0.0000012968,-0.0000001772
Florida,Indian River,38.15,-0.0000122974,0.0000000271,0.0000141601,-0.0000001738,-0.0000145818,0.0000137413
Florida,Jackson,46.81,-0.0000201425,0.0000096459,0.0000045701,0.0000079833,0.0000145602,0.0000023524
Florida,Jefferson,59.51,-0.0000180897,0.0000144339,-0.0000024266,0.0000098077,0.0000134227,0.0000062487
Florida,Lafayette,65.47,-0.0000165941,0.0000145425,-0.0000028176,0.0000099359,0.0000153580,0.0000034519
Florida,Lake,52.81,-0.0000180484,0.0000110495,-0.0000039232,0.0000086567,0.0000112334,0.0000066060
Florida,Lee,41.87,-0.0000144903,0.0000050851,-0.0000098102,0.0000024650,-0.0000030966,0.0000071482
Florida,Leon,52.87,-0.0000193437,0.0000125817,-0.0000012296,0.0000093676,0.0000178702,0.0000016424
Florida,Levy,66.51,-0.0000197678,0.0000157906,-0.0000091256,0.0000114713,0.0000113537,0.0000129006
Florida,Liberty,42.79,-0.0000129331,-0.0000036113,0.0000075845,-0.0000026145,0.0000113286,-0.0000136906
Florida,Madison,58.83,-0.0000190671,0.0000152881,-0.0000009162,0.0000104398,0.0000171497,0.0000018884
Florida,Manatee,66.33,-0.0000153610,0.0000111410,-0.0000077950,0.0000084725,0.0000145295,0.0000023888
Florida,Marion,67.43,-0.0000195640,0.0000175953,0.0000007721,0.0000143441,0.0000155751,0.0000126223
Florida,Martin,27.06,-0.0000135271,0.0000025062,-0.0000006337,0.0000009091,-0.0000114031,0.0000122065
Florida,Monroe,51.49,-0.0000104163,-0.0000111369,-0.0000070628,-0.0000076537,-0.0000187003,0.0000021115
Florida,Nassau,78.45,-0.0000281633,0.0000316487,-0.0000080065,0.0000270074,0.0000299088,0.0000211108
Florida,Okaloosa,63.87,-0.0000086374,-0.0000060222,-0.0000046584,-0.0000050746,-0.0000039570,-0.0000037705
Florida,Okeechobee,36.63,-0.0000134264,0.0000030703,0.0000056915,0.0000015817,-0.0000099452,0.0000122736
Florida,Orange,64.28,-0.0000155754,0.0000118659,-0.0000044191,0.0000093422,0.0000141229,0.0000039138
Florida,Osceola,54.57,-0.0000135319,0.0000089261,0.0000034722,0.0000064023,0.0000079696,0.0000050299
Florida,Palm Beach,60.73,-0.0000064464,-0.0000146092,-0.0000036431,-0.0000128342,-0.0000184147,-0.0000052219
Florida,Pasco,41.27,-0.0000170512,0.0000098466,-0.0000012715,0.0000059368,0.0000014923,0.0000111814
Florida,Pinellas,45.25,-0.0000147685,0.0000112668,-0.0000017244,0.0000092394,0.0000216707,-0.0000049478
Florida,Polk,68.92,-0.0000189870,0.0000187387,0.0000000538,0.0000133836,0.0000173413,0.0000076347
Florida,Putnam,65.73,-0.0000254683,0.0000301033,-0.0000001367,0.0000246828,0.0000333602,0.0000124905
Florida,St. Johns,66.79,-0.0000339170,0.0000428171,-0.0000032087,0.0000362290,0.0000478476,0.0000190116
Florida,St. Lucie,42.73,-0.0000170814,0.0000119045,0.0000038143,0.0000086392,-0.0000078307,0.0000227346
Florida,Santa Rosa,51.05,-0.0000075452,-0.0000025833,-0.0000028896,-0.0000040737,-0.0000064742,0.0000002185
Florida,Sarasota,54.75,-0.0000161203,0.0000088524,-0.0000086856,0.0000064519,0.0000103210,0.0000030084
Florida,Seminole,55.97,-0.0000162173,0.0000098665,-0.0000056629,0.0000077008,0.0000121245,0.0000041464
Florida,Sumter,52.20,-0.0000200870,0.0000139209,-0.0000005314,0.0000106869,0.0000093246,0.0000120901
Florida,Suwannee,60.37,-0.0000155794,0.0000140114,0.0000033454,0.0000096182,0.0000177903,-0.0000000676
Florida,Taylor,50.74,-0.0000165352,0.0000118450,-0.0000004902,0.0000070824,0.0000110318,0.0000038465
Florida,Union,69.87,-0.0000165818,0.0000167790,0.0000000543,0.0000124123,0.0000134844,0.0000108938
Florida,Volusia,52.93,-0.0000199494,0.0000106645,-0.0000059428,0.0000092914,0.0000167288,0.0000025169
Florida,Wakulla,27.17,-0.0000144055,0.0000019496,0.0000024284,0.0000009047,0.0000123237,-0.0000073130
Florida,Walton,66.46,-0.0000050173,-0.0000123377,0.0000022329,-0.0000096587,-0.0000060205,-0.0000085560
Florida,Washington,32.46,-0.0000129115,-0.0000039587,0.0000032429,-0.0000026765,0.0000021974,-0.0000042202
