State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Idaho,Ada,72.09,-0.0000235965,0.0000312767,-0.0000162991,0.0000183471,0.0000221822,0.0000132849
Idaho,Adams,65.58,-0.0000273926,0.0000143030,-0.0000105783,0.0000221102,0.0000277831,0.0000109087
Idaho,Bannock,69.39,-0.0000317667,0.0000246424,-0.0000067363,0.0000255980,0.0000244946,0.0000244199
Idaho,Bear Lake,51.35,-0.0000264698,0.0000123854,-0.0000036698,0.0000230750,0.0000326178,0.0000061115
Idaho,Benewah,77.18,-0.0000304659,0.0000221791,-0.0000277873,0.0000237022,0.0000324130,0.0000027934
Idaho,Bingham,62.81,-0.0000290968,0.0000203714,-0.0000061153,0.0000235029,0.0000168207,0.0000306554
Idaho,Blaine,21.06,0.0000000312,0.0000006042,-0.0000114044,-0.0000013101,-0.0000169785,0.0000221185
Idaho,Boise,69.78,-0.0000116289,0.0000172811,-0.0000175166,0.0000067048,0.0000010392,0.0000138826
Idaho,Bonner,49.50,-0.0000156882,0.0000049406,-0.0000229368,0.0000093412,0.0000112105,0.0000008581
Idaho,Bonneville,65.05,-0.0000240497,0.0000152036,-0.0000052918,0.0000196666,0.0000161172,0.0000241299
Idaho,Boundary,46.57,0.0000073584,-0.0000087869,-0.0000302297,-0.0000113198,-0.0000123477,-0.0000138920
Idaho,Butte,40.22,-0.0000182332,0.0000159409,-0.0000111945,0.0000148450,0.0000012254,0.0000350470
Idaho,Camas,39.02,0.0000066348,-0.0000037605,-0.0000071882,-0.0000072438,-0.0000180750,0.0000102056
Idaho,Canyon,77.90,-0.0000293266,0.0000343407,-0.0000229333,0.0000217511,0.0000263993,0.0000145866
Idaho,Caribou,64.55,-0.0000251720,0.0000156034,-0.0000032328,0.0000207700,0.0000234158,0.0000149872
Idaho,Cassia,69.79,-0.0000140017,0.0000161126,-0.0000049929,0.0000095951,0.0000130334,0.0000045446
Idaho,Clark,69.97,-0.0000162560,0.0000134615,-0.0000217062,0.0000133893,0.0000106827,0.0000155221
Idaho,Clearwater,62.85,-0.0000342801,0.0000186371,-0.0000110810,0.0000287039,0.0000365322,0.0000095042
Idaho,Custer,39.05,0.0000113144,-0.0000022264,-0.0000069669,-0.0000113067,-0.0000214307,0.0000034959
Idaho,Elmore,74.20,-0.0000111799,0.0000124860,-0.0000144011,0.0000075922,0.0000052481,0.0000121813
Idaho,Franklin,52.69,-0.0000331074,0.0000193403,0.0000029571,0.0000272923,0.0000403426,0.0000068677
Idaho,Fremont,50.47,-0.0000177719,0.0000042413,-0.0000300483,0.0000150056,0.0000177207,0.0000092917
Idaho,Gem,77.55,-0.0000200292,0.0000273412,-0.0000261734,0.0000148843,0.0000120623,0.0000166865
Idaho,Gooding,53.99,-0.0000050235,0.0000128438,-0.0000096065,0.0000025151,-0.0000056874,0.0000143994
Idaho,Idaho,60.95,-0.0000292754,0.0000119722,-0.0000086845,0.0000237932,0.0000273427,0.0000130949
Idaho,Jefferson,64.74,-0.0000163964,0.0000122357,-0.0000142831,0.0000130711,0.0000078631,0.0000202710
Idaho,Jerome,56.53,-0.0000054033,0.0000135068,-0.0000095363,0.0000023777,-0.0000027472,0.0000101160
Idaho,Kootenai,82.25,-0.0000276166,0.0000219586,-0.0000283328,0.0000201597,0.0000269771,0.0000040938
Idaho,Latah,64.88,-0.0000330831,0.0000236802,-0.0000186692,0.0000263786,0.0000388215,0.0000010818
Idaho,Lemhi,29.48,-0.0000037249,0.0000039340,-0.0000217771,0.0000009573,0.0000021849,-0.0000025370
Idaho,Lewis,60.90,-0.0000364935,0.0000211172,-0.0000049064,0.0000298393,0.0000380738,0.0000112233
Idaho,Lincoln,25.20,-0.0000013642,-0.0000023124,-0.0000122395,-0.0000002609,-0.0000139482,0.0000192761
Idaho,Madison,66.93,-0.0000150610,0.0000090085,-0.0000186231,0.0000118514,0.0000080416,0.0000166570
Idaho,Minidoka,26.89,-0.0000035439,0.0000010286,-0.0000108015,0.0000005223,-0.0000092724,0.0000149556
Idaho,Nez Perce,59.46,-0.0000343506,0.0000230376,-0.0000042513,0.0000268703,0.0000375961,0.0000044362
Idaho,Oneida,66.11,-0.0000370399,0.0000280145,0.0000009233,0.0000299596,0.0000351481,0.0000197046
Idaho,Owyhee,84.34,-0.0000200252,0.0000209080,-0.0000159288,0.0000153433,0.0000166147,0.0000120081
Idaho,Payette,63.29,-0.0000161498,0.0000227377,-0.0000293714,0.0000101870,0.0000144437,0.0000033148
Idaho,Power,74.65,-0.0000281637,0.0000248618,-0.0000112527,0.0000218750,0.0000181457,0.0000242913
Idaho,Shoshone,51.90,-0.0000253501,0.0000103627,-0.0000175815,0.0000195248,0.0000345688,-0.0000079812
Idaho,Teton,57.98,-0.0000205963,0.0000103812,-0.0000081746,0.0000178662,0.0000127594,0.0000235613
Idaho,Twin Falls,66.69,-0.0000158976,0.0000203346,-0.0000074414,0.0000115080,0.0000075236,0.0000164599
Idaho,Valley,34.90,-0.0000055901,0.0000026796,-0.0000161354,0.0000027014,0.0000028546,0.0000001120
Idaho,Washington,84.40,-0.0000213669,0.0000218336,-0.0000162117,0.0000158398,0.0000196778,0.0000086624
