State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Illinois,Adams,75.63,-0.0000194653,0.0000163927,-0.0000106537,0.0000231381,0.0000241439,0.0000195985
Illinois,Alexander,65.59,-0.0000099234,0.0000143043,0.0000082234,0.0000150780,0.0000201690,0.0000081757
Illinois,Bond,67.23,-0.0000184768,0.0000119462,-0.0000068944,0.0000246277,0.0000237508,0.0000229333
Illinois,Boone,61.10,-0.0000114190,0.0000015544,0.0000066390,0.0000136671,0.0000134506,0.0000119499
Illinois,Brown,74.93,-0.0000131399,0.0000137986,-0.0000070422,0.0000193076,0.0000178979,0.0000190231
Illinois,Bureau,61.96,-0.0000304065,0.0000157666,-0.0000014064,0.0000302847,0.0000326375,0.0000236286
Illinois,Calhoun,65.36,-0.0000136017,0.0000076322,-0.0000147811,0.0000196146,0.0000222502,0.0000135883
Illinois,Carroll,66.28,-0.0000161242,0.0000049218,0.0000086798,0.0000179325,0.0000166999,0.0000172260
Illinois,Cass,63.50,-0.0000157445,0.0000152826,-0.0000024155,0.0000221162,0.0000184650,0.0000239908
Illinois,Champaign,36.24,-0.0000297121,0.0000158764,0.0000069526,0.0000316358,0.0000094527,0.0000565726
Illinois,Christian,63.32,-0.0000217486,0.0000154790,0.0000010874,0.0000269819,0.0000240181,0.0000278066
Illinois,Clark,69.96,-0.0000208329,0.0000102052,0.0000136466,0.0000231015,0.0000245313,0.0000198059
Illinois,Clay,68.72,-0.0000173546,0.0000135773,0.0000074351,0.0000246911,0.0000221626,0.0000246082
Illinois,Clinton,71.13,-0.0000246301,0.0000175366,-0.0000089945,0.0000289831,0.0000296584,0.0000252180
Illinois,Coles,70.42,-0.0000318307,0.0000208702,0.0000134345,0.0000348960,0.0000307902,0.0000366325
Illinois,Cook,59.23,-0.0000054807,-0.0000052243,-0.0000052376,0.0000070968,0.0000104198,0.0000022929
Illinois,Crawford,53.32,-0.0000152310,0.0000089612,0.0000043175,0.0000218769,0.0000263338,0.0000147599
Illinois,Cumberland,76.33,-0.0000256293,0.0000160707,0.0000150412,0.0000282371,0.0000271073,0.0000260936
Illinois,DeKalb,51.15,-0.0000152279,0.0000011384,-0.0000003153,0.0000163080,0.0000150929,0.0000157029
Illinois,Douglas,49.08,-0.0000364165,0.0000207615,0.0000103495,0.0000394207,0.0000240639,0.0000545667
Illinois,DuPage,62.55,-0.0000057920,-0.0000043300,-0.0000077831,0.0000075803,0.0000105866,0.0000033142
Illinois,Edgar,61.99,-0.0000189046,0.0000090977,0.0000183188,0.0000238121,0.0000184703,0.0000281786
Illinois,Edwards,67.02,-0.0000233683,0.0000198215,0.0000031018,0.0000281233,0.0000301583,0.0000228964
Illinois,Effingham,66.22,-0.0000163969,0.0000094205,0.0000134400,0.0000203313,0.0000163411,0.0000226719
Illinois,Fayette,53.58,-0.0000131833,0.0000084893,-0.0000008390,0.0000196908,0.0000159845,0.0000217497
Illinois,Ford,41.84,-0.0000305020,0.0000155499,0.0000056917,0.0000314780,0.0000144612,0.0000488251
Illinois,Franklin,69.83,-0.0000185183,0.0000193053,0.0000084031,0.0000273747,0.0000290716,0.0000218623
Illinois,Fulton,46.57,-0.0000218576,0.0000156242,-0.0000008160,0.0000267319,0.0000168231,0.0000368027
Illinois,Gallatin,79.77,-0.0000139033,0.0000152681,0.0000061669,0.0000179841,0.0000176307,0.0000167685
Illinois,Greene,64.54,-0.0000150482,0.0000091299,-0.0000100201,0.0000212313,0.0000228753,0.0000158742
Illinois,Grundy,34.83,-0.0000115983,0.0000004450,-0.0000067509,0.0000145591,0.0000262227,-0.0000011743
Illinois,Hamilton,68.15,-0.0000197540,0.0000201595,0.0000070175,0.0000266896,0.0000296597,0.0000203147
