State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Indiana,Adams,53.15,0.0000056960,-0.0000124225,-0.0000059494,0.0000006614,0.0000089807,-0.0000099519
Indiana,Allen,65.85,-0.0000270152,0.0000111786,-0.0000070287,0.0000262299,0.0000240994,0.0000266419
Indiana,Bartholomew,58.20,-0.0000108894,0.0000016649,0.0000105891,0.0000160890,0.0000141255,0.0000171933
Indiana,Benton,48.50,-0.0000242288,0.0000133999,0.0000056325,0.0000263505,0.0000153952,0.0000359252
Indiana,Blackford,24.55,-0.0000008631,-0.0000033611,0.0000010571,0.0000067764,0.0000217401,-0.0000129305
Indiana,Boone,49.85,-0.0000027948,-0.0000026352,0.0000114938,0.0000084061,0.0000140855,-0.0000002431
Indiana,Brown,57.62,-0.0000091841,-0.0000008145,0.0000111565,0.0000142722,0.0000116566,0.0000154768
Indiana,Carroll,68.28,-0.0000150582,0.0000045409,0.0000208370,0.0000181976,0.0000177256,0.0000157878
Indiana,Cass,42.24,-0.0000080643,-0.0000017776,0.0000259181,0.0000113576,0.0000098304,0.0000115970
Indiana,Clark,47.16,-0.0000032557,-0.0000088136,0.0000058556,0.0000081942,0.0000169293,-0.0000015122
Indiana,Clay,63.73,-0.0000126957,0.0000042576,0.0000092472,0.0000167132,0.0000173920,0.0000140956
Indiana,Clinton,54.03,-0.0000116886,0.0000034471,0.0000257254,0.0000161370,0.0000185708,0.0000112658
Indiana,Crawford,47.85,-0.0000090422,0.0000030103,0.0000000176,0.0000149801,0.0000164699,0.0000129237
Indiana,Daviess,50.33,-0.0000156014,0.0000093044,0.0000024555,0.0000221377,0.0000277562,0.0000133044
Indiana,Dearborn,52.33,-0.0000000692,-0.0000098771,-0.0000028803,0.0000064321,0.0000123900,-0.0000008618
Indiana,Decatur,42.20,-0.0000050711,-0.0000029350,0.0000046562,0.0000100795,0.0000158057,0.0000031386
Indiana,Delaware,32.75,-0.0000078241,0.0000006087,0.0000076033,0.0000130331,0.0000262310,-0.0000048393
Indiana,Dubois,51.54,-0.0000182457,0.0000120085,-0.0000002883,0.0000224240,0.0000286427,0.0000129207
Indiana,Elkhart,62.06,-0.0000192447,0.0000034993,-0.0000164494,0.0000203156,0.0000234026,0.0000145814
Indiana,Fayette,57.52,0.0000044170,-0.0000112473,0.0000063704,0.0000026226,0.0000122461,-0.0000093754
Indiana,Floyd,43.03,-0.0000046970,-0.0000031017,0.0000031083,0.0000105641,0.0000151380,0.0000056237
Indiana,Fountain,52.17,-0.0000164229,0.0000079306,0.0000121168,0.0000221202,0.0000146954,0.0000284172
Indiana,Franklin,64.41,0.0000003715,-0.0000092841,0.0000037274,0.0000059032,0.0000095191,0.0000015243
Indiana,Fulton,55.40,-0.0000086529,-0.0000026595,0.0000024244,0.0000107634,0.0000117157,0.0000088293
Indiana,Gibson,52.57,-0.0000187659,0.0000149110,0.0000030378,0.0000222107,0.0000309897,0.0000096240
Indiana,Grant,26.98,-0.0000065052,-0.0000010432,0.0000010371,0.0000107481,0.0000238617,-0.0000066717
Indiana,Greene,58.49,-0.0000045041,-0.0000050798,0.0000046166,0.0000109467,0.0000125564,0.0000078817
Indiana,Hamilton,43.02,-0.0000055018,0.0000005537,0.0000123404,0.0000103869,0.0000180134,-0.0000003599
Indiana,Hancock,37.87,-0.0000062122,-0.0000016413,0.0000048599,0.0000102283,0.0000172574,0.0000000422
Indiana,Harrison,41.53,-0.0000057340,-0.0000007630,0.0000020142,0.0000119690,0.0000148279,0.0000087830
Indiana,Hendricks,54.55,-0.0000036016,-0.0000041912,0.0000103125,0.0000086841,0.0000135590,0.0000012936
Indiana,Henry,33.51,-0.0000004478,-0.0000042760,0.0000078020,0.0000067805,0.0000200910,-0.0000101890
Indiana,Howard,53.59,-0.0000117317,0.0000034953,0.0000244600,0.0000148427,0.0000164825,0.0000111504
Indiana,Huntington,29.51,-0.0000088914,-0.0000000971,-0.0000025468,0.0000123036,0.0000241776,-0.0000040430
Indiana,Jackson,56.01,-0.0000097168,-0.0000018024,0.0000098948,0.0000157246,0.0000176263,0.0000127195
Indiana,Jasper,53.88,-0.0000203723,0.0000068636,0.0000028728,0.0000211023,0.0000169238,0.0000238150
Indiana,Jay,34.67,0.0000055545,-0.0000089204,0.0000049022,0.0000008999,0.0000154005,-0.0000174892
Indiana,Jefferson,43.73,-0.0000053505,-0.0000068866,0.0000082637,0.0000094712,0.0000200428,-0.0000033169
Indiana,Jennings,46.10,-0.0000093848,-0.0000019713,0.0000073065,0.0000146027,0.0000197517,0.0000077073
Indiana,Johnson,53.93,-0.0000089302,-0.0000012371,0.0000090510,0.0000130414,0.0000102373,0.0000150322
Indiana,Knox,43.98,-0.0000161824,0.0000067225,0.0000010002,0.0000204440,0.0000282307,0.0000095063
Indiana,Kosciusko,54.76,-0.0000153558,0.0000016906,-0.0000108289,0.0000165513,0.0000200628,0.0000104178
Indiana,Lake,52.47,-0.0000157945,0.0000009221,0.0000032296,0.0000159543,0.0000170174,0.0000139542
Indiana,Lawrence,73.35,-0.0000059127,-0.0000073307,0.0000138617,0.0000116527,0.0000107239,0.0000125765
Indiana,Madison,51.31,-0.0000103737,0.0000026413,0.0000207856,0.0000148493,0.0000241949,0.0000018942
Indiana,Marion,56.35,-0.0000029046,-0.0000040470,0.0000092590,0.0000076825,0.0000117594,0.0000011990
Indiana,Marshall,50.18,-0.0000120802,-0.0000013780,-0.0000057727,0.0000140618,0.0000170325,0.0000094571
Indiana,Martin,46.62,-0.0000104630,-0.0000006642,0.0000048137,0.0000173269,0.0000198797,0.0000135221
Indiana,Miami,52.45,-0.0000105266,0.0000003032,0.0000192139,0.0000124583,0.0000149247,0.0000080305
Indiana,Monroe,70.80,-0.0000052152,-0.0000042766,0.0000112510,0.0000100840,0.0000084539,0.0000104746
Indiana,Montgomery,58.26,-0.0000110710,0.0000023376,0.0000220531,0.0000166675,0.0000166774,0.0000147427
Indiana,Morgan,59.81,-0.0000079887,-0.0000016632,0.0000085945,0.0000120407,0.0000131383,0.0000089026
Indiana,Newton,45.27,-0.0000230603,0.0000097060,0.0000015354,0.0000244912,0.0000150730,0.0000325380
Indiana,Noble,64.60,-0.0000285236,0.0000107393,-0.0000150801,0.0000277489,0.0000231809,0.0000307807
Indiana,Ohio,42.43,-0.0000075680,-0.0000065744,-0.0000067131,0.0000102792,0.0000209607,-0.0000030824
Indiana,Orange,54.42,-0.0000070698,0.0000039626,0.0000031874,0.0000133282,0.0000146039,0.0000124069
Indiana,Owen,65.64,-0.0000064658,-0.0000025956,0.0000079547,0.0000108149,0.0000111619,0.0000086523
Indiana,Parke,63.71,-0.0000193409,0.0000105301,0.0000151696,0.0000242813,0.0000197027,0.0000275280
Indiana,Perry,47.25,-0.0000132057,0.0000056854,0.0000013077,0.0000170240,0.0000219180,0.0000104018
Indiana,Pike,49.61,-0.0000192187,0.0000114886,0.0000034897,0.0000231030,0.0000317233,0.0000102149
Indiana,Porter,59.37,-0.0000196294,0.0000023414,0.0000065003,0.0000192871,0.0000189687,0.0000192489
Indiana,Posey,61.61,-0.0000187506,0.0000177561,0.0000020659,0.0000200013,0.0000258146,0.0000111952
Indiana,Pulaski,51.85,-0.0000137184,-0.0000001799,0.0000044724,0.0000157959,0.0000142870,0.0000164534
