State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Iowa,Adair,77.21,-0.0000333432,0.0000225444,-0.0000184414,0.0000338287,0.0000301786,0.0000350347
Iowa,Adams,69.29,-0.0000361242,0.0000222725,-0.0000172019,0.0000358610,0.0000408061,0.0000257973
Iowa,Allamakee,56.67,-0.0000091664,0.0000034231,-0.0000006538,0.0000120496,0.0000114490,0.0000111591
Iowa,Appanoose,49.34,-0.0000133064,0.0000059406,-0.0000078183,0.0000180141,0.0000247429,0.0000073838
Iowa,Audubon,68.54,-0.0000281376,0.0000220171,-0.0000080114,0.0000295532,0.0000241901,0.0000327960
Iowa,Benton,59.95,-0.0000244018,0.0000122295,0.0000070044,0.0000256516,0.0000211548,0.0000291593
Iowa,Black Hawk,64.37,-0.0000269803,0.0000157699,0.0000100386,0.0000286635,0.0000243197,0.0000320375
Iowa,Boone,67.71,-0.0000234944,0.0000131493,-0.0000076119,0.0000247445,0.0000261985,0.0000201002
Iowa,Bremer,60.87,-0.0000236047,0.0000133668,0.0000079451,0.0000250759,0.0000200529,0.0000290235
Iowa,Buchanan,50.03,-0.0000284477,0.0000153998,0.0000073917,0.0000295484,0.0000190144,0.0000402389
Iowa,Buena Vista,53.85,-0.0000294006,0.0000215449,-0.0000070739,0.0000289823,0.0000176439,0.0000403562
Iowa,Butler,62.56,-0.0000202437,0.0000107154,0.0000029674,0.0000220268,0.0000234894,0.0000187136
Iowa,Calhoun,75.49,-0.0000270088,0.0000190896,-0.0000113382,0.0000277753,0.0000249672,0.0000286081
Iowa,Carroll,77.88,-0.0000318691,0.0000224437,-0.0000128921,0.0000323150,0.0000295384,0.0000323619
Iowa,Cass,78.64,-0.0000278482,0.0000195352,-0.0000153284,0.0000294591,0.0000298072,0.0000253183
Iowa,Cedar,40.20,-0.0000222479,0.0000084647,0.0000048822,0.0000229505,0.0000116943,0.0000355040
Iowa,Cerro Gordo,55.48,-0.0000262281,0.0000166150,0.0000002468,0.0000261792,0.0000197682,0.0000319570
Iowa,Cherokee,42.61,-0.0000250627,0.0000177411,-0.0000039409,0.0000247529,0.0000094198,0.0000413580
Iowa,Chickasaw,56.07,-0.0000211287,0.0000112954,0.0000048395,0.0000223865,0.0000168138,0.0000268734
Iowa,Clarke,79.60,-0.0000215250,0.0000126727,-0.0000184158,0.0000242094,0.0000240864,0.0000221864
Iowa,Clay,76.17,-0.0000293471,0.0000210753,0.0000094395,0.0000285303,0.0000260978,0.0000280449
Iowa,Clayton,34.43,-0.0000125187,0.0000025961,0.0000015893,0.0000153150,0.0000072248,0.0000231948
Iowa,Clinton,46.71,-0.0000230497,0.0000109946,0.0000029152,0.0000233198,0.0000147579,0.0000321246
Iowa,Crawford,75.15,-0.0000334391,0.0000253184,-0.0000150481,0.0000332938,0.0000283024,0.0000358197
Iowa,Dallas,67.52,-0.0000192142,0.0000120065,-0.0000161250,0.0000222028,0.0000263583,0.0000139125
Iowa,Davis,65.12,-0.0000206240,0.0000114132,-0.0000025801,0.0000235368,0.0000227547,0.0000222192
Iowa,Decatur,66.61,-0.0000160170,0.0000059091,-0.0000232819,0.0000185061,0.0000203853,0.0000146942
Iowa,Delaware,42.16,-0.0000171549,0.0000078962,0.0000059091,0.0000188498,0.0000089809,0.0000289837
Iowa,Des Moines,62.04,-0.0000188367,0.0000080526,0.0000021991,0.0000211122,0.0000201651,0.0000206259
Iowa,Dickinson,70.64,-0.0000295430,0.0000194928,0.0000044751,0.0000285769,0.0000251633,0.0000293652
Iowa,Dubuque,37.52,-0.0000159010,0.0000036672,0.0000088736,0.0000177980,0.0000071652,0.0000292192
Iowa,Emmet,76.45,-0.0000364115,0.0000272386,0.0000120783,0.0000346977,0.0000314598,0.0000340177
Iowa,Fayette,49.67,-0.0000222437,0.0000128484,0.0000022241,0.0000239682,0.0000155234,0.0000313750
Iowa,Floyd,50.57,-0.0000180781,0.0000104444,-0.0000000414,0.0000194292,0.0000141961,0.0000245287
Iowa,Franklin,60.23,-0.0000269214,0.0000172427,-0.0000011960,0.0000272548,0.0000228036,0.0000310926
Iowa,Fremont,81.18,-0.0000284758,0.0000263094,-0.0000074961,0.0000293508,0.0000280508,0.0000269592
Iowa,Greene,72.84,-0.0000215318,0.0000123432,-0.0000104206,0.0000239589,0.0000235600,0.0000219926
Iowa,Grundy,69.57,-0.0000190697,0.0000115286,0.0000071666,0.0000224124,0.0000209700,0.0000224956
Iowa,Guthrie,77.24,-0.0000208888,0.0000157114,-0.0000123874,0.0000242131,0.0000245127,0.0000215014
Iowa,Hamilton,70.61,-0.0000245257,0.0000160007,-0.0000024235,0.0000247366,0.0000227023,0.0000246407
Iowa,Hancock,60.53,-0.0000347336,0.0000230505,0.0000039980,0.0000343170,0.0000269106,0.0000403862
Iowa,Hardin,57.54,-0.0000209633,0.0000130238,0.0000065180,0.0000224676,0.0000166020,0.0000276822
Iowa,Harrison,68.15,-0.0000331923,0.0000267890,-0.0000090403,0.0000334484,0.0000265999,0.0000382852
Iowa,Henry,59.08,-0.0000182245,0.0000065866,0.0000037520,0.0000206413,0.0000185860,0.0000214241
Iowa,Howard,66.39,-0.0000182815,0.0000138852,0.0000031303,0.0000197863,0.0000167209,0.0000215779
Iowa,Humboldt,48.79,-0.0000216806,0.0000121291,-0.0000024371,0.0000232050,0.0000152944,0.0000309478
Iowa,Ida,57.65,-0.0000282644,0.0000220262,-0.0000129803,0.0000284098,0.0000173914,0.0000394332
Iowa,Iowa,62.08,-0.0000199860,0.0000083335,-0.0000012028,0.0000210722,0.0000201747,0.0000203432
Iowa,Jackson,45.99,-0.0000218778,0.0000102304,0.0000047702,0.0000234311,0.0000142762,0.0000326979
Iowa,Jasper,67.78,-0.0000267619,0.0000159485,-0.0000006881,0.0000268811,0.0000254145,0.0000261637
Iowa,Jefferson,56.29,-0.0000219126,0.0000108177,0.0000060106,0.0000238183,0.0000186357,0.0000281341
Iowa,Johnson,46.71,-0.0000235324,0.0000073597,0.0000028884,0.0000240043,0.0000171088,0.0000306644
Iowa,Jones,37.80,-0.0000199144,0.0000069121,0.0000080411,0.0000209717,0.0000082890,0.0000352731
Iowa,Keokuk,65.44,-0.0000194303,0.0000071521,0.0000065226,0.0000204032,0.0000206943,0.0000186022
Iowa,Kossuth,62.51,-0.0000355633,0.0000237899,0.0000020564,0.0000347463,0.0000283446,0.0000393281
Iowa,Lee,62.94,-0.0000194604,0.0000102234,-0.0000021560,0.0000224431,0.0000228963,0.0000200810
Iowa,Linn,38.80,-0.0000187841,0.0000054571,0.0000080340,0.0000201672,0.0000090447,0.0000323238
Iowa,Louisa,56.24,-0.0000187710,0.0000046235,0.0000052271,0.0000202832,0.0000177943,0.0000217896
Iowa,Lucas,66.75,-0.0000233732,0.0000131434,-0.0000145603,0.0000251549,0.0000290825,0.0000173330
Iowa,Lyon,74.64,-0.0000287662,0.0000229905,-0.0000043794,0.0000278428,0.0000242693,0.0000288309
Iowa,Madison,80.68,-0.0000263474,0.0000172593,-0.0000200737,0.0000274457,0.0000282453,0.0000233996
Iowa,Mahaska,68.12,-0.0000213304,0.0000106922,0.0000113309,0.0000225161,0.0000244931,0.0000181689
Iowa,Marion,65.99,-0.0000256752,0.0000164963,-0.0000013688,0.0000274548,0.0000284468,0.0000234963
Iowa,Marshall,65.19,-0.0000235058,0.0000140851,0.0000047410,0.0000251381,0.0000220162,0.0000266278
Iowa,Mills,74.35,-0.0000237454,0.0000221938,0.0000045734,0.0000259924,0.0000273743,0.0000209393
Iowa,Mitchell,47.46,-0.0000203943,0.0000141654,-0.0000005712,0.0000216602,0.0000129501,0.0000306562
Iowa,Monona,60.23,-0.0000255170,0.0000192273,-0.0000075536,0.0000266264,0.0000195018,0.0000332774
Iowa,Monroe,57.55,-0.0000234486,0.0000137347,-0.0000039443,0.0000256499,0.0000308113,0.0000159204
Iowa,Montgomery,55.34,-0.0000218561,0.0000173958,-0.0000064064,0.0000239354,0.0000338404,0.0000076265
Iowa,Muscatine,51.66,-0.0000222287,0.0000079326,0.0000052434,0.0000233592,0.0000176863,0.0000283431
Iowa,Osceola,67.84,-0.0000338304,0.0000223239,-0.0000018967,0.0000318695,0.0000284084,0.0000329560
Iowa,Page,74.46,-0.0000227598,0.0000198273,-0.0000100764,0.0000239143,0.0000267232,0.0000173269
Iowa,Palo Alto,73.52,-0.0000317869,0.0000222618,0.0000107844,0.0000311034,0.0000272297,0.0000328924
Iowa,Plymouth,69.44,-0.0000249987,0.0000187587,-0.0000117250,0.0000247687,0.0000194596,0.0000288572
Iowa,Pocahontas,54.29,-0.0000289026,0.0000189596,-0.0000044969,0.0000291839,0.0000205247,0.0000380092
Iowa,Polk,74.93,-0.0000252699,0.0000168159,-0.0000098876,0.0000271520,0.0000270356,0.0000243981
Iowa,Pottawattamie,73.36,-0.0000249679,0.0000193454,-0.0000040585,0.0000270805,0.0000268668,0.0000239818
Iowa,Poweshiek,60.75,-0.0000204916,0.0000099166,0.0000026867,0.0000217047,0.0000235294,0.0000169073
Iowa,Ringgold,67.20,-0.0000213700,0.0000101307,-0.0000181166,0.0000237339,0.0000198677,0.0000268542
