State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Kansas,Allen,69.81,-0.0000329168,0.0000298909,-0.0000070702,0.0000317966,0.0000251056,0.0000371918
Kansas,Anderson,66.35,-0.0000257466,0.0000111392,-0.0000066120,0.0000266153,0.0000239412,0.0000266340
Kansas,Atchison,74.53,-0.0000285523,0.0000226104,-0.0000124293,0.0000288130,0.0000318524,0.0000210932
Kansas,Barber,70.28,-0.0000184134,0.0000228470,-0.0000071722,0.0000276120,0.0000204817,0.0000293688
Kansas,Barton,54.03,-0.0000261199,0.0000304967,-0.0000192801,0.0000297609,0.0000142035,0.0000493638
Kansas,Bourbon,65.49,-0.0000230976,0.0000198329,-0.0000117096,0.0000240756,0.0000172900,0.0000302546
Kansas,Brown,78.89,-0.0000291234,0.0000257759,-0.0000091875,0.0000300351,0.0000310127,0.0000246248
Kansas,Butler,71.68,-0.0000286624,0.0000260630,-0.0000044775,0.0000305713,0.0000259035,0.0000327578
Kansas,Chase,72.91,-0.0000310134,0.0000241563,-0.0000183269,0.0000296067,0.0000229922,0.0000348838
Kansas,Chautauqua,75.36,-0.0000240425,0.0000183687,0.0000121082,0.0000267858,0.0000234203,0.0000275989
Kansas,Cherokee,74.22,-0.0000340092,0.0000292144,-0.0000120185,0.0000350905,0.0000299686,0.0000380692
Kansas,Cheyenne,44.41,-0.0000364703,0.0000294889,-0.0000019876,0.0000365116,0.0000201141,0.0000600165
Kansas,Clark,56.03,-0.0000342452,0.0000353630,-0.0000190866,0.0000358361,0.0000240107,0.0000564937
Kansas,Clay,62.20,-0.0000294039,0.0000252403,-0.0000168722,0.0000312625,0.0000212392,0.0000414689
Kansas,Cloud,56.19,-0.0000225872,0.0000226665,-0.0000119410,0.0000261838,0.0000161515,0.0000380026
Kansas,Coffey,75.90,-0.0000274234,0.0000197525,-0.0000096160,0.0000260564,0.0000236825,0.0000255332
Kansas,Comanche,73.24,-0.0000307943,0.0000296857,-0.0000138961,0.0000346303,0.0000251707,0.0000381369
Kansas,Cowley,73.01,-0.0000212231,0.0000188288,0.0000132542,0.0000258023,0.0000214156,0.0000279882
Kansas,Crawford,77.44,-0.0000284158,0.0000250111,-0.0000134555,0.0000295791,0.0000256434,0.0000317632
Kansas,Decatur,62.17,-0.0000345622,0.0000296319,-0.0000198336,0.0000340793,0.0000228582,0.0000471441
Kansas,Dickinson,65.65,-0.0000346705,0.0000281695,-0.0000149876,0.0000360835,0.0000271537,0.0000438502
Kansas,Doniphan,70.08,-0.0000219881,0.0000177746,-0.0000084126,0.0000237383,0.0000268381,0.0000162468
Kansas,Douglas,79.66,-0.0000243030,0.0000192350,-0.0000216783,0.0000250005,0.0000284283,0.0000167710
Kansas,Edwards,56.88,-0.0000260471,0.0000264248,-0.0000173379,0.0000284492,0.0000160939,0.0000434102
Kansas,Elk,56.79,-0.0000296035,0.0000230021,0.0000001436,0.0000305386,0.0000221170,0.0000380031
Kansas,Ellis,52.57,-0.0000248437,0.0000306534,-0.0000224874,0.0000269148,0.0000095359,0.0000494702
Kansas,Ellsworth,67.20,-0.0000384196,0.0000351076,-0.0000132957,0.0000397214,0.0000304943,0.0000481423
Kansas,Finney,49.30,-0.0000178357,0.0000162745,-0.0000208235,0.0000150318,0.0000139493,0.0000347894
Kansas,Ford,62.18,-0.0000283686,0.0000258008,-0.0000171909,0.0000316763,0.0000191262,0.0000416222
Kansas,Franklin,79.53,-0.0000219952,0.0000178867,-0.0000159504,0.0000238644,0.0000255388,0.0000176309
Kansas,Geary,73.07,-0.0000330676,0.0000271479,-0.0000137934,0.0000345996,0.0000290653,0.0000378726
Kansas,Gove,76.31,-0.0000131039,0.0000203628,-0.0000245562,0.0000174748,0.0000087594,0.0000233019
Kansas,Graham,59.04,-0.0000259690,0.0000280611,-0.0000214653,0.0000271626,0.0000143541,0.0000431341
Kansas,Grant,62.16,-0.0000281834,0.0000225843,-0.0000103785,0.0000283726,0.0000293874,0.0000374553
Kansas,Gray,50.69,-0.0000213105,0.0000217296,-0.0000191045,0.0000195772,0.0000131437,0.0000398337
Kansas,Greeley,76.79,-0.0000177074,0.0000196717,-0.0000111681,0.0000109030,0.0000196401,0.0000179136
Kansas,Greenwood,65.35,-0.0000320286,0.0000241877,-0.0000085076,0.0000311106,0.0000235093,0.0000368986
Kansas,Hamilton,58.82,-0.0000259432,0.0000229929,-0.0000042798,0.0000212512,0.0000237866,0.0000327843
Kansas,Harper,71.30,-0.0000193557,0.0000266412,-0.0000026291,0.0000300746,0.0000314732,0.0000223266
Kansas,Harvey,73.81,-0.0000207908,0.0000187548,-0.0000102669,0.0000226955,0.0000191329,0.0000252026
