State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Kentucky,Adair,71.14,-0.0000150392,0.0000116545,0.0000140967,0.0000176102,0.0000141378,0.0000205870
Kentucky,Allen,73.20,-0.0000215043,0.0000249689,0.0000141682,0.0000266595,0.0000319578,0.0000182253
Kentucky,Anderson,41.41,-0.0000091285,0.0000031069,0.0000065657,0.0000142884,0.0000225091,0.0000037950
Kentucky,Ballard,50.74,-0.0000059791,0.0000056596,0.0000135238,0.0000062587,0.0000163371,-0.0000052182
Kentucky,Barren,87.86,-0.0000172578,0.0000198547,0.0000148764,0.0000221939,0.0000221563,0.0000205840
Kentucky,Bath,50.52,-0.0000262206,0.0000200993,0.0000000914,0.0000282686,0.0000407958,0.0000098430
Kentucky,Bell,69.89,-0.0000306653,0.0000276347,-0.0000004008,0.0000345493,0.0000360931,0.0000267458
Kentucky,Boone,36.17,-0.0000068595,-0.0000012455,-0.0000044383,0.0000098981,0.0000174559,0.0000000214
Kentucky,Bourbon,50.52,-0.0000206432,0.0000165120,-0.0000003820,0.0000225087,0.0000329462,0.0000080430
Kentucky,Boyd,57.42,0.0000014331,-0.0000105880,0.0000047587,0.0000030324,0.0000107020,-0.0000053833
Kentucky,Boyle,63.61,-0.0000145354,0.0000098065,0.0000127289,0.0000208072,0.0000242526,0.0000151442
Kentucky,Bracken,46.95,-0.0000111193,0.0000044513,0.0000065944,0.0000159670,0.0000223938,0.0000083230
Kentucky,Breathitt,82.09,-0.0000146351,0.0000184084,0.0000224826,0.0000247996,0.0000260933,0.0000205544
Kentucky,Breckinridge,58.96,-0.0000144134,0.0000098399,0.0000021323,0.0000194560,0.0000215152,0.0000153274
Kentucky,Bullitt,46.59,-0.0000069775,-0.0000043355,0.0000047461,0.0000108642,0.0000163032,0.0000041931
Kentucky,Butler,70.45,-0.0000189441,0.0000200053,0.0000080712,0.0000244110,0.0000275565,0.0000187348
Kentucky,Caldwell,55.37,-0.0000137814,0.0000115502,0.0000151995,0.0000161089,0.0000269182,0.0000017121
Kentucky,Calloway,45.15,-0.0000168741,0.0000098048,0.0000094045,0.0000140266,0.0000291589,-0.0000056934
Kentucky,Campbell,38.94,-0.0000063215,-0.0000007776,0.0000011791,0.0000110413,0.0000146806,0.0000064086
Kentucky,Carlisle,38.48,-0.0000059155,0.0000021283,0.0000127076,0.0000049764,0.0000179521,-0.0000103318
Kentucky,Carroll,33.89,-0.0000077751,-0.0000064453,0.0000053876,0.0000098632,0.0000269177,-0.0000110858
Kentucky,Carter,31.71,-0.0000039236,-0.0000043001,0.0000011698,0.0000092963,0.0000202007,-0.0000042529
Kentucky,Casey,72.86,-0.0000150349,0.0000087275,0.0000144653,0.0000210333,0.0000198576,0.0000205245
Kentucky,Christian,55.14,-0.0000180410,0.0000167691,0.0000068215,0.0000196660,0.0000300999,0.0000044608
Kentucky,Clark,55.68,-0.0000243920,0.0000172148,0.0000052930,0.0000270653,0.0000358035,0.0000144802
Kentucky,Clay,77.42,-0.0000266872,0.0000291543,0.0000106768,0.0000334734,0.0000347875,0.0000278161
Kentucky,Clinton,85.80,-0.0000241864,0.0000242066,0.0000150083,0.0000272314,0.0000274189,0.0000240321
Kentucky,Crittenden,69.36,-0.0000113482,0.0000074373,0.0000106307,0.0000125522,0.0000153610,0.0000083774
Kentucky,Cumberland,87.31,-0.0000206453,0.0000206534,0.0000174440,0.0000246596,0.0000240369,0.0000230676
Kentucky,Daviess,44.50,-0.0000142468,0.0000150792,0.0000019384,0.0000182138,0.0000323645,-0.0000007162
Kentucky,Edmonson,82.00,-0.0000197174,0.0000198789,0.0000116493,0.0000241974,0.0000230008,0.0000238227
Kentucky,Elliott,32.15,-0.0000063255,-0.0000012717,0.0000024589,0.0000135863,0.0000231746,0.0000008023
Kentucky,Estill,69.93,-0.0000240765,0.0000237897,0.0000065575,0.0000306099,0.0000331644,0.0000250181
Kentucky,Fayette,57.32,-0.0000158381,0.0000097530,0.0000097366,0.0000192823,0.0000252532,0.0000106619
Kentucky,Fleming,45.14,-0.0000198470,0.0000097246,0.0000025293,0.0000227176,0.0000333557,0.0000083317
Kentucky,Floyd,66.80,-0.0000056974,0.0000032717,0.0000147295,0.0000143655,0.0000128576,0.0000151769
Kentucky,Franklin,37.64,-0.0000100927,0.0000038572,0.0000054359,0.0000144947,0.0000256740,-0.0000004404
Kentucky,Fulton,75.63,-0.0000105163,0.0000136709,0.0000159752,0.0000114941,0.0000175032,0.0000020353
Kentucky,Gallatin,30.71,-0.0000130442,0.0000006348,-0.0000010155,0.0000151654,0.0000276354,-0.0000014403
Kentucky,Garrard,75.60,-0.0000183363,0.0000155614,0.0000148999,0.0000238715,0.0000252299,0.0000206466
Kentucky,Grant,45.93,-0.0000138254,0.0000065564,0.0000063331,0.0000177155,0.0000264411,0.0000048721
Kentucky,Graves,38.39,-0.0000082855,0.0000013255,0.0000161168,0.0000059359,0.0000213457,-0.0000128097
Kentucky,Grayson,76.35,-0.0000208977,0.0000208904,0.0000053863,0.0000257406,0.0000252802,0.0000236680
Kentucky,Green,59.00,-0.0000120610,0.0000101588,0.0000108945,0.0000152629,0.0000103101,0.0000207663
Kentucky,Greenup,50.84,0.0000040959,-0.0000120583,0.0000051161,0.0000009369,0.0000129997,-0.0000118968
Kentucky,Hancock,52.97,-0.0000140796,0.0000151868,0.0000030719,0.0000180597,0.0000269374,0.0000058951
