State,Parish,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Louisiana,Acadia,57.92,-0.0000149646,0.0000115468,-0.0000017300,0.0000084449,0.0000078930,0.0000098003
Louisiana,Allen,49.66,-0.0000048608,-0.0000008268,0.0000037202,-0.0000017923,-0.0000041892,0.0000031415
Louisiana,Ascension,42.11,-0.0000147850,0.0000052896,0.0000067588,0.0000042074,-0.0000036410,0.0000127736
Louisiana,Assumption,51.30,-0.0000186245,0.0000085094,0.0000110377,0.0000083799,-0.0000007527,0.0000178727
Louisiana,Avoyelles,50.11,-0.0000104193,0.0000043590,0.0000056604,0.0000038892,0.0000062816,0.0000034938
Louisiana,Beauregard,41.56,-0.0000002711,-0.0000071272,0.0000067313,-0.0000066846,0.0000004295,-0.0000140320
Louisiana,Bienville,64.55,-0.0000281962,0.0000288202,0.0000064533,0.0000260968,0.0000368282,0.0000120513
Louisiana,Bossier,69.37,-0.0000309734,0.0000342357,0.0000055915,0.0000316303,0.0000396873,0.0000189381
Louisiana,Caddo,74.71,-0.0000280326,0.0000364350,0.0000062939,0.0000313000,0.0000371698,0.0000207407
Louisiana,Calcasieu,28.69,-0.0000035240,-0.0000000501,0.0000060799,-0.0000010241,0.0000067099,-0.0000090963
Louisiana,Caldwell,59.38,-0.0000200939,0.0000214285,0.0000058513,0.0000183722,0.0000296029,0.0000045139
Louisiana,Cameron,63.41,-0.0000065555,0.0000090335,0.0000057911,0.0000058012,0.0000113187,0.0000003912
Louisiana,Catahoula,52.58,-0.0000168331,0.0000134461,0.0000013384,0.0000118777,0.0000215051,0.0000019744
Louisiana,Claiborne,67.98,-0.0000271490,0.0000282521,0.0000061827,0.0000275233,0.0000350438,0.0000166827
Louisiana,Concordia,55.14,-0.0000156724,0.0000099307,0.0000026193,0.0000079477,0.0000137579,0.0000043097
Louisiana,De Soto,64.19,-0.0000275829,0.0000311874,0.0000064914,0.0000268898,0.0000386069,0.0000106866
Louisiana,East Baton Rouge,25.88,-0.0000098319,0.0000004945,0.0000037995,-0.0000005780,-0.0000103228,0.0000121051
Louisiana,East Carroll,39.00,-0.0000129645,0.0000087999,-0.0000023624,0.0000083125,0.0000227895,-0.0000081127
Louisiana,East Feliciana,51.15,-0.0000057411,-0.0000091499,0.0000042695,-0.0000081059,-0.0000155091,0.0000043974
Louisiana,Evangeline,49.84,-0.0000080019,0.0000047788,0.0000034604,0.0000028329,0.0000007814,0.0000075096
Louisiana,Franklin,53.30,-0.0000186642,0.0000167031,0.0000023251,0.0000146475,0.0000259877,0.0000017424
Louisiana,Grant,45.88,-0.0000148449,0.0000114458,0.0000068895,0.0000104764,0.0000252728,-0.0000067185
Louisiana,Iberia,60.49,-0.0000196179,0.0000154960,-0.0000031349,0.0000129885,0.0000047887,0.0000196908
Louisiana,Iberville,42.41,-0.0000169129,0.0000108093,0.0000028227,0.0000085462,-0.0000034546,0.0000206333
Louisiana,Jackson,66.22,-0.0000229640,0.0000234665,0.0000065831,0.0000220593,0.0000300395,0.0000108799
Louisiana,Jefferson,23.53,-0.0000203892,-0.0000003687,0.0000106625,-0.0000005291,-0.0000032492,0.0000048823
Louisiana,Jefferson Davis,47.09,-0.0000119992,0.0000070578,0.0000027239,0.0000038633,0.0000074873,0.0000015495
Louisiana,Lafayette,57.29,-0.0000200765,0.0000147599,-0.0000026620,0.0000122669,0.0000060584,0.0000184230
Louisiana,Lafourche,37.95,-0.0000222164,0.0000041520,0.0000177408,0.0000037903,0.0000012783,0.0000088660
Louisiana,Lincoln,73.08,-0.0000224048,0.0000233220,0.0000047262,0.0000220124,0.0000262696,0.0000154555
Louisiana,Livingston,34.93,-0.0000127986,0.0000043659,0.0000042777,0.0000025264,-0.0000012974,0.0000081750
Louisiana,Madison,34.66,-0.0000135762,0.0000079427,0.0000007102,0.0000081492,0.0000243995,-0.0000089041
Louisiana,Morehouse,48.64,-0.0000135898,0.0000124998,0.0000021966,0.0000123191,0.0000227670,-0.0000004217
Louisiana,Natchitoches,51.93,-0.0000219254,0.0000201746,0.0000093565,0.0000171975,0.0000349421,-0.0000037776
Louisiana,Orleans,19.23,-0.0000212320,0.0000016939,0.0000048728,0.0000011366,0.0000006180,0.0000043208
Louisiana,Ouachita,63.79,-0.0000190988,0.0000183629,0.0000093095,0.0000170134,0.0000259841,0.0000056216
