State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Maryland,Allegany,50.22,-0.0000114918,-0.0000080678,-0.0000007094,0.0000117225,0.0000173281,0.0000043609
Maryland,Anne Arundel,57.27,-0.0000168491,0.0000095605,0.0000027147,0.0000216324,0.0000242185,0.0000173272
Maryland,Baltimore,52.09,-0.0000409560,0.0000130909,0.0000057012,0.0000298941,0.0000342699,0.0000229528
Maryland,Calvert,62.77,-0.0000167304,0.0000107229,0.0000081937,0.0000225382,0.0000249345,0.0000183502
Maryland,Caroline,44.35,-0.0000096659,0.0000059571,0.0000042128,0.0000154907,0.0000230096,0.0000060150
Maryland,Carroll,54.95,-0.0000485092,0.0000174548,0.0000125410,0.0000343080,0.0000412058,0.0000234601
Maryland,Cecil,47.33,-0.0000168603,0.0000097933,0.0000001667,0.0000201505,0.0000277465,0.0000105630
Maryland,Charles,69.96,-0.0000240788,0.0000202536,0.0000074197,0.0000300951,0.0000315163,0.0000265569
Maryland,Dorchester,41.42,-0.0000072890,0.0000008896,0.0000060506,0.0000108215,0.0000165488,0.0000039088
Maryland,Frederick,61.99,-0.0000384149,0.0000166567,0.0000102210,0.0000318272,0.0000364161,0.0000234775
Maryland,Garrett,51.70,-0.0000086728,-0.0000105251,0.0000119006,0.0000082462,0.0000205779,-0.0000056815
Maryland,Harford,56.42,-0.0000191617,0.0000132449,-0.0000013418,0.0000229242,0.0000275712,0.0000157636
Maryland,Howard,59.17,-0.0000363571,0.0000161534,0.0000090220,0.0000275055,0.0000321756,0.0000200668
Maryland,Kent,44.77,-0.0000124557,0.0000114027,0.0000003390,0.0000164903,0.0000265706,0.0000044986
Maryland,Montgomery,54.61,-0.0000419728,0.0000172311,0.0000049430,0.0000309604,0.0000350066,0.0000238005
Maryland,Somerset,39.01,-0.0000098978,0.0000016244,0.0000195270,0.0000097587,0.0000274350,-0.0000099100
Maryland,Talbot,47.75,-0.0000096562,0.0000053520,0.0000028500,0.0000139873,0.0000188537,0.0000078552
Maryland,Washington,56.36,-0.0000201846,0.0000068469,0.0000013020,0.0000177921,0.0000168238,0.0000179466
Maryland,Wicomico,47.99,-0.0000055312,0.0000013392,0.0000142011,0.0000108404,0.0000177621,0.0000027853
Maryland,Worcester,41.34,-0.0000082388,0.0000033060,0.0000153637,0.0000134342,0.0000269137,-0.0000027425
