State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Massachusetts,Berkshire,39.48,-0.0000136797,-0.0000007829,0.0000050858,0.0000099381,0.0000178494,0.0000009136
Massachusetts,Bristol,55.04,-0.0000291555,0.0000069853,-0.0000125028,0.0000208378,0.0000248623,0.0000146970
Massachusetts,Dukes,59.37,-0.0000336497,0.0000091398,-0.0000165986,0.0000255498,0.0000318685,0.0000167895
Massachusetts,Essex,47.78,-0.0000314942,0.0000069417,-0.0000020395,0.0000230972,0.0000268759,0.0000164370
Massachusetts,Franklin,49.99,-0.0000186388,0.0000034503,0.0000048374,0.0000130852,0.0000175392,0.0000061518
Massachusetts,Hampden,52.47,-0.0000198267,0.0000054899,0.0000011115,0.0000164223,0.0000170114,0.0000131605
Massachusetts,Hampshire,57.79,-0.0000207367,0.0000085080,0.0000054076,0.0000155854,0.0000171955,0.0000112802
Massachusetts,Middlesex,45.95,-0.0000317053,0.0000066499,-0.0000007210,0.0000230203,0.0000245665,0.0000193602
Massachusetts,Nantucket,53.99,-0.0000372343,0.0000093785,-0.0000091537,0.0000293381,0.0000381023,0.0000176863
Massachusetts,Norfolk,51.02,-0.0000332608,0.0000108632,-0.0000043639,0.0000235534,0.0000258297,0.0000189894
Massachusetts,Plymouth,53.23,-0.0000363576,0.0000092350,-0.0000093629,0.0000271695,0.0000317034,0.0000192861
Massachusetts,Suffolk,48.68,-0.0000333013,0.0000099980,0.0000016573,0.0000237582,0.0000253269,0.0000197865
Massachusetts,Worcester,54.37,-0.0000317387,0.0000115645,0.0000063857,0.0000233696,0.0000241597,0.0000196176
