State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Michigan,Alcona,51.85,-0.0000218861,0.0000022924,-0.0000096435,0.0000213473,0.0000261362,0.0000126330
Michigan,Alger,57.64,-0.0000219711,0.0000113529,-0.0000166446,0.0000204293,0.0000305820,0.0000060664
Michigan,Allegan,58.69,-0.0000198790,0.0000065217,-0.0000092991,0.0000199499,0.0000158155,0.0000230258
Michigan,Alpena,41.26,-0.0000170742,0.0000023036,0.0000011131,0.0000168132,0.0000234447,0.0000066292
Michigan,Antrim,48.46,-0.0000074192,0.0000006168,-0.0000046004,0.0000064896,0.0000041754,0.0000088842
Michigan,Arenac,56.06,-0.0000245040,0.0000066804,-0.0000029429,0.0000231541,0.0000256984,0.0000180627
Michigan,Baraga,60.14,-0.0000087625,0.0000065551,-0.0000030686,0.0000091831,0.0000047156,0.0000113320
Michigan,Barry,71.09,-0.0000274536,0.0000128938,-0.0000114936,0.0000271015,0.0000242509,0.0000267120
Michigan,Bay,70.23,-0.0000253197,0.0000111719,-0.0000123170,0.0000238158,0.0000229465,0.0000227104
Michigan,Benzie,24.12,-0.0000075115,-0.0000024137,-0.0000021068,0.0000071818,-0.0000044849,0.0000199324
Michigan,Berrien,53.18,-0.0000182231,0.0000023172,-0.0000031209,0.0000194399,0.0000205831,0.0000163054
Michigan,Branch,79.00,-0.0000279570,0.0000157806,-0.0000239361,0.0000265257,0.0000229201,0.0000287116
Michigan,Calhoun,75.52,-0.0000289078,0.0000149666,-0.0000183461,0.0000275119,0.0000246163,0.0000279057
Michigan,Cass,68.22,-0.0000201090,0.0000076599,-0.0000086370,0.0000210408,0.0000200935,0.0000199201
Michigan,Charlevoix,62.55,-0.0000047331,-0.0000017818,-0.0000016334,0.0000056455,0.0000050210,0.0000050831
Michigan,Cheboygan,58.31,-0.0000165714,0.0000039128,-0.0000088628,0.0000159940,0.0000121440,0.0000184211
Michigan,Chippewa,51.90,-0.0000107478,0.0000015530,-0.0000026568,0.0000093838,0.0000114161,0.0000062234
Michigan,Clare,57.55,-0.0000240377,0.0000095266,0.0000023150,0.0000225367,0.0000187130,0.0000251704
Michigan,Clinton,65.29,-0.0000241478,0.0000117856,-0.0000149105,0.0000238150,0.0000184965,0.0000277407
Michigan,Crawford,54.21,-0.0000172758,0.0000047196,-0.0000070158,0.0000153592,0.0000114188,0.0000192831
Michigan,Delta,46.03,-0.0000161002,0.0000039428,-0.0000068977,0.0000165036,0.0000242370,0.0000046516
Michigan,Dickinson,54.61,-0.0000123004,0.0000071654,-0.0000047871,0.0000124152,0.0000058520,0.0000162139
Michigan,Eaton,75.93,-0.0000268485,0.0000158242,-0.0000134978,0.0000261352,0.0000239118,0.0000250816
Michigan,Emmet,64.02,-0.0000082442,0.0000002151,-0.0000068288,0.0000091507,0.0000085314,0.0000087838
Michigan,Genesee,77.52,-0.0000224828,0.0000105537,-0.0000184468,0.0000209556,0.0000205678,0.0000196646
Michigan,Gladwin,60.97,-0.0000271779,0.0000111728,-0.0000022194,0.0000253579,0.0000247068,0.0000237072
Michigan,Gogebic,63.04,-0.0000096840,0.0000063953,0.0000169391,0.0000116961,0.0000078003,0.0000135169
Michigan,Grand Traverse,28.75,-0.0000105375,0.0000022222,-0.0000031102,0.0000090043,-0.0000003301,0.0000189530
Michigan,Gratiot,68.81,-0.0000258850,0.0000133901,-0.0000186409,0.0000247064,0.0000193387,0.0000288771
Michigan,Hillsdale,76.55,-0.0000231135,0.0000104174,-0.0000170062,0.0000222814,0.0000219077,0.0000209112
Michigan,Houghton,61.88,-0.0000074706,0.0000063314,0.0000029074,0.0000089341,0.0000048885,0.0000105198
Michigan,Huron,72.28,-0.0000213814,0.0000096414,-0.0000168707,0.0000196695,0.0000226980,0.0000142217
Michigan,Ingham,70.84,-0.0000189793,0.0000087636,-0.0000092588,0.0000188020,0.0000168920,0.0000194225
Michigan,Ionia,63.26,-0.0000310399,0.0000155444,-0.0000084345,0.0000299129,0.0000243174,0.0000332552
Michigan,Iosco,49.88,-0.0000226417,0.0000031948,-0.0000039542,0.0000220308,0.0000260570,0.0000145137
Michigan,Iron,66.05,-0.0000101053,0.0000079456,0.0000032810,0.0000106142,0.0000063845,0.0000120931
Michigan,Isabella,63.48,-0.0000300557,0.0000120156,-0.0000073795,0.0000278740,0.0000260272,0.0000274572
Michigan,Jackson,74.23,-0.0000226583,0.0000103860,-0.0000134754,0.0000219671,0.0000218380,0.0000202184
Michigan,Kalamazoo,62.15,-0.0000283799,0.0000117686,-0.0000092933,0.0000272069,0.0000221244,0.0000301876
Michigan,Kalkaska,43.77,-0.0000135667,0.0000046289,-0.0000058645,0.0000116519,0.0000048898,0.0000186855
Michigan,Kent,66.67,-0.0000291183,0.0000142151,-0.0000073214,0.0000276070,0.0000243442,0.0000291771
Michigan,Lake,44.53,-0.0000184740,0.0000031598,0.0000080067,0.0000187212,0.0000115795,0.0000257237
Michigan,Lapeer,68.32,-0.0000280560,0.0000117331,-0.0000146764,0.0000245084,0.0000269089,0.0000201129
Michigan,Leelanau,38.56,-0.0000014877,-0.0000039144,-0.0000067315,0.0000013344,-0.0000062542,0.0000097662
Michigan,Lenawee,70.91,-0.0000226012,0.0000102497,-0.0000135625,0.0000221659,0.0000239174,0.0000174567
Michigan,Livingston,56.22,-0.0000159167,0.0000044906,-0.0000011684,0.0000155189,0.0000167859,0.0000133056
Michigan,Luce,70.93,-0.0000112243,0.0000047839,0.0000065233,0.0000104417,0.0000094541,0.0000105375
Michigan,Mackinac,54.00,-0.0000115004,-0.0000002527,-0.0000037742,0.0000111075,0.0000119467,0.0000091117
Michigan,Macomb,58.97,-0.0000334497,0.0000136791,-0.0000065938,0.0000279012,0.0000343493,0.0000184930
Michigan,Manistee,35.85,-0.0000177194,0.0000032369,0.0000086046,0.0000165917,0.0000049616,0.0000290629
Michigan,Marquette,80.30,-0.0000134190,0.0000074248,-0.0000141040,0.0000129032,0.0000099656,0.0000133395
Michigan,Mason,48.73,-0.0000224921,0.0000062815,0.0000128700,0.0000216465,0.0000130222,0.0000304819
Michigan,Mecosta,62.53,-0.0000267294,0.0000076489,-0.0000079519,0.0000258093,0.0000235621,0.0000263724
Michigan,Menominee,57.43,-0.0000200562,0.0000112603,-0.0000074580,0.0000196611,0.0000117522,0.0000247399
Michigan,Midland,63.85,-0.0000285745,0.0000116743,-0.0000076329,0.0000265322,0.0000229722,0.0000280840
Michigan,Missaukee,42.14,-0.0000173853,0.0000069888,0.0000051161,0.0000157713,0.0000063676,0.0000251594
Michigan,Monroe,64.12,-0.0000211172,0.0000032416,-0.0000122445,0.0000201092,0.0000198173,0.0000194940
Michigan,Montcalm,64.78,-0.0000327758,0.0000145177,-0.0000093831,0.0000307964,0.0000263806,0.0000332277
Michigan,Montmorency,59.79,-0.0000181687,0.0000042493,0.0000078444,0.0000170242,0.0000143779,0.0000188935
Michigan,Muskegon,55.69,-0.0000192377,0.0000034281,-0.0000060124,0.0000181130,0.0000207085,0.0000143443
Michigan,Newaygo,58.20,-0.0000240865,0.0000075464,-0.0000012192,0.0000230389,0.0000215633,0.0000232425
Michigan,Oakland,57.37,-0.0000267082,0.0000112955,-0.0000040707,0.0000235778,0.0000288849,0.0000156920
Michigan,Oceana,56.94,-0.0000181346,0.0000034865,0.0000021723,0.0000177675,0.0000167995,0.0000179123
Michigan,Ogemaw,56.76,-0.0000233826,0.0000063800,-0.0000028411,0.0000221672,0.0000242655,0.0000180764
Michigan,Ontonagon,79.65,-0.0000130850,0.0000077756,0.0000111252,0.0000142777,0.0000117608,0.0000141031
Michigan,Osceola,45.46,-0.0000216028,0.0000062169,0.0000011612,0.0000208347,0.0000142610,0.0000268026
Michigan,Oscoda,62.02,-0.0000199419,0.0000037380,-0.0000086361,0.0000187709,0.0000196000,0.0000163001
Michigan,Otsego,46.81,-0.0000181321,0.0000051633,-0.0000001565,0.0000163255,0.0000115760,0.0000205673
Michigan,Ottawa,58.73,-0.0000209914,0.0000043994,-0.0000057013,0.0000197234,0.0000179473,0.0000207845
Michigan,Presque Isle,60.72,-0.0000220499,0.0000055899,-0.0000074543,0.0000203727,0.0000190087,0.0000191377
Michigan,Roscommon,56.67,-0.0000196290,0.0000066282,-0.0000005979,0.0000181331,0.0000152837,0.0000196325
