State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Minnesota,Aitkin,65.26,-0.0000185320,0.0000118948,-0.0000257960,0.0000163595,0.0000122444,0.0000183256
Minnesota,Anoka,81.28,-0.0000276069,0.0000245017,-0.0000149141,0.0000255083,0.0000202223,0.0000282109
Minnesota,Becker,80.11,-0.0000259397,0.0000188590,-0.0000188370,0.0000216426,0.0000245122,0.0000154352
Minnesota,Beltrami,86.74,-0.0000230407,0.0000228672,-0.0000173968,0.0000179631,0.0000231562,0.0000100439
Minnesota,Benton,68.45,-0.0000276571,0.0000258153,-0.0000054908,0.0000242088,0.0000157570,0.0000302956
Minnesota,Big Stone,83.43,-0.0000296889,0.0000208059,-0.0000309664,0.0000266314,0.0000239576,0.0000262985
Minnesota,Blue Earth,55.58,-0.0000315548,0.0000248535,0.0000032172,0.0000301948,0.0000183266,0.0000406483
Minnesota,Brown,92.02,-0.0000220332,0.0000189123,0.0000190145,0.0000217768,0.0000207631,0.0000200193
Minnesota,Carlton,58.51,-0.0000120798,0.0000066057,-0.0000188175,0.0000108638,0.0000065534,0.0000137095
Minnesota,Carver,70.94,-0.0000321907,0.0000252525,-0.0000142438,0.0000297297,0.0000214755,0.0000352214
Minnesota,Cass,57.50,-0.0000146473,0.0000121138,-0.0000263248,0.0000124346,0.0000097771,0.0000130224
Minnesota,Chippewa,67.13,-0.0000282448,0.0000208506,-0.0000205677,0.0000264612,0.0000170381,0.0000345391
Minnesota,Chisago,83.20,-0.0000228450,0.0000251633,-0.0000150646,0.0000211392,0.0000156854,0.0000246264
Minnesota,Clay,71.20,-0.0000275965,0.0000185840,-0.0000149605,0.0000231574,0.0000293034,0.0000123294
Minnesota,Clearwater,84.77,-0.0000210307,0.0000195890,-0.0000218968,0.0000162883,0.0000226330,0.0000065104
Minnesota,Cook,41.77,-0.0000039546,0.0000004409,0.0000111297,0.0000045193,0.0000065277,0.0000008637
Minnesota,Cottonwood,61.46,-0.0000240731,0.0000193043,-0.0000002897,0.0000218161,0.0000149533,0.0000269065
Minnesota,Crow Wing,61.13,-0.0000157704,0.0000129743,-0.0000261622,0.0000143199,0.0000075027,0.0000197498
Minnesota,Dakota,63.16,-0.0000193745,0.0000162838,-0.0000179776,0.0000194764,0.0000100786,0.0000279043
Minnesota,Dodge,66.23,-0.0000275143,0.0000222108,-0.0000064610,0.0000271716,0.0000208423,0.0000319552
