State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Mississippi,Adams,60.04,-0.0000186329,0.0000132108,0.0000031766,0.0000106999,0.0000178107,0.0000045301
Mississippi,Alcorn,59.57,-0.0000189718,0.0000129332,0.0000146052,0.0000134928,0.0000248083,-0.0000024067
Mississippi,Amite,18.41,-0.0000135748,0.0000001397,0.0000048154,-0.0000000030,-0.0000006281,0.0000043030
Mississippi,Attala,69.37,-0.0000250310,0.0000320165,0.0000004099,0.0000250911,0.0000256101,0.0000221233
Mississippi,Benton,71.52,-0.0000202916,0.0000143207,0.0000151374,0.0000122585,0.0000174354,0.0000044093
Mississippi,Bolivar,71.61,-0.0000285645,0.0000339610,0.0000011723,0.0000278346,0.0000274764,0.0000246051
Mississippi,Calhoun,73.41,-0.0000286014,0.0000298755,0.0000023182,0.0000236974,0.0000276724,0.0000160912
Mississippi,Carroll,71.08,-0.0000205429,0.0000264185,-0.0000087001,0.0000216438,0.0000292280,0.0000112529
Mississippi,Chickasaw,73.65,-0.0000279025,0.0000236682,0.0000099842,0.0000208589,0.0000272645,0.0000111653
Mississippi,Choctaw,75.93,-0.0000333382,0.0000333192,0.0000041416,0.0000278445,0.0000292844,0.0000229323
Mississippi,Claiborne,59.43,-0.0000221573,0.0000154478,0.0000072797,0.0000138224,0.0000243241,0.0000028051
Mississippi,Clarke,55.69,-0.0000229872,0.0000107743,0.0000143984,0.0000107090,0.0000120019,0.0000109280
Mississippi,Clay,67.14,-0.0000241734,0.0000234739,0.0000083231,0.0000208097,0.0000296669,0.0000089091
Mississippi,Coahoma,74.10,-0.0000216529,0.0000272466,0.0000019259,0.0000233840,0.0000264209,0.0000168365
Mississippi,Copiah,47.40,-0.0000138813,0.0000064535,0.0000060885,0.0000047126,0.0000072292,0.0000022978
Mississippi,Covington,28.58,-0.0000145491,0.0000000515,0.0000110419,0.0000009670,0.0000018452,0.0000020971
Mississippi,DeSoto,78.64,-0.0000281897,0.0000260760,0.0000106786,0.0000235580,0.0000237035,0.0000213468
Mississippi,Forrest,68.27,-0.0000107209,-0.0000081456,0.0000091066,-0.0000054322,0.0000017943,-0.0000104549
Mississippi,Franklin,56.43,-0.0000186350,0.0000119961,0.0000047581,0.0000094449,0.0000143368,0.0000060713
