State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Missouri,Adair,70.55,-0.0000190619,0.0000092930,-0.0000154747,0.0000208731,0.0000230046,0.0000169276
Missouri,Andrew,66.74,-0.0000170297,0.0000174037,-0.0000059890,0.0000199455,0.0000243941,0.0000111548
Missouri,Atchison,72.68,-0.0000249615,0.0000238280,-0.0000016462,0.0000264416,0.0000225637,0.0000278881
Missouri,Audrain,55.98,-0.0000194768,0.0000147388,-0.0000146779,0.0000234221,0.0000145417,0.0000324070
Missouri,Barry,54.53,-0.0000189791,0.0000195784,0.0000007160,0.0000244767,0.0000332442,0.0000106110
Missouri,Barton,79.59,-0.0000214025,0.0000200979,-0.0000142486,0.0000250560,0.0000225374,0.0000262139
Missouri,Bates,69.20,-0.0000206486,0.0000222526,-0.0000155177,0.0000255636,0.0000191084,0.0000313130
Missouri,Benton,69.55,-0.0000287255,0.0000225637,-0.0000062365,0.0000289278,0.0000230173,0.0000316908
Missouri,Bollinger,47.88,-0.0000127041,0.0000038333,0.0000084754,0.0000189879,0.0000250580,0.0000090145
Missouri,Boone,61.70,-0.0000177691,0.0000110523,-0.0000114161,0.0000215877,0.0000166221,0.0000254321
Missouri,Buchanan,70.81,-0.0000119651,0.0000117797,-0.0000157116,0.0000162595,0.0000205470,0.0000077935
Missouri,Butler,83.60,-0.0000114240,0.0000126872,0.0000066190,0.0000106552,0.0000124999,0.0000068644
Missouri,Caldwell,76.25,-0.0000251323,0.0000219570,-0.0000129483,0.0000259334,0.0000290657,0.0000183459
Missouri,Callaway,53.41,-0.0000209898,0.0000128050,-0.0000103166,0.0000242480,0.0000162293,0.0000322409
Missouri,Camden,59.58,-0.0000107363,0.0000078752,-0.0000113279,0.0000159717,0.0000101660,0.0000196353
Missouri,Cape Girardeau,56.05,-0.0000122364,0.0000108226,0.0000071407,0.0000177226,0.0000237211,0.0000091026
Missouri,Carroll,71.12,-0.0000278368,0.0000217076,-0.0000107614,0.0000299267,0.0000330445,0.0000215012
Missouri,Carter,43.57,-0.0000078820,0.0000040409,0.0000040740,0.0000149045,0.0000207746,0.0000051154
Missouri,Cass,80.53,-0.0000217439,0.0000169048,-0.0000169209,0.0000235350,0.0000208598,0.0000246536
Missouri,Cedar,68.23,-0.0000215992,0.0000191642,-0.0000138624,0.0000248402,0.0000192534,0.0000297062
Missouri,Chariton,73.60,-0.0000212263,0.0000165811,-0.0000119326,0.0000262601,0.0000271112,0.0000211356
Missouri,Christian,63.11,-0.0000121781,0.0000086306,-0.0000104341,0.0000189326,0.0000214615,0.0000126455
Missouri,Clark,65.37,-0.0000201923,0.0000103928,-0.0000031078,0.0000225266,0.0000224178,0.0000207293
Missouri,Clay,82.39,-0.0000148595,0.0000135411,-0.0000199512,0.0000173734,0.0000175149,0.0000142569
Missouri,Clinton,81.06,-0.0000131008,0.0000121663,-0.0000180623,0.0000149445,0.0000176932,0.0000085175
Missouri,Cole,63.39,-0.0000129931,0.0000063486,-0.0000059960,0.0000184245,0.0000175737,0.0000171066
Missouri,Cooper,71.74,-0.0000191048,0.0000130665,-0.0000076443,0.0000228551,0.0000220402,0.0000208894
Missouri,Crawford,56.38,-0.0000183017,0.0000046547,-0.0000106432,0.0000208437,0.0000169739,0.0000238458
Missouri,Dade,79.15,-0.0000205008,0.0000185753,-0.0000123116,0.0000254681,0.0000244246,0.0000239873
Missouri,Dallas,46.92,-0.0000089401,0.0000063193,-0.0000140522,0.0000137771,0.0000041850,0.0000224124
Missouri,Daviess,68.01,-0.0000229206,0.0000195972,-0.0000094563,0.0000236367,0.0000290383,0.0000135892
Missouri,DeKalb,66.85,-0.0000169109,0.0000160692,-0.0000079384,0.0000182655,0.0000233669,0.0000085635
Missouri,Dent,63.80,-0.0000064764,-0.0000006382,-0.0000112285,0.0000109145,0.0000117097,0.0000087442
Missouri,Douglas,33.93,0.0000005695,0.0000001555,-0.0000052083,0.0000047325,0.0000102171,-0.0000042244
Missouri,Dunklin,90.32,-0.0000126993,0.0000153013,0.0000139450,0.0000127305,0.0000148853,0.0000080491
Missouri,Franklin,64.02,-0.0000203849,0.0000103781,-0.0000139613,0.0000251724,0.0000213988,0.0000277470
Missouri,Gasconade,59.82,-0.0000219267,0.0000102152,-0.0000121547,0.0000238486,0.0000190150,0.0000283021
Missouri,Gentry,72.46,-0.0000217197,0.0000184472,-0.0000054380,0.0000220134,0.0000243989,0.0000165409
Missouri,Greene,81.48,-0.0000140951,0.0000153758,-0.0000141571,0.0000210143,0.0000195791,0.0000199072
Missouri,Grundy,58.36,-0.0000182435,0.0000145402,-0.0000053896,0.0000208799,0.0000272842,0.0000106340
Missouri,Harrison,68.61,-0.0000189801,0.0000131530,-0.0000131727,0.0000196986,0.0000241550,0.0000126634
Missouri,Henry,63.57,-0.0000284715,0.0000245679,-0.0000078068,0.0000304464,0.0000223624,0.0000368703
Missouri,Hickory,69.69,-0.0000221540,0.0000211690,-0.0000127119,0.0000238726,0.0000166285,0.0000289548
Missouri,Holt,71.67,-0.0000179255,0.0000169543,-0.0000050631,0.0000205349,0.0000225506,0.0000152988
Missouri,Howard,72.96,-0.0000166697,0.0000110153,-0.0000101214,0.0000207017,0.0000208695,0.0000175080
Missouri,Howell,32.74,-0.0000053099,0.0000012231,-0.0000028732,0.0000091332,0.0000172579,-0.0000028238
Missouri,Iron,60.61,-0.0000215293,0.0000051375,-0.0000065516,0.0000232745,0.0000218947,0.0000234413
Missouri,Jackson,88.15,-0.0000189170,0.0000167343,-0.0000168933,0.0000210808,0.0000194684,0.0000205250
Missouri,Jasper,80.87,-0.0000245936,0.0000229838,-0.0000120568,0.0000286454,0.0000285011,0.0000263456
Missouri,Jefferson,66.69,-0.0000201723,0.0000148091,-0.0000110656,0.0000284105,0.0000254049,0.0000297229
Missouri,Johnson,62.27,-0.0000259014,0.0000189810,-0.0000076172,0.0000260529,0.0000189417,0.0000317534
Missouri,Knox,72.35,-0.0000195162,0.0000093986,-0.0000112685,0.0000201923,0.0000208714,0.0000174490
Missouri,Laclede,40.56,0.0000015971,-0.0000029201,-0.0000096231,0.0000048735,-0.0000029823,0.0000120877
Missouri,Lafayette,70.61,-0.0000241177,0.0000188151,-0.0000077071,0.0000249500,0.0000208408,0.0000273277
Missouri,Lawrence,66.12,-0.0000251074,0.0000198526,-0.0000101580,0.0000275939,0.0000329360,0.0000183428
Missouri,Lewis,65.56,-0.0000177810,0.0000107823,-0.0000066911,0.0000201725,0.0000220986,0.0000159076
Missouri,Lincoln,72.72,-0.0000152252,0.0000071909,-0.0000155009,0.0000202345,0.0000204028,0.0000177450
Missouri,Linn,68.13,-0.0000230037,0.0000165254,-0.0000103858,0.0000262149,0.0000292408,0.0000191368
Missouri,Livingston,69.91,-0.0000267116,0.0000232115,-0.0000115994,0.0000293894,0.0000341763,0.0000193036
Missouri,McDonald,67.08,-0.0000227253,0.0000211582,-0.0000014994,0.0000246262,0.0000281613,0.0000165368
Missouri,Macon,83.08,-0.0000266847,0.0000178689,-0.0000185919,0.0000270517,0.0000261548,0.0000259115
Missouri,Madison,53.42,-0.0000164993,0.0000069921,-0.0000030214,0.0000229986,0.0000255338,0.0000172471
Missouri,Maries,58.39,-0.0000107523,0.0000017417,-0.0000098692,0.0000151108,0.0000130701,0.0000162268
Missouri,Marion,80.05,-0.0000228393,0.0000155599,-0.0000164053,0.0000246601,0.0000250704,0.0000216476
Missouri,Mercer,47.87,-0.0000145832,0.0000044906,-0.0000142332,0.0000167556,0.0000269319,0.0000029467
Missouri,Miller,66.87,-0.0000089735,0.0000038921,-0.0000091716,0.0000141143,0.0000131614,0.0000125777
Missouri,Mississippi,58.79,-0.0000087047,0.0000103285,0.0000102194,0.0000109203,0.0000183282,0.0000010229
Missouri,Moniteau,69.92,-0.0000160182,0.0000100625,-0.0000075311,0.0000200993,0.0000190680,0.0000185741
Missouri,Monroe,68.38,-0.0000243047,0.0000152966,-0.0000197826,0.0000258498,0.0000201440,0.0000306443
Missouri,Montgomery,56.92,-0.0000206616,0.0000123146,-0.0000103353,0.0000240625,0.0000178571,0.0000299970
Missouri,Morgan,75.24,-0.0000215590,0.0000158575,-0.0000082169,0.0000236440,0.0000210193,0.0000228860
Missouri,New Madrid,84.90,-0.0000123983,0.0000158962,0.0000104938,0.0000131704,0.0000158848,0.0000082946
Missouri,Newton,74.04,-0.0000243476,0.0000224498,-0.0000075946,0.0000263572,0.0000287707,0.0000202516
Missouri,Nodaway,76.05,-0.0000231222,0.0000185464,-0.0000051971,0.0000244261,0.0000245008,0.0000215276
Missouri,Oregon,47.79,-0.0000106305,0.0000059034,0.0000039468,0.0000140010,0.0000199021,0.0000047167
Missouri,Osage,58.62,-0.0000173801,0.0000085213,-0.0000089978,0.0000218350,0.0000178148,0.0000248492
Missouri,Ozark,34.23,-0.0000007028,0.0000006562,-0.0000055767,0.0000047071,0.0000110784,-0.0000055394
Missouri,Pemiscot,85.97,-0.0000146309,0.0000169093,0.0000115365,0.0000144097,0.0000137302,0.0000136086
Missouri,Perry,57.44,-0.0000174406,0.0000122398,0.0000049062,0.0000255186,0.0000291531,0.0000180324
Missouri,Pettis,69.97,-0.0000263282,0.0000208810,-0.0000050352,0.0000275542,0.0000228621,0.0000294234
Missouri,Phelps,61.48,-0.0000039337,-0.0000042287,-0.0000108366,0.0000073177,0.0000057773,0.0000087692
Missouri,Pike,74.98,-0.0000152996,0.0000095244,-0.0000141622,0.0000202036,0.0000184153,0.0000197593
Missouri,Platte,67.94,-0.0000095997,0.0000093191,-0.0000199795,0.0000141153,0.0000181914,0.0000065953
Missouri,Polk,65.32,-0.0000148521,0.0000153822,-0.0000163896,0.0000209984,0.0000144762,0.0000265871
Missouri,Pulaski,50.82,0.0000010712,-0.0000044072,-0.0000093724,0.0000041926,0.0000008607,0.0000066410
Missouri,Putnam,57.56,-0.0000103857,0.0000074521,-0.0000125216,0.0000162620,0.0000218065,0.0000074549
Missouri,Ralls,79.33,-0.0000210465,0.0000162765,-0.0000198089,0.0000250628,0.0000221704,0.0000261768
Missouri,Randolph,79.93,-0.0000221205,0.0000178270,-0.0000163525,0.0000250230,0.0000219455,0.0000257835
Missouri,Ray,84.22,-0.0000247709,0.0000219520,-0.0000108581,0.0000250745,0.0000234391,0.0000242677
Missouri,Reynolds,59.17,-0.0000156304,0.0000042625,-0.0000076126,0.0000191341,0.0000203554,0.0000155208
Missouri,Ripley,43.59,-0.0000073649,0.0000057577,0.0000057324,0.0000116373,0.0000199809,-0.0000005124
Missouri,St. Charles,67.10,-0.0000187316,0.0000094403,-0.0000146059,0.0000240204,0.0000257524,0.0000193251
Missouri,St. Clair,67.11,-0.0000237319,0.0000239227,-0.0000129552,0.0000280265,0.0000203593,0.0000340613
Missouri,Ste. Genevieve,61.98,-0.0000226971,0.0000129116,-0.0000035285,0.0000305511,0.0000294208,0.0000284142
Missouri,St. Francois,57.67,-0.0000258338,0.0000122762,-0.0000017602,0.0000294295,0.0000256386,0.0000314340
Missouri,St. Louis,69.00,-0.0000113734,0.0000167339,-0.0000120469,0.0000247850,0.0000268797,0.0000196906
Missouri,Saline,71.21,-0.0000235469,0.0000152698,-0.0000061722,0.0000259048,0.0000255345,0.0000231012
Missouri,Schuyler,63.23,-0.0000161580,0.0000067848,-0.0000096202,0.0000193808,0.0000211991,0.0000159270
