State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Montana,Beaverhead,70.23,-0.0000230876,0.0000099737,-0.0000177543,0.0000184653,0.0000192753,0.0000140645
Montana,Big Horn,72.80,-0.0000248745,0.0000262511,-0.0000019885,0.0000209212,0.0000219229,0.0000159742
Montana,Blaine,52.16,-0.0000295076,0.0000217826,0.0000012042,0.0000251368,0.0000157111,0.0000369291
Montana,Broadwater,71.11,-0.0000294997,0.0000216198,-0.0000098741,0.0000242487,0.0000230856,0.0000223036
Montana,Carbon,55.31,-0.0000188992,0.0000215839,-0.0000021595,0.0000153703,0.0000058082,0.0000260239
Montana,Carter,90.48,-0.0000277139,0.0000286089,-0.0000257150,0.0000237134,0.0000227343,0.0000227034
Montana,Cascade,67.51,-0.0000243232,0.0000196864,-0.0000334883,0.0000198293,0.0000142060,0.0000242836
Montana,Chouteau,51.53,-0.0000299979,0.0000268034,-0.0000092834,0.0000254080,0.0000109371,0.0000431965
Montana,Custer,73.55,-0.0000475228,0.0000429102,-0.0000123220,0.0000410332,0.0000336208,0.0000490444
Montana,Daniels,68.95,-0.0000557574,0.0000346557,-0.0000308387,0.0000487777,0.0000376313,0.0000594262
Montana,Dawson,77.57,-0.0000551486,0.0000367521,-0.0000436213,0.0000480203,0.0000394666,0.0000566753
Montana,Deer Lodge,65.45,-0.0000227035,0.0000118793,-0.0000112858,0.0000185058,0.0000241450,0.0000114685
Montana,Fallon,66.25,-0.0000545413,0.0000433329,-0.0000325763,0.0000473985,0.0000327469,0.0000650767
Montana,Fergus,86.90,-0.0000299952,0.0000339786,-0.0000344356,0.0000252827,0.0000218371,0.0000256483
Montana,Flathead,40.40,-0.0000195400,-0.0000028471,-0.0000418184,0.0000144867,0.0000148796,0.0000093887
Montana,Gallatin,65.47,-0.0000350875,0.0000168139,-0.0000139258,0.0000290579,0.0000309341,0.0000221614
Montana,Garfield,65.72,-0.0000527353,0.0000434307,-0.0000196598,0.0000461479,0.0000334014,0.0000608120
Montana,Glacier,45.37,-0.0000222349,0.0000018157,-0.0000377823,0.0000181437,0.0000112671,0.0000236916
Montana,Golden Valley,82.97,-0.0000354237,0.0000282214,-0.0000281379,0.0000299693,0.0000272612,0.0000291228
Montana,Granite,64.84,-0.0000290749,0.0000117437,-0.0000138035,0.0000242431,0.0000253978,0.0000177951
Montana,Hill,63.99,-0.0000356022,0.0000329191,-0.0000151217,0.0000313816,0.0000208408,0.0000444283
Montana,Jefferson,71.69,-0.0000306797,0.0000213300,-0.0000120969,0.0000252932,0.0000262692,0.0000209523
Montana,Judith Basin,78.29,-0.0000226031,0.0000180874,-0.0000257316,0.0000189540,0.0000150397,0.0000212089
Montana,Lake,67.55,-0.0000291045,0.0000147855,-0.0000349147,0.0000225091,0.0000293778,0.0000076938
Montana,Lewis and Clark,47.13,-0.0000202754,0.0000112719,-0.0000417455,0.0000151620,0.0000139266,0.0000126959
Montana,Liberty,59.98,-0.0000334951,0.0000308924,-0.0000057091,0.0000295399,0.0000198812,0.0000417600
Montana,Lincoln,32.39,-0.0000018912,-0.0000021574,-0.0000154689,-0.0000023888,0.0000013999,-0.0000125577
Montana,Madison,71.90,-0.0000341552,0.0000204780,-0.0000168722,0.0000283354,0.0000331601,0.0000235728
Montana,McCone,64.02,-0.0000580743,0.0000370077,-0.0000275205,0.0000503559,0.0000369234,0.0000652575
Montana,Meagher,69.26,-0.0000276519,0.0000155931,-0.0000142556,0.0000229886,0.0000178966,0.0000264784
Montana,Mineral,69.32,-0.0000267582,0.0000109383,-0.0000190881,0.0000220306,0.0000236099,0.0000137825
Montana,Missoula,71.36,-0.0000285692,0.0000101115,-0.0000268560,0.0000234666,0.0000208795,0.0000207390
Montana,Musselshell,84.29,-0.0000343598,0.0000399036,-0.0000309953,0.0000297898,0.0000340010,0.0000185143
Montana,Park,67.71,-0.0000290049,0.0000149239,-0.0000131102,0.0000240219,0.0000261764,0.0000169662
Montana,Petroleum,81.92,-0.0000320044,0.0000399446,-0.0000428190,0.0000282700,0.0000305859,0.0000201967
Montana,Phillips,55.63,-0.0000429262,0.0000313661,0.0000005095,0.0000374955,0.0000266594,0.0000506876
Montana,Pondera,61.81,-0.0000253390,0.0000158856,-0.0000365311,0.0000211072,0.0000133932,0.0000284898
Montana,Powder River,84.97,-0.0000281783,0.0000271840,-0.0000163433,0.0000246225,0.0000228822,0.0000242271
Montana,Powell,60.94,-0.0000210687,0.0000097916,-0.0000279663,0.0000157709,0.0000194667,0.0000058703
Montana,Prairie,72.80,-0.0000574247,0.0000452704,-0.0000313733,0.0000501482,0.0000397507,0.0000618974
Montana,Ravalli,52.58,-0.0000310172,0.0000099978,-0.0000000481,0.0000263228,0.0000218549,0.0000276993
Montana,Richland,74.14,-0.0000491576,0.0000307677,-0.0000375878,0.0000427802,0.0000337519,0.0000515609
Montana,Roosevelt,75.06,-0.0000498712,0.0000295633,-0.0000379703,0.0000430929,0.0000344022,0.0000508213
Montana,Rosebud,82.18,-0.0000393326,0.0000380235,-0.0000166877,0.0000345150,0.0000329155,0.0000329808
Montana,Sanders,72.53,-0.0000293049,0.0000180799,-0.0000189548,0.0000221716,0.0000293046,0.0000056447
Montana,Sheridan,75.90,-0.0000419091,0.0000261013,-0.0000285620,0.0000359817,0.0000314830,0.0000380545
Montana,Silver Bow,72.05,-0.0000300043,0.0000253987,-0.0000055964,0.0000245255,0.0000270714,0.0000178011
Montana,Stillwater,76.02,-0.0000328032,0.0000273407,-0.0000151931,0.0000270920,0.0000206522,0.0000317374
Montana,Sweet Grass,78.83,-0.0000250517,0.0000219265,-0.0000137223,0.0000201201,0.0000195906,0.0000158499
Montana,Teton,55.92,-0.0000223333,0.0000198769,-0.0000426219,0.0000182616,0.0000164311,0.0000160767
Montana,Toole,81.91,-0.0000285211,0.0000321272,-0.0000289866,0.0000248843,0.0000175533,0.0000339851
Montana,Treasure,83.16,-0.0000365478,0.0000392438,-0.0000209796,0.0000322216,0.0000369487,0.0000195411
Montana,Valley,72.56,-0.0000236482,0.0000152026,-0.0000100812,0.0000210449,0.0000181820,0.0000224311
Montana,Wheatland,76.47,-0.0000290814,0.0000168032,-0.0000240382,0.0000243901,0.0000207213,0.0000253454
Montana,Wibaux,68.11,-0.0000576674,0.0000429605,-0.0000364055,0.0000502211,0.0000359497,0.0000663747
Montana,Yellowstone,77.89,-0.0000352047,0.0000381362,-0.0000144971,0.0000296793,0.0000310053,0.0000228977
