State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Nebraska,Adams,96.82,-0.0000268388,0.0000268972,-0.0000284098,0.0000278098,0.0000282544,0.0000233563
Nebraska,Antelope,76.32,-0.0000312888,0.0000318185,-0.0000017490,0.0000320848,0.0000284135,0.0000335330
Nebraska,Arthur,41.05,-0.0000230822,0.0000092361,0.0000119430,0.0000249765,0.0000134628,0.0000410732
Nebraska,Banner,56.02,-0.0000266594,0.0000269542,-0.0000048862,0.0000322511,0.0000244793,0.0000432463
Nebraska,Blaine,52.49,-0.0000296734,0.0000315390,-0.0000125398,0.0000305795,0.0000148509,0.0000501044
Nebraska,Boone,76.50,-0.0000316556,0.0000334538,-0.0000120252,0.0000318742,0.0000373332,0.0000201540
Nebraska,Box Butte,48.07,-0.0000255104,0.0000097272,0.0000008235,0.0000268234,0.0000216319,0.0000334555
Nebraska,Boyd,52.40,-0.0000319869,0.0000343878,-0.0000074453,0.0000323495,0.0000164043,0.0000516315
Nebraska,Brown,67.19,-0.0000377450,0.0000374288,-0.0000133446,0.0000351578,0.0000252976,0.0000463897
Nebraska,Buffalo,72.23,-0.0000324815,0.0000336409,-0.0000179945,0.0000326830,0.0000240828,0.0000408266
Nebraska,Burt,70.53,-0.0000337428,0.0000282767,-0.0000186420,0.0000333922,0.0000254217,0.0000403268
Nebraska,Butler,78.35,-0.0000443349,0.0000388644,-0.0000109331,0.0000418075,0.0000381300,0.0000432822
Nebraska,Cass,62.10,-0.0000279059,0.0000265748,-0.0000086339,0.0000295363,0.0000207102,0.0000382843
Nebraska,Cedar,83.57,-0.0000326069,0.0000321933,-0.0000146347,0.0000327731,0.0000288984,0.0000343144
Nebraska,Chase,40.40,-0.0000326768,0.0000280747,0.0000018600,0.0000324480,0.0000159032,0.0000600679
Nebraska,Cherry,75.54,-0.0000144248,0.0000161526,0.0000097544,0.0000164373,0.0000145468,0.0000194903
Nebraska,Cheyenne,70.96,-0.0000287823,0.0000270379,0.0000004322,0.0000289899,0.0000267564,0.0000317752
Nebraska,Clay,91.61,-0.0000305453,0.0000289359,-0.0000251036,0.0000321331,0.0000301530,0.0000314143
Nebraska,Colfax,76.50,-0.0000443251,0.0000401929,0.0000062950,0.0000411591,0.0000368649,0.0000431439
Nebraska,Cuming,65.82,-0.0000347013,0.0000294075,0.0000055062,0.0000341549,0.0000268118,0.0000404033
Nebraska,Custer,53.85,-0.0000239703,0.0000249901,-0.0000145461,0.0000257687,0.0000126523,0.0000415534
Nebraska,Dakota,62.14,-0.0000292795,0.0000235078,-0.0000023877,0.0000303506,0.0000236702,0.0000356778
Nebraska,Dawes,72.75,-0.0000281526,0.0000200351,-0.0000106966,0.0000226004,0.0000271850,0.0000280879
Nebraska,Dawson,68.39,-0.0000341460,0.0000315234,-0.0000133409,0.0000330264,0.0000247499,0.0000413123
Nebraska,Deuel,59.40,-0.0000372328,0.0000219736,-0.0000020342,0.0000265900,0.0000334518,0.0000370264
Nebraska,Dixon,74.72,-0.0000332522,0.0000324543,-0.0000055954,0.0000340603,0.0000288641,0.0000367266
Nebraska,Dodge,74.32,-0.0000392206,0.0000354855,-0.0000098983,0.0000374158,0.0000309396,0.0000418237
Nebraska,Douglas,69.97,-0.0000328877,0.0000318126,0.0000028890,0.0000333744,0.0000272655,0.0000376705
Nebraska,Dundy,40.97,-0.0000406108,0.0000325869,-0.0000007351,0.0000395530,0.0000180259,0.0000700259
Nebraska,Fillmore,82.34,-0.0000364080,0.0000329261,-0.0000111670,0.0000359929,0.0000337898,0.0000361822
Nebraska,Franklin,92.98,-0.0000257604,0.0000254126,-0.0000192108,0.0000251901,0.0000259197,0.0000213930
Nebraska,Frontier,75.17,-0.0000296359,0.0000279511,-0.0000094212,0.0000292717,0.0000247953,0.0000327974
Nebraska,Furnas,81.34,-0.0000326749,0.0000305504,-0.0000090302,0.0000315518,0.0000277335,0.0000326639
Nebraska,Gage,66.10,-0.0000398031,0.0000352230,-0.0000150352,0.0000396289,0.0000293418,0.0000495966
Nebraska,Garden,34.20,-0.0000237494,0.0000073018,0.0000044033,0.0000162716,0.0000175796,0.0000364426
Nebraska,Garfield,78.35,-0.0000316932,0.0000357801,-0.0000166111,0.0000301754,0.0000234748,0.0000368757
Nebraska,Gosper,84.57,-0.0000354711,0.0000350376,-0.0000141081,0.0000334313,0.0000301858,0.0000336554
Nebraska,Grant,29.48,-0.0000153438,0.0000013000,0.0000132316,0.0000090692,0.0000109910,0.0000297304
Nebraska,Greeley,78.14,-0.0000334829,0.0000346405,-0.0000029934,0.0000322093,0.0000310436,0.0000291208
Nebraska,Hall,96.42,-0.0000305879,0.0000309658,-0.0000268515,0.0000309759,0.0000279947,0.0000308464
Nebraska,Hamilton,89.21,-0.0000324336,0.0000305103,-0.0000280641,0.0000336582,0.0000303946,0.0000350172
Nebraska,Harlan,87.70,-0.0000285250,0.0000299031,-0.0000164660,0.0000282522,0.0000261538,0.0000270951
Nebraska,Hayes,54.87,-0.0000329139,0.0000325321,0.0000069304,0.0000323324,0.0000199186,0.0000486632
Nebraska,Hitchcock,47.20,-0.0000380853,0.0000317395,0.0000016103,0.0000377972,0.0000213109,0.0000590684
Nebraska,Holt,63.40,-0.0000287861,0.0000317537,-0.0000103133,0.0000284806,0.0000188792,0.0000399360
Nebraska,Hooker,47.43,-0.0000126126,0.0000175477,0.0000131133,0.0000184386,0.0000079557,0.0000337113
Nebraska,Howard,92.54,-0.0000331881,0.0000319430,-0.0000233650,0.0000331633,0.0000324121,0.0000297709
Nebraska,Jefferson,76.78,-0.0000342526,0.0000314457,-0.0000189081,0.0000336270,0.0000270804,0.0000386426
Nebraska,Johnson,67.77,-0.0000357206,0.0000309396,-0.0000078006,0.0000361050,0.0000283539,0.0000418318
Nebraska,Kearney,95.68,-0.0000286200,0.0000298820,-0.0000296996,0.0000281445,0.0000303851,0.0000215376
Nebraska,Keith,51.52,-0.0000270790,0.0000243352,0.0000050116,0.0000275684,0.0000187310,0.0000419658
Nebraska,Keya Paha,72.89,-0.0000378878,0.0000355963,-0.0000165563,0.0000350023,0.0000278386,0.0000430365
Nebraska,Kimball,57.43,-0.0000165480,0.0000130095,-0.0000008278,0.0000256446,0.0000236005,0.0000276123
Nebraska,Knox,72.00,-0.0000337907,0.0000327692,-0.0000192061,0.0000331196,0.0000243782,0.0000413388
Nebraska,Lancaster,76.21,-0.0000355603,0.0000320959,-0.0000170612,0.0000352754,0.0000300416,0.0000398647
Nebraska,Lincoln,57.90,-0.0000225152,0.0000222011,-0.0000112917,0.0000237146,0.0000148583,0.0000348379
Nebraska,Logan,40.67,-0.0000142466,0.0000170732,-0.0000145012,0.0000183498,0.0000030453,0.0000392971
Nebraska,Loup,61.01,-0.0000292007,0.0000314656,-0.0000122790,0.0000291875,0.0000177540,0.0000423511
Nebraska,McPherson,39.28,-0.0000132256,0.0000185670,0.0000045552,0.0000192939,0.0000062515,0.0000378009
Nebraska,Madison,81.17,-0.0000333350,0.0000350023,-0.0000057768,0.0000338098,0.0000330752,0.0000316445
Nebraska,Merrick,92.84,-0.0000379187,0.0000367379,-0.0000270147,0.0000377017,0.0000375338,0.0000337881
Nebraska,Morrill,51.07,-0.0000194540,0.0000222859,-0.0000035077,0.0000280584,0.0000206276,0.0000395371
Nebraska,Nance,84.38,-0.0000401786,0.0000367999,-0.0000214687,0.0000387605,0.0000413571,0.0000304903
Nebraska,Nemaha,68.86,-0.0000311685,0.0000291646,0.0000008959,0.0000324218,0.0000268704,0.0000357777
Nebraska,Nuckolls,81.44,-0.0000315405,0.0000296679,-0.0000145073,0.0000328925,0.0000293284,0.0000342032
Nebraska,Otoe,70.08,-0.0000307181,0.0000285225,-0.0000099899,0.0000322105,0.0000256929,0.0000372311
Nebraska,Pawnee,62.58,-0.0000376149,0.0000325568,-0.0000048993,0.0000376844,0.0000282729,0.0000463472
Nebraska,Perkins,52.35,-0.0000303213,0.0000285239,0.0000039193,0.0000310704,0.0000216305,0.0000465222
Nebraska,Phelps,86.83,-0.0000343646,0.0000362337,-0.0000208777,0.0000328686,0.0000311889,0.0000311584
Nebraska,Pierce,75.24,-0.0000339194,0.0000339877,-0.0000006662,0.0000344433,0.0000303988,0.0000361648
Nebraska,Platte,78.31,-0.0000445068,0.0000409731,-0.0000083154,0.0000415435,0.0000398402,0.0000398974
Nebraska,Polk,80.40,-0.0000475982,0.0000421604,-0.0000193409,0.0000449279,0.0000395570,0.0000483685
Nebraska,Red Willow,64.63,-0.0000327024,0.0000313692,-0.0000069983,0.0000330005,0.0000250211,0.0000414877
