State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Nevada,Churchill,41.13,-0.0000208252,0.0000226470,0.0000140262,0.0000148223,0.0000510258,-0.0000388351
Nevada,Clark,33.44,-0.0000035949,0.0000083334,0.0000046747,0.0000009188,0.0000163343,-0.0000171039
Nevada,Douglas,50.00,-0.0000481482,0.0000355045,-0.0000065527,0.0000383094,0.0000679286,-0.0000128960
Nevada,Elko,73.18,-0.0000305140,0.0000280655,-0.0000120734,0.0000226909,0.0000131362,0.0000293697
Nevada,Esmeralda,17.08,0.0000132151,-0.0000013637,-0.0000102497,-0.0000141174,0.0000312759,-0.0000697460
Nevada,Eureka,75.65,-0.0000189775,0.0000198581,-0.0000091240,0.0000138182,0.0000120590,0.0000116487
Nevada,Humboldt,71.16,-0.0000438672,0.0000380820,-0.0000060773,0.0000359953,0.0000349224,0.0000297360
Nevada,Lander,62.49,-0.0000178077,0.0000276249,0.0000042735,0.0000135238,0.0000266857,-0.0000074020
Nevada,Lincoln,61.58,-0.0000276403,0.0000184978,-0.0000055599,0.0000191626,0.0000190253,0.0000161707
Nevada,Lyon,37.28,-0.0000313924,0.0000223346,-0.0000028294,0.0000235727,0.0000621206,-0.0000356885
Nevada,Mineral,28.69,-0.0000119701,0.0000171927,0.0000013879,0.0000078269,0.0000456027,-0.0000473123
Nevada,Nye,52.54,-0.0000117930,0.0000132325,-0.0000131255,0.0000044943,0.0000213321,-0.0000189490
Nevada,Pershing,58.49,-0.0000401563,0.0000329321,-0.0000059156,0.0000317228,0.0000487736,0.0000015928
Nevada,Storey,39.55,-0.0000294661,0.0000288490,-0.0000063773,0.0000212061,0.0000636174,-0.0000416424
Nevada,Washoe,68.71,-0.0000649875,0.0000458130,-0.0000324598,0.0000510573,0.0000698917,0.0000188009
Nevada,White Pine,74.02,-0.0000326264,0.0000250028,-0.0000207097,0.0000224287,0.0000289075,0.0000101888
