State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
New Mexico,Bernalillo,36.21,0.0000175183,-0.0000173909,0.0000057341,-0.0000199725,-0.0000016354,-0.0000416157
New Mexico,Catron,74.69,-0.0000267107,0.0000156423,0.0000227790,0.0000196283,0.0000264873,0.0000011731
New Mexico,Chaves,60.19,-0.0000121271,0.0000153887,-0.0000223361,0.0000109176,0.0000030309,0.0000237394
New Mexico,Cibola,70.49,-0.0000089240,0.0000069637,0.0000082308,0.0000036604,0.0000070022,0.0000002491
New Mexico,Colfax,52.14,-0.0000074945,0.0000088898,-0.0000180532,0.0000041679,0.0000113954,-0.0000111879
New Mexico,Curry,81.60,-0.0000437521,0.0000395420,-0.0000254561,0.0000365809,0.0000340345,0.0000337282
New Mexico,Eddy,32.06,0.0000004048,0.0000064003,-0.0000213790,0.0000000631,0.0000060330,-0.0000057580
New Mexico,Grant,67.11,-0.0000339858,0.0000249469,0.0000088977,0.0000260691,0.0000242131,0.0000194726
New Mexico,Guadalupe,70.83,-0.0000237287,0.0000261812,-0.0000197064,0.0000192094,0.0000318660,-0.0000045828
New Mexico,Harding,47.30,-0.0000117473,0.0000042918,-0.0000234660,0.0000083291,0.0000157890,-0.0000091299
New Mexico,Hidalgo,51.23,-0.0000036811,0.0000092806,0.0000102596,0.0000049473,0.0000159400,-0.0000101338
New Mexico,Lea,79.78,-0.0000136753,0.0000244129,-0.0000261102,0.0000180714,0.0000125561,0.0000245898
New Mexico,Lincoln,57.73,-0.0000128335,0.0000087220,-0.0000072160,0.0000041798,0.0000090852,-0.0000042536
New Mexico,Los Alamos,12.78,0.0000116308,-0.0000046982,0.0000020290,-0.0000084243,0.0000461747,-0.0000853080
New Mexico,Luna,57.15,-0.0000152632,0.0000204366,0.0000056636,0.0000191646,0.0000296597,0.0000018910
New Mexico,McKinley,65.62,0.0000108760,-0.0000035274,0.0000055003,-0.0000121990,-0.0000111851,-0.0000102380
New Mexico,Mora,51.53,-0.0000103224,0.0000076078,-0.0000185112,0.0000059494,0.0000193168,-0.0000208895
New Mexico,Otero,25.23,0.0000049632,0.0000013437,-0.0000110583,-0.0000094554,0.0000037761,-0.0000269047
New Mexico,Quay,76.84,-0.0000166377,0.0000265645,-0.0000244955,0.0000224386,0.0000309083,0.0000006148
New Mexico,Rio Arriba,37.28,-0.0000107127,0.0000075678,0.0000125042,0.0000080758,0.0000299379,-0.0000250306
New Mexico,Roosevelt,65.19,-0.0000351598,0.0000355772,-0.0000246398,0.0000326722,0.0000191289,0.0000481900
New Mexico,San Juan,45.65,0.0000066266,-0.0000021750,0.0000152176,-0.0000061950,-0.0000082933,-0.0000032816
New Mexico,San Miguel,59.71,-0.0000191352,0.0000141606,-0.0000188713,0.0000134005,0.0000276433,-0.0000169334
New Mexico,Sandoval,23.24,0.0000049102,-0.0000086895,0.0000113025,-0.0000073089,0.0000190399,-0.0000427212
New Mexico,Santa Fe,17.14,-0.0000049794,0.0000048639,-0.0000080762,0.0000010200,0.0000271736,-0.0000399645
New Mexico,Sierra,54.28,-0.0000276197,0.0000164004,0.0000071982,0.0000132526,0.0000225009,-0.0000047823
New Mexico,Socorro,38.21,-0.0000182072,0.0000049604,0.0000015612,0.0000065487,0.0000152458,-0.0000075512
New Mexico,Taos,33.42,-0.0000113283,0.0000032744,-0.0000127378,0.0000089701,0.0000307843,-0.0000235440
New Mexico,Torrance,43.98,-0.0000084236,0.0000051623,-0.0000122867,0.0000030425,0.0000144823,-0.0000164841
New Mexico,Union,56.42,-0.0000151838,0.0000087504,-0.0000217918,0.0000077599,0.0000179377,0.0000015272
New Mexico,Valencia,31.14,0.0000068230,-0.0000080098,0.0000026607,-0.0000071899,0.0000044012,-0.0000210270
