State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
New York,Albany,23.56,-0.0000097312,-0.0000009358,-0.0000006791,0.0000080006,0.0000261929,-0.0000142351
New York,Allegany,48.86,-0.0000020600,-0.0000061681,-0.0000143485,0.0000027339,0.0000132570,-0.0000101979
New York,Bronx,45.58,-0.0000415929,0.0000113861,-0.0000013788,0.0000269997,0.0000330339,0.0000181584
New York,Broome,53.92,-0.0000089450,-0.0000140706,0.0000068489,0.0000080395,0.0000196323,-0.0000058777
New York,Cattaraugus,34.86,-0.0000140544,-0.0000002056,-0.0000038629,0.0000128337,0.0000227290,0.0000007744
New York,Cayuga,45.52,0.0000068717,-0.0000124581,-0.0000054725,-0.0000062558,0.0000040570,-0.0000177382
New York,Chautauqua,45.64,-0.0000229329,0.0000008877,-0.0000001006,0.0000194149,0.0000220302,0.0000150249
New York,Chemung,31.06,-0.0000082544,-0.0000055140,-0.0000004334,0.0000087817,0.0000233453,-0.0000091151
New York,Chenango,38.81,0.0000045766,-0.0000166978,0.0000044824,-0.0000025439,0.0000151086,-0.0000226426
New York,Clinton,51.08,-0.0000197826,0.0000051221,0.0000010312,0.0000156953,0.0000175133,0.0000136626
New York,Columbia,44.19,-0.0000281847,0.0000045958,0.0000045374,0.0000222015,0.0000329440,0.0000078997
New York,Cortland,47.86,0.0000067907,-0.0000154699,0.0000036489,-0.0000044246,0.0000069667,-0.0000173011
New York,Delaware,30.61,-0.0000234247,0.0000002549,0.0000126685,0.0000209253,0.0000510985,-0.0000161844
New York,Dutchess,49.39,-0.0000417797,0.0000099103,-0.0000048341,0.0000324913,0.0000439490,0.0000162466
New York,Erie,48.26,-0.0000064756,-0.0000041952,-0.0000084276,0.0000057176,0.0000133522,-0.0000034268
New York,Essex,38.18,-0.0000150696,-0.0000029593,0.0000087003,0.0000125198,0.0000264728,-0.0000049483
New York,Franklin,53.45,-0.0000103255,-0.0000070698,0.0000081621,0.0000083911,0.0000160742,-0.0000001270
New York,Fulton,35.73,-0.0000102723,-0.0000071662,0.0000034834,0.0000088372,0.0000242781,-0.0000103890
New York,Genesee,58.92,0.0000080656,-0.0000127510,-0.0000034600,-0.0000064808,-0.0000012095,-0.0000129395
New York,Greene,38.81,-0.0000272145,0.0000038623,0.0000130096,0.0000228113,0.0000435222,-0.0000042901
New York,Hamilton,47.47,-0.0000061815,-0.0000098997,0.0000132069,0.0000057391,0.0000207652,-0.0000122884
New York,Herkimer,40.56,0.0000004476,-0.0000051523,0.0000124130,-0.0000002914,0.0000111431,-0.0000131006
New York,Jefferson,51.27,-0.0000114519,0.0000006973,-0.0000043162,0.0000093444,0.0000080037,0.0000104826
New York,Kings,58.98,-0.0000293157,0.0000057242,-0.0000085876,0.0000275020,0.0000295865,0.0000232511
New York,Lewis,51.47,-0.0000052553,0.0000000617,0.0000077455,0.0000045639,0.0000054964,0.0000042269
New York,Livingston,42.77,0.0000083444,-0.0000133146,-0.0000041548,-0.0000065895,0.0000046312,-0.0000196408
New York,Madison,52.07,0.0000130494,-0.0000190365,-0.0000066946,-0.0000102912,0.0000010479,-0.0000230176
New York,Monroe,64.05,0.0000128862,-0.0000160028,-0.0000031036,-0.0000105721,-0.0000049294,-0.0000165609
New York,Montgomery,28.17,-0.0000098489,-0.0000047809,-0.0000004230,0.0000082221,0.0000260209,-0.0000139571
New York,Nassau,47.49,-0.0000432327,0.0000113790,-0.0000032738,0.0000301150,0.0000325164,0.0000251603
New York,New York,53.85,-0.0000304421,0.0000062947,-0.0000036793,0.0000272308,0.0000310996,0.0000211273
New York,Niagara,49.45,-0.0000062560,-0.0000029922,-0.0000047642,0.0000048906,0.0000095447,-0.0000006664
New York,Oneida,50.50,0.0000044970,-0.0000114330,0.0000037478,-0.0000033358,0.0000043024,-0.0000123171
New York,Onondaga,54.76,0.0000089112,-0.0000142022,-0.0000090259,-0.0000081031,0.0000011074,-0.0000179626
New York,Ontario,47.13,0.0000124246,-0.0000166668,0.0000059910,-0.0000099331,0.0000013146,-0.0000233252
New York,Orange,37.88,-0.0000259869,-0.0000009471,-0.0000165140,0.0000209038,0.0000421266,-0.0000065209
New York,Orleans,56.24,0.0000030384,-0.0000089841,-0.0000055493,-0.0000025988,-0.0000008776,-0.0000047096
New York,Oswego,58.93,0.0000011018,-0.0000095920,-0.0000093955,-0.0000011348,0.0000039157,-0.0000066129
New York,Otsego,32.44,-0.0000026660,-0.0000173331,0.0000013401,0.0000036542,0.0000302189,-0.0000277392
New York,Putnam,55.53,-0.0000406757,0.0000051366,-0.0000253677,0.0000281333,0.0000405441,0.0000111388
New York,Queens,57.09,-0.0000309983,0.0000081622,-0.0000038855,0.0000282153,0.0000303788,0.0000238123
New York,Rensselaer,30.00,-0.0000060489,-0.0000061533,0.0000017069,0.0000032620,0.0000183835,-0.0000136990
New York,Richmond,48.54,-0.0000379965,0.0000060138,-0.0000144317,0.0000243896,0.0000282847,0.0000187655
New York,Rockland,48.25,-0.0000337334,0.0000082038,-0.0000121371,0.0000234147,0.0000381926,0.0000043426
New York,St. Lawrence,62.08,-0.0000045998,-0.0000019025,0.0000009919,0.0000040788,0.0000039902,0.0000041770
New York,Saratoga,34.76,-0.0000100916,-0.0000068782,-0.0000025913,0.0000078025,0.0000229453,-0.0000103903
New York,Schenectady,29.29,-0.0000093155,-0.0000024371,-0.0000056797,0.0000069653,0.0000242650,-0.0000139440
New York,Schoharie,35.67,-0.0000072832,-0.0000123329,0.0000099352,0.0000072009,0.0000327145,-0.0000238827
New York,Schuyler,39.60,0.0000001992,-0.0000099855,0.0000046896,0.0000015196,0.0000148674,-0.0000144373
New York,Seneca,41.67,0.0000087891,-0.0000135863,0.0000034800,-0.0000070331,0.0000039447,-0.0000203592
