State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
North Carolina,Alamance,64.16,-0.0000297510,0.0000183826,-0.0000157734,0.0000294820,0.0000219872,0.0000357926
North Carolina,Alexander,50.88,-0.0000319720,0.0000142985,-0.0000028600,0.0000319388,0.0000417807,0.0000137904
North Carolina,Alleghany,41.11,-0.0000249793,0.0000038447,-0.0000059971,0.0000249987,0.0000377416,0.0000072880
North Carolina,Anson,66.57,-0.0000308874,0.0000223295,-0.0000156530,0.0000300888,0.0000379963,0.0000154962
North Carolina,Ashe,54.12,-0.0000277146,0.0000074884,0.0000003426,0.0000272286,0.0000296712,0.0000214711
North Carolina,Avery,47.08,-0.0000183293,0.0000004830,0.0000034094,0.0000190736,0.0000147660,0.0000212116
North Carolina,Beaufort,51.30,-0.0000170205,0.0000078556,-0.0000125895,0.0000123876,0.0000238061,-0.0000007027
North Carolina,Bertie,41.47,-0.0000127508,0.0000010434,-0.0000059696,0.0000103420,0.0000177071,0.0000020625
North Carolina,Bladen,71.48,-0.0000291422,0.0000279430,-0.0000204607,0.0000313769,0.0000396313,0.0000178234
North Carolina,Brunswick,61.15,-0.0000269347,0.0000257385,-0.0000200950,0.0000274921,0.0000430626,0.0000102924
North Carolina,Buncombe,49.01,-0.0000206297,0.0000045703,-0.0000094576,0.0000216864,0.0000292276,0.0000076993
North Carolina,Burke,58.38,-0.0000282441,0.0000106766,-0.0000018217,0.0000293636,0.0000310143,0.0000212729
North Carolina,Cabarrus,48.94,-0.0000315575,0.0000214588,-0.0000019571,0.0000317569,0.0000479811,0.0000065115
North Carolina,Caldwell,60.71,-0.0000308671,0.0000104907,-0.0000028425,0.0000311856,0.0000315840,0.0000245577
North Carolina,Camden,44.29,-0.0000007989,-0.0000148033,-0.0000009068,-0.0000034692,0.0000068715,-0.0000131938
North Carolina,Carteret,44.68,-0.0000179789,0.0000127538,-0.0000082880,0.0000146104,0.0000320521,-0.0000046066
North Carolina,Caswell,57.13,-0.0000324562,0.0000198985,-0.0000099528,0.0000357126,0.0000259470,0.0000435214
