State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
North Dakota,Adams,81.32,-0.0000454740,0.0000371816,-0.0000259586,0.0000407641,0.0000383584,0.0000394708
North Dakota,Barnes,72.97,-0.0000291519,0.0000203223,-0.0000107498,0.0000255082,0.0000294475,0.0000159328
North Dakota,Benson,69.22,-0.0000378293,0.0000194539,-0.0000182004,0.0000328776,0.0000304253,0.0000314958
North Dakota,Billings,64.44,-0.0000479058,0.0000323219,-0.0000167157,0.0000424921,0.0000327023,0.0000531615
North Dakota,Bottineau,61.20,-0.0000499749,0.0000233594,-0.0000156718,0.0000432751,0.0000334349,0.0000520207
North Dakota,Bowman,72.95,-0.0000478950,0.0000392984,-0.0000226281,0.0000423691,0.0000341099,0.0000515043
North Dakota,Burke,49.04,-0.0000385860,0.0000170744,-0.0000133207,0.0000336947,0.0000201043,0.0000496607
North Dakota,Burleigh,65.29,-0.0000409265,0.0000246838,-0.0000044039,0.0000361261,0.0000351888,0.0000344552
North Dakota,Cass,69.46,-0.0000323832,0.0000220325,-0.0000132208,0.0000274750,0.0000342246,0.0000149665
North Dakota,Cavalier,65.38,-0.0000367627,0.0000224968,0.0000086098,0.0000302998,0.0000270397,0.0000317948
North Dakota,Dickey,73.43,-0.0000345731,0.0000230923,-0.0000111772,0.0000324410,0.0000301791,0.0000310791
North Dakota,Divide,59.07,-0.0000370436,0.0000165601,-0.0000239811,0.0000317835,0.0000216796,0.0000433441
North Dakota,Dunn,74.12,-0.0000356854,0.0000172475,-0.0000237371,0.0000324455,0.0000330905,0.0000288755
North Dakota,Eddy,70.67,-0.0000362451,0.0000215834,-0.0000152620,0.0000314874,0.0000308224,0.0000275336
North Dakota,Emmons,68.56,-0.0000488187,0.0000309750,-0.0000213162,0.0000440907,0.0000350599,0.0000517892
North Dakota,Foster,69.71,-0.0000366874,0.0000219980,-0.0000120544,0.0000323061,0.0000335399,0.0000259976
North Dakota,Golden Valley,64.39,-0.0000543983,0.0000407755,-0.0000284066,0.0000476057,0.0000329669,0.0000645503
North Dakota,Grand Forks,68.27,-0.0000305263,0.0000212826,-0.0000071147,0.0000245389,0.0000288707,0.0000153791
North Dakota,Grant,77.21,-0.0000470097,0.0000341383,-0.0000225876,0.0000419871,0.0000444860,0.0000340261
North Dakota,Griggs,69.56,-0.0000308770,0.0000205162,-0.0000081614,0.0000263744,0.0000290525,0.0000182592
North Dakota,Hettinger,75.01,-0.0000494914,0.0000393725,-0.0000139921,0.0000441278,0.0000442240,0.0000392753
North Dakota,Kidder,65.82,-0.0000407432,0.0000227654,-0.0000065893,0.0000366793,0.0000368528,0.0000322069
North Dakota,LaMoure,73.81,-0.0000339773,0.0000227100,-0.0000121708,0.0000312293,0.0000318021,0.0000259734
North Dakota,Logan,73.17,-0.0000424364,0.0000267424,-0.0000178054,0.0000387298,0.0000356367,0.0000375985
North Dakota,McHenry,64.22,-0.0000533830,0.0000254934,-0.0000161534,0.0000461213,0.0000405757,0.0000492266
North Dakota,McIntosh,76.22,-0.0000369426,0.0000222879,-0.0000213259,0.0000345629,0.0000302929,0.0000360111
North Dakota,McKenzie,62.54,-0.0000414097,0.0000239136,-0.0000224084,0.0000358652,0.0000259489,0.0000472945
North Dakota,McLean,67.72,-0.0000419574,0.0000198901,-0.0000172302,0.0000368126,0.0000392827,0.0000308299
North Dakota,Mercer,74.32,-0.0000392809,0.0000203474,-0.0000273061,0.0000348404,0.0000398700,0.0000248876
North Dakota,Morton,73.63,-0.0000438894,0.0000298677,-0.0000180676,0.0000384022,0.0000393475,0.0000341795
