State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Ohio,Adams,51.38,-0.0000082634,-0.0000060815,0.0000191497,0.0000116477,0.0000230426,-0.0000010593
Ohio,Allen,53.09,-0.0000182702,0.0000046651,0.0000000922,0.0000210307,0.0000219839,0.0000178928
Ohio,Ashland,46.68,-0.0000009289,-0.0000106131,-0.0000009640,0.0000045632,0.0000127377,-0.0000044008
Ohio,Ashtabula,55.86,-0.0000192606,0.0000084548,-0.0000070202,0.0000173979,0.0000235473,0.0000092370
Ohio,Athens,46.32,0.0000049779,-0.0000192855,0.0000100882,-0.0000011664,-0.0000025803,0.0000038173
Ohio,Auglaize,51.22,-0.0000106082,-0.0000017770,0.0000022745,0.0000154225,0.0000160596,0.0000132965
Ohio,Belmont,55.94,-0.0000072519,-0.0000086698,0.0000048157,0.0000092541,0.0000148514,0.0000027396
Ohio,Brown,53.71,-0.0000114694,-0.0000041082,0.0000155258,0.0000141852,0.0000215835,0.0000062402
Ohio,Butler,45.52,-0.0000008898,-0.0000066881,0.0000147837,0.0000072942,-0.0000004879,0.0000167279
Ohio,Carroll,34.70,-0.0000149206,-0.0000033725,0.0000002140,0.0000151508,0.0000266200,0.0000008256
Ohio,Champaign,55.86,-0.0000081784,-0.0000035723,0.0000087607,0.0000131244,0.0000103704,0.0000156121
Ohio,Clark,53.80,-0.0000039328,-0.0000059008,0.0000094092,0.0000096019,0.0000059152,0.0000142833
Ohio,Clermont,54.80,-0.0000062978,-0.0000041064,0.0000074238,0.0000124878,0.0000155580,0.0000094053
Ohio,Clinton,43.53,-0.0000092580,-0.0000013276,0.0000294834,0.0000134337,0.0000175184,0.0000090717
Ohio,Columbiana,51.52,-0.0000097442,-0.0000082978,-0.0000019191,0.0000103200,0.0000161068,0.0000032740
Ohio,Coshocton,51.63,0.0000005237,-0.0000165957,0.0000079021,0.0000027835,0.0000122899,-0.0000069088
Ohio,Crawford,63.25,-0.0000007672,-0.0000080826,-0.0000041440,0.0000040866,0.0000065498,0.0000015827
Ohio,Cuyahoga,61.53,-0.0000106476,-0.0000046132,-0.0000114256,0.0000118469,0.0000157203,0.0000063929
Ohio,Darke,62.44,-0.0000026080,-0.0000045866,0.0000124353,0.0000093779,0.0000073887,0.0000118141
Ohio,Defiance,66.95,-0.0000307829,0.0000128496,-0.0000132666,0.0000277716,0.0000268924,0.0000270282
Ohio,Delaware,73.51,-0.0000051185,-0.0000079365,0.0000037946,0.0000086750,0.0000097552,0.0000068391
Ohio,Erie,77.90,-0.0000074558,-0.0000067623,-0.0000097577,0.0000092416,0.0000108973,0.0000059395
Ohio,Fairfield,52.29,0.0000034970,-0.0000215247,0.0000237954,-0.0000006295,0.0000067428,-0.0000074172
Ohio,Fayette,58.30,-0.0000071193,-0.0000051203,0.0000191779,0.0000118202,0.0000185607,0.0000033257
Ohio,Franklin,62.99,-0.0000009203,-0.0000132159,0.0000142375,0.0000047915,0.0000071351,0.0000028144
Ohio,Fulton,71.40,-0.0000179554,0.0000049439,-0.0000199201,0.0000183997,0.0000206100,0.0000142558
Ohio,Gallia,56.07,0.0000045571,-0.0000126263,0.0000083501,0.0000004082,0.0000105384,-0.0000100452
Ohio,Geauga,45.74,-0.0000105147,0.0000003345,-0.0000115790,0.0000110225,0.0000180506,0.0000019209
