State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Oklahoma,Adair,79.09,-0.0000264710,0.0000251510,0.0000013172,0.0000264656,0.0000254412,0.0000253091
Oklahoma,Alfalfa,69.53,-0.0000206601,0.0000257521,0.0000028939,0.0000298655,0.0000234950,0.0000314069
Oklahoma,Atoka,82.13,-0.0000214417,0.0000193325,0.0000258726,0.0000211600,0.0000163406,0.0000237517
Oklahoma,Beaver,66.81,-0.0000244609,0.0000271528,-0.0000175520,0.0000259389,0.0000218284,0.0000364595
Oklahoma,Beckham,30.34,-0.0000124460,0.0000235233,-0.0000029535,0.0000193847,0.0000015262,0.0000523208
Oklahoma,Blaine,31.15,-0.0000077311,0.0000234729,0.0000028101,0.0000177609,0.0000023794,0.0000476625
Oklahoma,Bryan,87.19,-0.0000133882,0.0000216639,0.0000146157,0.0000207412,0.0000187538,0.0000202834
Oklahoma,Caddo,27.55,-0.0000017653,0.0000144148,0.0000112712,0.0000127342,-0.0000124739,0.0000453002
Oklahoma,Canadian,28.82,0.0000001730,0.0000203140,0.0000046131,0.0000182834,-0.0000072958,0.0000488542
Oklahoma,Carter,42.02,-0.0000301767,0.0000297026,0.0000111638,0.0000315809,0.0000060309,0.0000602572
Oklahoma,Cherokee,70.30,-0.0000196510,0.0000286040,0.0000005466,0.0000236427,0.0000242901,0.0000208709
Oklahoma,Choctaw,59.06,-0.0000061194,0.0000096418,0.0000218525,0.0000104996,0.0000217474,-0.0000070513
Oklahoma,Cimarron,81.17,-0.0000282495,0.0000255221,-0.0000146564,0.0000247277,0.0000272719,0.0000290671
Oklahoma,Cleveland,38.63,-0.0000148515,0.0000263075,0.0000099738,0.0000253817,0.0000024156,0.0000523547
Oklahoma,Coal,65.14,-0.0000231349,0.0000199894,0.0000225273,0.0000220764,0.0000120119,0.0000323111
Oklahoma,Comanche,41.72,-0.0000124167,0.0000155665,0.0000089188,0.0000147160,0.0000007892,0.0000306485
Oklahoma,Cotton,32.29,-0.0000135574,0.0000135646,0.0000004644,0.0000143067,-0.0000002122,0.0000324424
Oklahoma,Craig,75.89,-0.0000221791,0.0000251690,0.0000028799,0.0000270424,0.0000239111,0.0000275671
Oklahoma,Creek,57.40,-0.0000212754,0.0000324520,0.0000055861,0.0000305617,0.0000185462,0.0000426558
Oklahoma,Custer,23.89,-0.0000089284,0.0000184685,0.0000059205,0.0000145837,-0.0000064257,0.0000571236
Oklahoma,Delaware,76.80,-0.0000274772,0.0000273042,0.0000004304,0.0000295058,0.0000275491,0.0000290380
