State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Oregon,Baker,74.41,-0.0000230119,0.0000163453,-0.0000142860,0.0000175144,0.0000191739,0.0000136330
Oregon,Benton,67.64,-0.0000232861,0.0000156152,-0.0000288312,0.0000153466,0.0000294996,-0.0000104570
Oregon,Clackamas,65.97,-0.0000323180,0.0000150194,-0.0000202167,0.0000235694,0.0000279783,0.0000114777
Oregon,Clatsop,49.29,-0.0000152279,-0.0000008884,-0.0000228449,0.0000103928,0.0000211647,-0.0000045768
Oregon,Columbia,58.34,-0.0000198865,0.0000068839,-0.0000247362,0.0000128658,0.0000195952,-0.0000001509
Oregon,Coos,23.83,-0.0000088545,0.0000000744,-0.0000208828,0.0000056623,0.0000453843,-0.0000477096
Oregon,Crook,61.46,-0.0000410236,0.0000141889,-0.0000171238,0.0000340457,0.0000329709,0.0000289713
Oregon,Curry,35.44,-0.0000280577,0.0000066011,-0.0000193996,0.0000174224,0.0000534181,-0.0000383658
Oregon,Deschutes,59.34,-0.0000489647,0.0000144229,-0.0000162023,0.0000416975,0.0000425814,0.0000338650
Oregon,Douglas,40.12,-0.0000183649,0.0000071587,-0.0000210969,0.0000132605,0.0000397627,-0.0000295025
Oregon,Gilliam,76.54,-0.0000369335,0.0000332945,-0.0000197436,0.0000275819,0.0000210790,0.0000338123
Oregon,Grant,67.17,-0.0000290438,0.0000121448,-0.0000198558,0.0000231086,0.0000193908,0.0000253672
Oregon,Harney,66.51,-0.0000502947,0.0000222407,-0.0000281057,0.0000409542,0.0000381343,0.0000395943
Oregon,Hood River,50.95,-0.0000158356,-0.0000002199,-0.0000174251,0.0000126328,0.0000208389,-0.0000013466
Oregon,Jackson,54.89,-0.0000211362,0.0000108358,-0.0000195569,0.0000165402,0.0000307642,-0.0000093367
Oregon,Jefferson,63.14,-0.0000463673,0.0000214961,-0.0000177613,0.0000377023,0.0000318905,0.0000388094
Oregon,Josephine,37.12,-0.0000140698,0.0000104096,-0.0000202226,0.0000085841,0.0000382716,-0.0000404604
Oregon,Klamath,64.49,-0.0000576992,0.0000197226,-0.0000269479,0.0000497786,0.0000566325,0.0000335401
Oregon,Lake,63.83,-0.0000833445,0.0000303697,-0.0000367064,0.0000714972,0.0000715687,0.0000620162
Oregon,Lane,70.99,-0.0000243337,0.0000128789,-0.0000262852,0.0000169286,0.0000252516,-0.0000003349
Oregon,Lincoln,54.54,-0.0000197164,0.0000107862,-0.0000331188,0.0000129857,0.0000270471,-0.0000086847
Oregon,Linn,74.76,-0.0000279385,0.0000176686,-0.0000251643,0.0000194886,0.0000213172,0.0000104072
Oregon,Malheur,74.02,-0.0000369427,0.0000273669,-0.0000214121,0.0000284591,0.0000259812,0.0000271261
Oregon,Marion,66.77,-0.0000322407,0.0000145629,-0.0000237670,0.0000230141,0.0000252265,0.0000129569
Oregon,Morrow,74.09,-0.0000291961,0.0000211633,-0.0000165707,0.0000219448,0.0000282545,0.0000102219
Oregon,Multnomah,59.39,-0.0000326211,0.0000139426,-0.0000139056,0.0000230419,0.0000236334,0.0000172657
Oregon,Polk,73.23,-0.0000279997,0.0000158459,-0.0000290722,0.0000189132,0.0000279247,0.0000006182
Oregon,Sherman,72.63,-0.0000423340,0.0000320511,-0.0000208559,0.0000322744,0.0000299572,0.0000323286
Oregon,Tillamook,52.12,-0.0000201587,0.0000022161,-0.0000285399,0.0000137999,0.0000274295,-0.0000075440
Oregon,Umatilla,56.90,-0.0000313288,0.0000214160,-0.0000173936,0.0000247788,0.0000421031,-0.0000059402
Oregon,Union,54.31,-0.0000253372,0.0000121505,-0.0000131452,0.0000213937,0.0000328804,-0.0000000973
Oregon,Wallowa,51.60,-0.0000263712,0.0000081904,-0.0000098778,0.0000215692,0.0000311783,0.0000026840
Oregon,Wasco,71.17,-0.0000394307,0.0000221738,-0.0000264563,0.0000307358,0.0000297127,0.0000289296
Oregon,Washington,74.39,-0.0000249616,0.0000134049,-0.0000248963,0.0000170817,0.0000237786,0.0000022122
Oregon,Wheeler,66.95,-0.0000352882,0.0000182677,-0.0000182514,0.0000282793,0.0000232821,0.0000310574
Oregon,Yamhill,71.49,-0.0000267577,0.0000156158,-0.0000289514,0.0000179897,0.0000268661,-0.0000000001
