State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Pennsylvania,Adams,56.46,-0.0000308420,0.0000062246,0.0000149571,0.0000226508,0.0000309053,0.0000119492
Pennsylvania,Allegheny,39.33,-0.0000119665,-0.0000044933,-0.0000094198,0.0000110139,0.0000250814,-0.0000062428
Pennsylvania,Armstrong,23.76,-0.0000049865,-0.0000039324,0.0000008358,0.0000062939,0.0000258807,-0.0000172412
Pennsylvania,Beaver,45.61,-0.0000146678,-0.0000012760,-0.0000083632,0.0000144591,0.0000211911,0.0000054611
Pennsylvania,Bedford,25.72,-0.0000086585,-0.0000012603,0.0000000274,0.0000106400,0.0000261150,-0.0000092647
Pennsylvania,Berks,55.35,-0.0000093218,-0.0000037086,-0.0000146032,0.0000147487,0.0000201629,0.0000078648
Pennsylvania,Blair,33.08,-0.0000112019,-0.0000011920,0.0000149439,0.0000109964,0.0000321797,-0.0000152106
Pennsylvania,Bradford,37.19,-0.0000132020,-0.0000049466,-0.0000031894,0.0000120938,0.0000244109,-0.0000027319
Pennsylvania,Bucks,54.56,-0.0000155058,-0.0000021878,-0.0000245349,0.0000150236,0.0000199736,0.0000084045
Pennsylvania,Butler,40.66,-0.0000120270,0.0000029283,-0.0000087553,0.0000125462,0.0000232877,-0.0000004309
Pennsylvania,Cambria,35.76,-0.0000090458,-0.0000069218,0.0000115221,0.0000080039,0.0000290039,-0.0000181751
Pennsylvania,Cameron,34.47,-0.0000068707,-0.0000107340,0.0000045980,0.0000078512,0.0000283177,-0.0000156259
Pennsylvania,Carbon,46.20,0.0000017551,-0.0000111825,-0.0000087010,0.0000066239,0.0000194248,-0.0000081490
Pennsylvania,Centre,27.42,-0.0000104423,-0.0000007269,0.0000040098,0.0000116595,0.0000297469,-0.0000107188
Pennsylvania,Chester,45.11,-0.0000240486,0.0000016391,-0.0000071568,0.0000152057,0.0000230980,0.0000055924
Pennsylvania,Clarion,33.53,-0.0000101811,0.0000045083,0.0000013030,0.0000097810,0.0000222251,-0.0000054612
Pennsylvania,Clearfield,40.94,-0.0000074522,-0.0000066499,0.0000203406,0.0000080323,0.0000290376,-0.0000173248
Pennsylvania,Clinton,35.23,-0.0000131371,-0.0000094723,-0.0000026233,0.0000137876,0.0000331455,-0.0000104111
Pennsylvania,Columbia,34.87,-0.0000103350,-0.0000033139,-0.0000044649,0.0000115215,0.0000239428,-0.0000027714
Pennsylvania,Crawford,59.55,-0.0000206531,0.0000118996,-0.0000062180,0.0000188449,0.0000247072,0.0000101934
Pennsylvania,Cumberland,51.91,-0.0000207882,0.0000029435,0.0000150808,0.0000164091,0.0000250598,0.0000050940
Pennsylvania,Dauphin,32.54,-0.0000106608,-0.0000002091,-0.0000022490,0.0000152339,0.0000252662,0.0000025504
Pennsylvania,Delaware,42.21,-0.0000119168,0.0000022735,-0.0000044073,0.0000159894,0.0000225005,0.0000073034
Pennsylvania,Elk,35.30,-0.0000121165,0.0000022060,0.0000039465,0.0000120865,0.0000230679,-0.0000004821
Pennsylvania,Erie,56.19,-0.0000196684,0.0000101227,-0.0000091160,0.0000175148,0.0000253693,0.0000072652
Pennsylvania,Fayette,36.51,-0.0000158309,-0.0000057353,-0.0000029247,0.0000151142,0.0000297931,-0.0000035778
Pennsylvania,Forest,47.02,-0.0000168911,0.0000064116,0.0000010312,0.0000154893,0.0000220470,0.0000068557
Pennsylvania,Franklin,43.91,-0.0000152089,0.0000020137,0.0000118120,0.0000145861,0.0000247894,0.0000019111
Pennsylvania,Fulton,29.46,-0.0000091029,-0.0000027568,-0.0000006050,0.0000100791,0.0000233466,-0.0000063586
Pennsylvania,Greene,50.39,-0.0000099015,-0.0000079862,-0.0000010782,0.0000092570,0.0000151670,0.0000025423
Pennsylvania,Huntingdon,36.77,-0.0000140488,0.0000039304,0.0000082191,0.0000139473,0.0000296330,-0.0000056380
Pennsylvania,Indiana,29.14,-0.0000070894,-0.0000045910,0.0000078783,0.0000065069,0.0000284731,-0.0000201916
Pennsylvania,Jefferson,33.20,-0.0000083610,0.0000007596,0.0000120716,0.0000081052,0.0000243086,-0.0000108176
Pennsylvania,Juniata,38.26,-0.0000156321,0.0000008680,0.0000115629,0.0000127724,0.0000266215,-0.0000043864
Pennsylvania,Lackawanna,43.31,-0.0000194650,-0.0000065053,0.0000038521,0.0000222450,0.0000326298,0.0000089190
Pennsylvania,Lancaster,39.50,-0.0000227658,0.0000021980,-0.0000011339,0.0000137865,0.0000195950,0.0000063319
Pennsylvania,Lawrence,52.65,-0.0000164334,0.0000036990,-0.0000079566,0.0000164528,0.0000212360,0.0000100766
Pennsylvania,Lebanon,39.64,-0.0000060697,-0.0000014392,-0.0000058556,0.0000129141,0.0000194972,0.0000042006
Pennsylvania,Lehigh,52.38,-0.0000101612,-0.0000054105,-0.0000171731,0.0000129728,0.0000225232,0.0000015530
Pennsylvania,Luzerne,43.31,0.0000014516,-0.0000095094,-0.0000051667,0.0000071372,0.0000177780,-0.0000052248
Pennsylvania,Lycoming,40.84,-0.0000176042,-0.0000076341,-0.0000078793,0.0000172922,0.0000330772,-0.0000024898
Pennsylvania,Mercer,60.69,-0.0000204291,0.0000100463,-0.0000115475,0.0000187255,0.0000250193,0.0000099689
Pennsylvania,Mifflin,34.80,-0.0000131687,0.0000025038,0.0000065420,0.0000134339,0.0000279637,-0.0000044367
Pennsylvania,Monroe,48.41,-0.0000109766,-0.0000118833,-0.0000166674,0.0000147233,0.0000309437,-0.0000045814
Pennsylvania,Montgomery,56.29,-0.0000214754,-0.0000032958,-0.0000217085,0.0000113974,0.0000147459,0.0000071042
Pennsylvania,Montour,33.53,-0.0000133211,0.0000003178,-0.0000074603,0.0000162062,0.0000305522,-0.0000009101
Pennsylvania,Northampton,40.40,-0.0000135131,-0.0000018385,-0.0000145090,0.0000157358,0.0000294416,-0.0000007554
Pennsylvania,Northumberland,36.90,-0.0000178877,0.0000011467,-0.0000082132,0.0000178468,0.0000317039,0.0000016623
Pennsylvania,Perry,43.67,-0.0000149649,0.0000006482,0.0000158658,0.0000133241,0.0000249377,-0.0000016873
Pennsylvania,Philadelphia,44.09,-0.0000043833,-0.0000020365,-0.0000213846,0.0000099955,0.0000117363,0.0000082334
Pennsylvania,Pike,40.61,-0.0000242806,-0.0000017974,-0.0000069357,0.0000237568,0.0000356683,0.0000074108
Pennsylvania,Potter,31.20,-0.0000063828,-0.0000042224,-0.0000104364,0.0000074816,0.0000284370,-0.0000179646
Pennsylvania,Schuylkill,48.07,-0.0000132494,-0.0000039452,-0.0000103228,0.0000136567,0.0000218256,0.0000038169
Pennsylvania,Snyder,32.93,-0.0000159101,0.0000015216,-0.0000030193,0.0000167475,0.0000307985,-0.0000001241
Pennsylvania,Somerset,42.35,-0.0000089281,-0.0000151580,0.0000010767,0.0000088580,0.0000248504,-0.0000111916
Pennsylvania,Sullivan,44.35,-0.0000124953,-0.0000124281,-0.0000016761,0.0000119189,0.0000246110,-0.0000028107
Pennsylvania,Susquehanna,43.53,-0.0000187470,-0.0000063105,0.0000044350,0.0000193225,0.0000297306,0.0000056502
Pennsylvania,Tioga,43.22,-0.0000120297,-0.0000103609,-0.0000116916,0.0000123652,0.0000299689,-0.0000098056
Pennsylvania,Union,34.08,-0.0000145625,0.0000012972,-0.0000042504,0.0000179454,0.0000310861,0.0000013676
Pennsylvania,Venango,55.04,-0.0000158150,0.0000092040,-0.0000080673,0.0000147098,0.0000222435,0.0000046751
Pennsylvania,Warren,43.99,-0.0000161931,0.0000042780,0.0000021337,0.0000146441,0.0000217499,0.0000052328
Pennsylvania,Washington,43.11,-0.0000086357,-0.0000064185,-0.0000053043,0.0000093437,0.0000191120,-0.0000028916
Pennsylvania,Wayne,48.33,-0.0000384484,0.0000096079,0.0000050757,0.0000341025,0.0000454184,0.0000172092
Pennsylvania,Westmoreland,31.97,-0.0000116432,-0.0000064882,-0.0000038985,0.0000110682,0.0000312333,-0.0000137225
Pennsylvania,Wyoming,46.97,-0.0000087676,-0.0000119864,0.0000039841,0.0000128833,0.0000234675,0.0000005931
Pennsylvania,York,51.51,-0.0000245940,0.0000062357,0.0000026392,0.0000189823,0.0000231569,0.0000132042
