State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
South Carolina,Abbeville,17.11,-0.0000054437,-0.0000077839,0.0000008213,-0.0000006563,0.0000297730,-0.0000372020
South Carolina,Aiken,40.84,-0.0000227271,0.0000084724,-0.0000125746,0.0000133042,0.0000352802,-0.0000132404
South Carolina,Allendale,46.27,-0.0000188117,0.0000036986,-0.0000107863,0.0000070070,0.0000170582,-0.0000044840
South Carolina,Anderson,31.29,-0.0000092821,-0.0000087594,-0.0000026888,0.0000021006,0.0000212410,-0.0000219283
South Carolina,Bamberg,57.84,-0.0000232686,0.0000105051,-0.0000121210,0.0000126803,0.0000216017,0.0000011578
South Carolina,Barnwell,44.84,-0.0000248968,0.0000093238,-0.0000101297,0.0000134944,0.0000312913,-0.0000084027
South Carolina,Beaufort,39.26,-0.0000115359,-0.0000070834,-0.0000233601,-0.0000030005,0.0000019696,-0.0000081544
South Carolina,Berkeley,78.36,-0.0000226081,0.0000164098,-0.0000173359,0.0000171243,0.0000213180,0.0000110492
South Carolina,Calhoun,61.96,-0.0000220081,0.0000116906,-0.0000073066,0.0000162223,0.0000225542,0.0000067413
South Carolina,Charleston,78.51,-0.0000214992,0.0000146637,-0.0000217491,0.0000148110,0.0000196982,0.0000078993
South Carolina,Cherokee,58.83,-0.0000305772,0.0000112760,0.0000046324,0.0000264156,0.0000295944,0.0000164873
South Carolina,Chester,52.05,-0.0000219435,0.0000125505,0.0000043882,0.0000195639,0.0000290791,0.0000050998
South Carolina,Chesterfield,70.00,-0.0000221862,0.0000175216,-0.0000114538,0.0000228528,0.0000272523,0.0000137591
South Carolina,Clarendon,67.03,-0.0000222992,0.0000145847,-0.0000052808,0.0000180858,0.0000197390,0.0000140183
South Carolina,Colleton,42.92,-0.0000166309,0.0000035146,-0.0000212100,0.0000051228,0.0000067465,0.0000033202
South Carolina,Darlington,79.78,-0.0000226549,0.0000158995,-0.0000131609,0.0000215376,0.0000189314,0.0000214926
South Carolina,Dillon,77.24,-0.0000322845,0.0000305947,-0.0000130777,0.0000335841,0.0000272270,0.0000362538
South Carolina,Dorchester,72.66,-0.0000205454,0.0000131516,-0.0000219358,0.0000134562,0.0000168341,0.0000083643
South Carolina,Edgefield,34.38,-0.0000176969,0.0000079635,-0.0000042949,0.0000119130,0.0000337018,-0.0000149446
South Carolina,Fairfield,42.48,-0.0000148536,0.0000073309,0.0000005484,0.0000135451,0.0000227902,0.0000000055
South Carolina,Florence,79.46,-0.0000251553,0.0000209986,-0.0000106261,0.0000230592,0.0000207401,0.0000235382
South Carolina,Georgetown,65.64,-0.0000229233,0.0000134713,-0.0000119597,0.0000153213,0.0000189441,0.0000104345
South Carolina,Greenville,58.90,-0.0000255321,0.0000118512,-0.0000085067,0.0000241827,0.0000300848,0.0000124616
South Carolina,Greenwood,33.14,-0.0000148422,0.0000074824,0.0000042939,0.0000118081,0.0000336568,-0.0000164953
South Carolina,Hampton,37.36,-0.0000173096,-0.0000013228,-0.0000161235,0.0000020368,0.0000059112,-0.0000014971
South Carolina,Horry,78.90,-0.0000270825,0.0000231075,-0.0000158509,0.0000254626,0.0000293897,0.0000193569
South Carolina,Jasper,33.99,-0.0000148454,-0.0000015898,-0.0000196481,0.0000013535,0.0000043304,-0.0000017251
South Carolina,Kershaw,54.92,-0.0000133010,0.0000076784,-0.0000102242,0.0000127463,0.0000203134,0.0000014138
South Carolina,Lancaster,42.95,-0.0000181833,0.0000080938,-0.0000057743,0.0000158353,0.0000292351,-0.0000032318
South Carolina,Laurens,53.88,-0.0000272933,0.0000126213,0.0000034446,0.0000214881,0.0000300942,0.0000077533
South Carolina,Lee,72.16,-0.0000199945,0.0000103513,-0.0000114999,0.0000173154,0.0000199672,0.0000115720
South Carolina,Lexington,39.34,-0.0000153612,0.0000048298,-0.0000055137,0.0000107105,0.0000236876,-0.0000061915
South Carolina,McCormick,17.81,-0.0000097530,0.0000003848,-0.0000000700,0.0000050494,0.0000325123,-0.0000285413
South Carolina,Marion,86.81,-0.0000298975,0.0000281977,-0.0000142841,0.0000296113,0.0000272959,0.0000291214
South Carolina,Marlboro,70.92,-0.0000299615,0.0000243729,-0.0000097065,0.0000295548,0.0000226974,0.0000332748
South Carolina,Newberry,44.53,-0.0000186514,0.0000091541,0.0000050100,0.0000162985,0.0000287892,-0.0000007159
South Carolina,Oconee,33.97,-0.0000163034,0.0000018365,0.0000026406,0.0000111059,0.0000236552,-0.0000051106
South Carolina,Orangeburg,62.45,-0.0000239214,0.0000134764,-0.0000100804,0.0000158863,0.0000244315,0.0000042702
South Carolina,Pickens,45.65,-0.0000198215,0.0000042616,-0.0000046291,0.0000153973,0.0000235791,0.0000035576
South Carolina,Richland,52.43,-0.0000155240,0.0000053164,-0.0000068129,0.0000124217,0.0000186694,0.0000028946
South Carolina,Saluda,37.29,-0.0000172596,0.0000067621,0.0000023669,0.0000131788,0.0000284059,-0.0000069950
South Carolina,Spartanburg,63.80,-0.0000297296,0.0000144466,0.0000048865,0.0000266383,0.0000297758,0.0000169062
South Carolina,Sumter,71.39,-0.0000198117,0.0000120148,-0.0000082885,0.0000172226,0.0000182418,0.0000137074
South Carolina,Union,60.19,-0.0000233222,0.0000111747,0.0000031376,0.0000192325,0.0000204295,0.0000160681
South Carolina,Williamsburg,69.49,-0.0000238076,0.0000164221,-0.0000084862,0.0000185482,0.0000212669,0.0000136272
South Carolina,York,54.94,-0.0000277184,0.0000119768,0.0000083261,0.0000239952,0.0000328644,0.0000098231
