State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
South Dakota,Aurora,51.43,-0.0000263280,0.0000257781,-0.0000145943,0.0000263434,0.0000111128,0.0000446665
South Dakota,Beadle,59.13,-0.0000392338,0.0000311779,-0.0000196892,0.0000375941,0.0000227253,0.0000530564
South Dakota,Bennett,69.22,-0.0000193977,0.0000194047,0.0000061017,0.0000207414,0.0000253018,0.0000143256
South Dakota,Bon Homme,62.63,-0.0000381830,0.0000351040,-0.0000019192,0.0000364095,0.0000264048,0.0000457980
South Dakota,Brookings,57.76,-0.0000383221,0.0000304531,-0.0000077135,0.0000357055,0.0000227917,0.0000485046
South Dakota,Brown,74.19,-0.0000370813,0.0000258867,-0.0000254946,0.0000351253,0.0000276882,0.0000406223
South Dakota,Brule,58.28,-0.0000311029,0.0000332682,-0.0000104289,0.0000308517,0.0000176026,0.0000459100
South Dakota,Buffalo,62.97,-0.0000412905,0.0000390064,-0.0000050220,0.0000396212,0.0000291553,0.0000509349
South Dakota,Butte,67.72,-0.0000153371,0.0000175526,-0.0000260351,0.0000133112,0.0000201791,0.0000008678
South Dakota,Campbell,58.34,-0.0000408731,0.0000269653,-0.0000283367,0.0000390307,0.0000237879,0.0000558367
South Dakota,Charles Mix,51.89,-0.0000346054,0.0000350687,-0.0000050456,0.0000347257,0.0000180041,0.0000538105
South Dakota,Clark,71.12,-0.0000334286,0.0000263833,-0.0000255034,0.0000316730,0.0000220752,0.0000399687
South Dakota,Clay,75.33,-0.0000290861,0.0000256039,-0.0000103020,0.0000291556,0.0000239701,0.0000317945
South Dakota,Codington,75.67,-0.0000343343,0.0000284006,-0.0000217680,0.0000312918,0.0000231363,0.0000373913
South Dakota,Corson,74.73,-0.0000475506,0.0000348874,-0.0000302058,0.0000441786,0.0000365027,0.0000514716
South Dakota,Custer,75.82,-0.0000406592,0.0000307319,-0.0000173870,0.0000358521,0.0000315584,0.0000393172
South Dakota,Davison,51.22,-0.0000319601,0.0000287546,-0.0000128296,0.0000308234,0.0000140739,0.0000503119
