State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Texas,Anderson,69.45,-0.0000080970,0.0000206114,0.0000076941,0.0000144117,0.0000159033,0.0000093387
Texas,Andrews,71.85,-0.0000265055,0.0000403149,-0.0000146040,0.0000334762,0.0000225249,0.0000422492
Texas,Angelina,82.79,-0.0000076882,0.0000133075,0.0000110575,0.0000104568,0.0000136567,0.0000052457
Texas,Archer,57.31,-0.0000157735,0.0000169759,0.0000057310,0.0000172674,0.0000103559,0.0000249955
Texas,Armstrong,63.59,-0.0000476610,0.0000282543,-0.0000147930,0.0000375020,0.0000289599,0.0000269942
Texas,Atascosa,72.88,-0.0000191722,0.0000185405,0.0000111810,0.0000148346,0.0000080695,0.0000208958
Texas,Austin,73.14,-0.0000210806,0.0000276901,0.0000059890,0.0000208476,0.0000267858,0.0000121768
Texas,Bailey,76.37,-0.0000649923,0.0000559529,-0.0000209465,0.0000574929,0.0000455574,0.0000634512
Texas,Bandera,63.63,-0.0000237533,0.0000168505,0.0000079212,0.0000138536,0.0000236032,-0.0000028009
Texas,Bastrop,68.18,-0.0000200804,0.0000234780,0.0000157695,0.0000170871,0.0000079188,0.0000271450
Texas,Baylor,78.31,-0.0000135617,0.0000131884,0.0000015459,0.0000141812,0.0000127216,0.0000142759
Texas,Bee,29.12,-0.0000092335,0.0000084496,0.0000093610,0.0000069402,-0.0000121768,0.0000309196
Texas,Bell,59.92,-0.0000210924,0.0000321456,0.0000057330,0.0000255722,0.0000396289,0.0000001122
Texas,Bexar,79.03,-0.0000177350,0.0000187409,0.0000106868,0.0000137081,0.0000110965,0.0000138578
Texas,Blanco,77.45,-0.0000130301,0.0000151147,0.0000087492,0.0000115850,0.0000159780,0.0000017120
Texas,Borden,70.04,-0.0000398162,0.0000461443,-0.0000105130,0.0000475789,0.0000351334,0.0000543989
Texas,Bosque,58.98,-0.0000062928,0.0000118391,0.0000068206,0.0000090199,0.0000162812,-0.0000024621
Texas,Bowie,51.83,-0.0000117765,0.0000141307,0.0000185227,0.0000144966,0.0000310265,-0.0000064542
Texas,Brazoria,37.29,-0.0000149341,0.0000067519,-0.0000018406,0.0000038564,0.0000048362,0.0000069060
Texas,Brazos,70.05,-0.0000223360,0.0000329480,0.0000055678,0.0000245555,0.0000252443,0.0000230439
Texas,Brewster,23.01,-0.0000043773,-0.0000046399,-0.0000083373,-0.0000024449,0.0000160092,-0.0000262324
Texas,Briscoe,74.71,-0.0000530535,0.0000386991,-0.0000122821,0.0000527166,0.0000492889,0.0000252238
Texas,Brooks,74.35,0.0000022081,-0.0000271945,0.0000261065,-0.0000204854,-0.0000298516,-0.0000030543
Texas,Brown,73.72,-0.0000292167,0.0000253888,0.0000052032,0.0000244605,0.0000285462,0.0000169453
Texas,Burleson,68.91,-0.0000245931,0.0000370142,0.0000033286,0.0000283119,0.0000282679,0.0000261472
Texas,Burnet,69.77,-0.0000170093,0.0000226885,0.0000109991,0.0000165864,0.0000254473,-0.0000017213
Texas,Caldwell,59.86,-0.0000147638,0.0000194371,0.0000133718,0.0000139749,0.0000043673,0.0000251036
Texas,Calhoun,15.64,-0.0000112587,0.0000014068,-0.0000007079,-0.0000003254,-0.0000245348,0.0000274854
Texas,Callahan,73.69,-0.0000301452,0.0000292292,0.0000034537,0.0000271075,0.0000318742,0.0000166699
Texas,Cameron,59.57,-0.0000008018,-0.0000361729,0.0000317740,-0.0000269790,-0.0000494832,0.0000067988
Texas,Camp,66.07,-0.0000010262,0.0000082609,0.0000110391,0.0000061537,0.0000072643,0.0000038710
Texas,Carson,60.16,-0.0000312526,0.0000182906,-0.0000119363,0.0000204752,0.0000155528,0.0000207127
Texas,Cass,73.02,-0.0000173120,0.0000231119,0.0000143726,0.0000203805,0.0000274554,0.0000099054
Texas,Castro,70.46,-0.0000679721,0.0000485223,-0.0000210526,0.0000569306,0.0000541152,0.0000458578
Texas,Chambers,70.31,-0.0000178574,0.0000155655,0.0000046252,0.0000129447,0.0000183369,0.0000081191
Texas,Cherokee,70.49,-0.0000098990,0.0000244598,0.0000093535,0.0000176486,0.0000186491,0.0000127709
Texas,Childress,74.91,-0.0000267303,0.0000283799,-0.0000075593,0.0000346576,0.0000292504,0.0000262610
Texas,Clay,46.18,-0.0000199734,0.0000270282,0.0000023859,0.0000243713,0.0000096399,0.0000422499
Texas,Cochran,70.97,-0.0000354412,0.0000402608,-0.0000208344,0.0000405998,0.0000297768,0.0000498085
Texas,Coke,77.16,-0.0000425271,0.0000489148,0.0000098407,0.0000424452,0.0000435030,0.0000317890
Texas,Coleman,73.00,-0.0000279513,0.0000264987,0.0000066112,0.0000233437,0.0000296605,0.0000104696
Texas,Collin,65.62,-0.0000055680,0.0000108970,0.0000044630,0.0000117911,0.0000145729,0.0000070653
Texas,Collingsworth,79.02,-0.0000141650,0.0000236637,-0.0000079757,0.0000249966,0.0000207013,0.0000243422
Texas,Colorado,70.17,-0.0000207844,0.0000275295,0.0000064619,0.0000195926,0.0000172917,0.0000213918
Texas,Comal,63.83,-0.0000109565,0.0000118948,0.0000130176,0.0000084790,0.0000013936,0.0000160485
Texas,Comanche,78.01,-0.0000251267,0.0000240816,0.0000052084,0.0000218967,0.0000236817,0.0000179703
Texas,Concho,69.16,-0.0000371176,0.0000367981,0.0000042753,0.0000314672,0.0000412763,0.0000099236
Texas,Cooke,66.88,-0.0000220101,0.0000231806,0.0000027371,0.0000237750,0.0000184921,0.0000282297
Texas,Coryell,60.78,-0.0000127630,0.0000185144,0.0000082721,0.0000156171,0.0000250175,-0.0000017460
Texas,Cottle,77.38,-0.0000326925,0.0000390707,-0.0000050487,0.0000405731,0.0000414629,0.0000297011
Texas,Crane,61.73,-0.0000072258,0.0000172610,0.0000033579,0.0000159560,0.0000213899,0.0000067033
Texas,Crockett,67.64,-0.0000292646,0.0000315166,0.0000081070,0.0000294826,0.0000386453,0.0000100996
Texas,Crosby,72.48,-0.0000674295,0.0000544346,-0.0000134559,0.0000574839,0.0000668338,0.0000257485
