State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Utah,Beaver,57.38,-0.0000413829,0.0000225494,-0.0000065347,0.0000291117,0.0000288042,0.0000248515
Utah,Box Elder,73.39,-0.0000360431,0.0000358081,-0.0000022807,0.0000285986,0.0000336771,0.0000188554
Utah,Cache,52.92,-0.0000428895,0.0000199629,-0.0000016293,0.0000364959,0.0000487295,0.0000167760
Utah,Carbon,60.16,-0.0000540402,0.0000312146,0.0000081882,0.0000431299,0.0000321799,0.0000548840
Utah,Daggett,53.09,-0.0000759044,0.0000296387,0.0000017338,0.0000652515,0.0000481750,0.0000787916
Utah,Davis,66.45,-0.0000439038,0.0000327736,-0.0000060684,0.0000351029,0.0000301453,0.0000397158
Utah,Duchesne,45.51,-0.0000481697,0.0000133849,0.0000038232,0.0000405772,0.0000266270,0.0000549298
Utah,Emery,68.26,-0.0000424140,0.0000334521,0.0000063837,0.0000337000,0.0000330978,0.0000319527
Utah,Garfield,32.79,-0.0000105650,-0.0000002839,0.0000102322,0.0000047002,0.0000199840,-0.0000178293
Utah,Grand,65.54,-0.0000339366,0.0000251529,0.0000050022,0.0000263344,0.0000233723,0.0000265184
Utah,Iron,51.63,-0.0000302737,0.0000164335,0.0000044236,0.0000217053,0.0000352162,0.0000005720
Utah,Juab,71.59,-0.0000426110,0.0000403928,-0.0000100337,0.0000376114,0.0000282947,0.0000458868
Utah,Kane,31.67,-0.0000101849,0.0000015394,0.0000018380,0.0000056530,0.0000157260,-0.0000089614
Utah,Millard,64.14,-0.0000375769,0.0000400529,-0.0000123648,0.0000378292,0.0000241528,0.0000507355
Utah,Morgan,65.84,-0.0000374775,0.0000210031,-0.0000109156,0.0000314212,0.0000297324,0.0000318893
Utah,Piute,54.73,-0.0000224401,0.0000112690,-0.0000038741,0.0000173894,0.0000249885,0.0000030188
Utah,Rich,57.45,-0.0000353500,0.0000121825,-0.0000120705,0.0000311700,0.0000389992,0.0000164537
Utah,Salt Lake,68.42,-0.0000381287,0.0000277260,-0.0000091133,0.0000303775,0.0000306404,0.0000284747
Utah,San Juan,42.69,-0.0000162112,0.0000197258,0.0000108033,0.0000174713,-0.0000009439,0.0000369016
Utah,Sanpete,60.34,-0.0000478272,0.0000265406,-0.0000046935,0.0000388873,0.0000328165,0.0000440781
Utah,Sevier,55.37,-0.0000430298,0.0000199019,-0.0000013284,0.0000336739,0.0000320001,0.0000311671
Utah,Summit,55.94,-0.0000386982,0.0000063826,-0.0000093146,0.0000354134,0.0000335538,0.0000345446
Utah,Tooele,73.00,-0.0000434100,0.0000431421,0.0000035046,0.0000409246,0.0000341130,0.0000464688
Utah,Uintah,49.67,-0.0000685911,0.0000312021,0.0000030096,0.0000528978,0.0000324316,0.0000740181
Utah,Utah,65.28,-0.0000410316,0.0000250025,-0.0000122220,0.0000323833,0.0000292877,0.0000340412
Utah,Wasatch,58.36,-0.0000292171,0.0000091750,-0.0000067590,0.0000253472,0.0000236791,0.0000263317
Utah,Washington,40.49,-0.0000210526,0.0000170411,-0.0000010353,0.0000150829,0.0000378129,-0.0000168869
Utah,Wayne,53.03,-0.0000280071,0.0000149842,0.0000066793,0.0000166124,0.0000305095,-0.0000061958
Utah,Weber,59.29,-0.0000447121,0.0000217887,-0.0000046588,0.0000362156,0.0000383516,0.0000319470
