State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Virginia,Accomack,33.69,-0.0000096388,0.0000010344,0.0000204946,0.0000092097,0.0000330392,-0.0000175678
Virginia,Albemarle,46.89,-0.0000237247,0.0000058763,-0.0000014704,0.0000163294,0.0000242387,0.0000048774
Virginia,Alleghany,41.45,-0.0000150646,-0.0000058236,-0.0000001317,0.0000158215,0.0000242557,0.0000043758
Virginia,Amelia,26.46,-0.0000183048,0.0000056450,-0.0000016966,0.0000161146,-0.0000007418,0.0000357952
Virginia,Amherst,35.92,-0.0000056916,-0.0000045377,0.0000041950,0.0000108423,0.0000218112,-0.0000034274
Virginia,Appomattox,51.01,-0.0000101379,0.0000005298,0.0000068900,0.0000132047,0.0000155920,0.0000097052
Virginia,Arlington,63.38,-0.0000233772,0.0000138011,0.0000107727,0.0000277488,0.0000314044,0.0000217367
Virginia,Augusta,46.72,-0.0000112101,-0.0000101095,-0.0000089302,0.0000127779,0.0000254656,-0.0000043544
Virginia,Bath,44.56,-0.0000112532,-0.0000130671,-0.0000001555,0.0000118497,0.0000237635,-0.0000027902
Virginia,Bedford,39.93,-0.0000027996,-0.0000134990,0.0000022612,0.0000051039,0.0000206530,-0.0000140509
Virginia,Bland,32.73,0.0000004190,-0.0000111025,-0.0000049111,0.0000032410,0.0000230985,-0.0000192528
Virginia,Botetourt,33.80,-0.0000068286,-0.0000061602,0.0000018715,0.0000103939,0.0000238886,-0.0000070468
Virginia,Brunswick,63.19,-0.0000131144,0.0000021191,-0.0000076423,0.0000118991,0.0000130299,0.0000099373
Virginia,Buchanan,56.96,0.0000034912,-0.0000117228,0.0000126222,-0.0000008879,0.0000048753,-0.0000071305
Virginia,Buckingham,57.34,-0.0000115046,0.0000014833,0.0000063714,0.0000138561,0.0000147453,0.0000124551
Virginia,Campbell,46.67,-0.0000144461,0.0000022748,0.0000037682,0.0000185900,0.0000224983,0.0000121116
Virginia,Caroline,38.37,-0.0000188512,0.0000063217,-0.0000064211,0.0000194939,0.0000090755,0.0000320016
Virginia,Carroll,37.35,-0.0000085262,-0.0000102689,-0.0000112112,0.0000123532,0.0000347498,-0.0000157949
Virginia,Charles City,30.59,-0.0000215814,0.0000084547,-0.0000087188,0.0000189276,-0.0000022177,0.0000429945
