State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Washington,Adams,77.92,-0.0000342604,0.0000301112,-0.0000190334,0.0000255714,0.0000310955,0.0000134975
Washington,Asotin,46.69,-0.0000213415,0.0000122755,-0.0000034793,0.0000158080,0.0000294800,-0.0000075797
Washington,Benton,67.53,-0.0000278822,0.0000246937,-0.0000144850,0.0000201599,0.0000321865,-0.0000009316
Washington,Chelan,57.82,-0.0000335549,0.0000055267,-0.0000151906,0.0000280942,0.0000302559,0.0000249872
Washington,Clallam,33.26,-0.0000056562,-0.0000028425,-0.0000230977,0.0000036663,0.0000066955,0.0000004338
Washington,Clark,60.90,-0.0000291342,0.0000127447,-0.0000158698,0.0000198586,0.0000195542,0.0000154345
Washington,Columbia,75.20,-0.0000241302,0.0000184994,-0.0000217457,0.0000196099,0.0000272327,0.0000052205
Washington,Cowlitz,51.09,-0.0000129366,0.0000024619,-0.0000162286,0.0000078899,0.0000180860,-0.0000073848
Washington,Douglas,74.87,-0.0000374569,0.0000256102,-0.0000274077,0.0000272521,0.0000321808,0.0000191108
Washington,Ferry,57.05,-0.0000223902,0.0000140059,-0.0000349434,0.0000159002,0.0000204091,0.0000050631
Washington,Franklin,68.22,-0.0000261009,0.0000220612,-0.0000128887,0.0000193187,0.0000292681,0.0000011068
Washington,Garfield,81.17,-0.0000230543,0.0000171715,-0.0000191254,0.0000181907,0.0000230870,0.0000076430
Washington,Grant,76.93,-0.0000340179,0.0000352148,-0.0000199382,0.0000232026,0.0000213271,0.0000234269
Washington,Grays Harbor,40.62,-0.0000082569,-0.0000033358,-0.0000226180,0.0000059926,0.0000122640,-0.0000029271
Washington,Jefferson,34.38,-0.0000052794,-0.0000053311,-0.0000281343,0.0000034619,0.0000097990,-0.0000048609
Washington,King,35.64,-0.0000278970,0.0000001353,-0.0000039815,0.0000209565,0.0000117461,0.0000322674
Washington,Kitsap,44.69,-0.0000186688,0.0000035532,-0.0000330226,0.0000132912,0.0000121191,0.0000131053
Washington,Kittitas,57.24,-0.0000280320,0.0000108997,-0.0000074950,0.0000211773,0.0000219612,0.0000181544
Washington,Klickitat,77.47,-0.0000217014,0.0000134831,-0.0000197469,0.0000162260,0.0000199315,0.0000093110
Washington,Lewis,47.15,-0.0000131035,0.0000009568,-0.0000199121,0.0000093503,0.0000109751,0.0000062780
Washington,Lincoln,70.04,-0.0000451930,0.0000294528,-0.0000197835,0.0000351033,0.0000427669,0.0000194903
Washington,Mason,55.30,-0.0000251679,0.0000023847,-0.0000159589,0.0000182674,0.0000230674,0.0000083793
Washington,Okanogan,74.74,-0.0000295185,0.0000158182,-0.0000270066,0.0000222971,0.0000243272,0.0000164747
Washington,Pacific,43.66,-0.0000124159,-0.0000009755,-0.0000213918,0.0000085935,0.0000102971,0.0000062930
Washington,Pend Oreille,30.25,-0.0000088168,0.0000015246,-0.0000252360,0.0000032006,0.0000030531,-0.0000021279
Washington,Pierce,54.08,-0.0000209411,0.0000032579,-0.0000098606,0.0000160497,0.0000138977,0.0000177256
Washington,San Juan,42.11,0.0000037222,-0.0000066769,-0.0000104238,-0.0000052217,0.0000036401,-0.0000157512
Washington,Skagit,47.41,-0.0000102691,-0.0000008970,-0.0000082115,0.0000065971,0.0000124886,-0.0000002118
Washington,Skamania,39.91,-0.0000133434,-0.0000008473,-0.0000113798,0.0000108885,0.0000228119,-0.0000074553
Washington,Snohomish,39.83,-0.0000200137,0.0000002882,-0.0000060959,0.0000149617,0.0000086483,0.0000224383
Washington,Spokane,75.61,-0.0000332976,0.0000212212,-0.0000263803,0.0000253155,0.0000283153,0.0000171685
Washington,Stevens,56.45,-0.0000189716,0.0000124239,-0.0000286172,0.0000119772,0.0000146580,0.0000021068
Washington,Thurston,60.15,-0.0000238020,0.0000091850,-0.0000119318,0.0000173689,0.0000157089,0.0000163213
Washington,Wahkiakum,41.35,-0.0000132959,0.0000002446,-0.0000246787,0.0000089271,0.0000147889,0.0000002352
Washington,Walla Walla,68.31,-0.0000301978,0.0000251723,-0.0000210642,0.0000231862,0.0000360498,-0.0000000228
Washington,Whatcom,25.73,-0.0000030850,-0.0000005701,-0.0000123513,0.0000002732,0.0000144843,-0.0000176571
Washington,Whitman,78.53,-0.0000361744,0.0000287816,-0.0000245083,0.0000278761,0.0000321366,0.0000161005
Washington,Yakima,69.83,-0.0000194715,0.0000114982,-0.0000151507,0.0000147200,0.0000209415,0.0000052950
