State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
West Virginia,Barbour,56.95,-0.0000035212,-0.0000080196,0.0000095937,0.0000032196,-0.0000017703,0.0000105262
West Virginia,Berkeley,50.77,-0.0000192749,0.0000100253,-0.0000016430,0.0000190839,0.0000136279,0.0000247691
West Virginia,Boone,47.43,0.0000065304,-0.0000080304,0.0000151966,-0.0000029470,0.0000008982,-0.0000075120
West Virginia,Braxton,41.28,-0.0000072030,-0.0000057888,0.0000062450,0.0000052922,-0.0000002944,0.0000135380
West Virginia,Brooke,43.18,-0.0000108226,-0.0000051530,-0.0000004801,0.0000115560,0.0000177655,0.0000029652
West Virginia,Cabell,61.61,0.0000015974,-0.0000075854,0.0000070435,0.0000015295,0.0000043755,-0.0000010148
West Virginia,Calhoun,40.86,-0.0000004613,-0.0000101081,0.0000108078,0.0000020297,-0.0000086159,0.0000168241
West Virginia,Clay,32.49,-0.0000046562,-0.0000008723,0.0000103514,0.0000064116,-0.0000007589,0.0000156856
West Virginia,Doddridge,29.56,-0.0000051372,-0.0000071429,0.0000016422,0.0000042111,-0.0000043018,0.0000166622
West Virginia,Fayette,55.55,-0.0000082954,0.0000053088,0.0000194227,0.0000098048,0.0000189887,-0.0000011068
West Virginia,Gilmer,32.07,-0.0000059057,-0.0000043951,0.0000111628,0.0000066630,-0.0000040866,0.0000215076
West Virginia,Grant,44.84,-0.0000072243,-0.0000087855,0.0000033117,0.0000062944,0.0000162370,-0.0000036503
West Virginia,Greenbrier,35.72,-0.0000144933,-0.0000013006,0.0000004597,0.0000147119,0.0000231894,0.0000041740
West Virginia,Hampshire,69.14,-0.0000111156,-0.0000069935,0.0000038367,0.0000105456,0.0000101880,0.0000118495
West Virginia,Hancock,40.52,-0.0000155147,-0.0000008233,-0.0000020133,0.0000157963,0.0000217568,0.0000067127
West Virginia,Hardy,60.62,-0.0000048020,-0.0000120810,-0.0000041386,0.0000053723,0.0000091370,0.0000024018
West Virginia,Harrison,22.99,-0.0000096713,-0.0000025016,0.0000001845,0.0000083356,-0.0000007673,0.0000205661
West Virginia,Jackson,50.69,0.0000017082,-0.0000109334,0.0000090966,0.0000019764,-0.0000053547,0.0000129203
West Virginia,Jefferson,69.52,-0.0000280418,0.0000157949,-0.0000103948,0.0000259617,0.0000224592,0.0000284451
West Virginia,Kanawha,33.19,-0.0000009675,-0.0000006957,0.0000170190,0.0000055210,0.0000008229,0.0000108733
West Virginia,Lewis,39.28,-0.0000066430,-0.0000057374,0.0000072491,0.0000044215,-0.0000022126,0.0000143208
West Virginia,Lincoln,45.32,0.0000059161,-0.0000060935,0.0000101003,-0.0000003177,0.0000004914,-0.0000001789
West Virginia,Logan,67.61,0.0000130037,-0.0000165346,0.0000120368,-0.0000068973,-0.0000027688,-0.0000110104
West Virginia,McDowell,64.72,0.0000192520,-0.0000258797,0.0000165647,-0.0000170518,-0.0000038861,-0.0000293832
West Virginia,Marion,32.15,-0.0000144502,0.0000009347,0.0000000876,0.0000136902,0.0000071796,0.0000213097
West Virginia,Marshall,60.94,-0.0000027073,-0.0000119397,0.0000054393,0.0000056560,0.0000065088,0.0000058797
West Virginia,Mason,59.04,0.0000010271,-0.0000099596,0.0000071219,0.0000033687,0.0000031363,0.0000051841
West Virginia,Mercer,37.22,0.0000109567,-0.0000194111,0.0000043197,-0.0000076877,0.0000147507,-0.0000319978
West Virginia,Mineral,63.19,-0.0000144197,-0.0000107597,0.0000086260,0.0000110613,0.0000177366,0.0000037819
West Virginia,Mingo,56.52,0.0000083395,-0.0000166448,0.0000148866,-0.0000016126,0.0000005807,-0.0000036010
West Virginia,Monongalia,55.10,-0.0000176846,0.0000056254,-0.0000012399,0.0000150266,0.0000158770,0.0000131421
West Virginia,Monroe,34.08,-0.0000127911,-0.0000065984,0.0000056811,0.0000143626,0.0000341387,-0.0000099045
West Virginia,Morgan,53.31,-0.0000140361,0.0000040791,-0.0000036448,0.0000151394,0.0000127690,0.0000173825
West Virginia,Nicholas,42.41,-0.0000088586,-0.0000013423,-0.0000005388,0.0000103375,0.0000134387,0.0000063523
West Virginia,Ohio,53.65,-0.0000071726,-0.0000076231,-0.0000002079,0.0000086510,0.0000125137,0.0000036022
West Virginia,Pendleton,64.01,-0.0000029573,-0.0000107837,-0.0000131347,0.0000043220,0.0000112972,-0.0000024903
West Virginia,Pleasants,26.74,-0.0000058994,-0.0000039933,0.0000020939,0.0000075877,-0.0000002516,0.0000181993
West Virginia,Pocahontas,47.15,-0.0000082485,-0.0000075300,0.0000104381,0.0000082732,0.0000198196,-0.0000053051
West Virginia,Preston,47.88,-0.0000103814,-0.0000060278,0.0000091029,0.0000088836,0.0000185045,-0.0000024078
West Virginia,Putnam,47.85,-0.0000006153,-0.0000035068,0.0000098002,0.0000044734,0.0000011156,0.0000092403
West Virginia,Raleigh,37.83,0.0000010881,-0.0000088925,0.0000284188,0.0000012339,0.0000192176,-0.0000190875
West Virginia,Randolph,46.81,0.0000024037,-0.0000130092,0.0000177582,-0.0000009469,0.0000034531,-0.0000028627
West Virginia,Ritchie,36.44,-0.0000042180,-0.0000071659,0.0000078401,0.0000050340,-0.0000034695,0.0000172087
West Virginia,Roane,44.76,0.0000019429,-0.0000112417,0.0000101986,0.0000007865,-0.0000092732,0.0000153995
West Virginia,Summers,31.16,-0.0000064356,-0.0000028420,0.0000117246,0.0000086306,0.0000291125,-0.0000156572
West Virginia,Taylor,40.14,-0.0000145864,0.0000050721,0.0000000426,0.0000125543,0.0000071918,0.0000192198
West Virginia,Tucker,59.28,-0.0000012143,-0.0000127815,0.0000113920,0.0000019131,0.0000086275,-0.0000039438
West Virginia,Tyler,25.82,-0.0000051417,-0.0000022525,-0.0000002427,0.0000076325,0.0000023296,0.0000155946
West Virginia,Upshur,48.46,-0.0000001504,-0.0000116660,0.0000148549,0.0000008927,-0.0000034338,0.0000085058
West Virginia,Wayne,58.68,0.0000056155,-0.0000063069,0.0000089711,0.0000020025,0.0000049088,-0.0000011322
West Virginia,Webster,47.61,-0.0000051214,-0.0000223729,0.0000027146,0.0000056549,0.0000140592,-0.0000031865
