State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Wisconsin,Adams,70.98,-0.0000050504,0.0000081691,0.0000027358,0.0000059546,0.0000046286,0.0000069275
Wisconsin,Ashland,63.33,-0.0000037297,0.0000018321,0.0000030232,0.0000062492,0.0000054184,0.0000061020
Wisconsin,Barron,53.99,-0.0000083735,0.0000103082,-0.0000139357,0.0000102815,0.0000018055,0.0000191311
Wisconsin,Bayfield,51.73,0.0000018465,-0.0000058730,-0.0000079616,0.0000015034,-0.0000008050,0.0000032139
Wisconsin,Brown,56.05,-0.0000205585,0.0000135449,0.0000088487,0.0000188871,0.0000107775,0.0000266748
Wisconsin,Buffalo,36.82,-0.0000142534,0.0000061824,-0.0000000707,0.0000147741,0.0000063580,0.0000236488
Wisconsin,Burnett,65.19,-0.0000073260,0.0000134023,-0.0000047746,0.0000080982,0.0000052485,0.0000089566
Wisconsin,Calumet,59.94,-0.0000235196,0.0000158306,0.0000109863,0.0000217976,0.0000140527,0.0000292752
Wisconsin,Chippewa,45.08,-0.0000033281,0.0000064266,-0.0000037159,0.0000060353,0.0000008583,0.0000113355
Wisconsin,Clark,26.66,0.0000047065,-0.0000012910,0.0000003667,-0.0000014360,-0.0000078563,0.0000052054
Wisconsin,Columbia,70.80,-0.0000076775,0.0000074217,0.0000120935,0.0000079035,0.0000079108,0.0000072349
Wisconsin,Crawford,44.35,-0.0000152322,0.0000073646,-0.0000039597,0.0000172534,0.0000096822,0.0000247329
Wisconsin,Dane,65.85,-0.0000066283,0.0000024282,0.0000095812,0.0000077389,0.0000061854,0.0000092789
Wisconsin,Dodge,46.84,-0.0000125433,0.0000099934,0.0000008121,0.0000130382,0.0000061793,0.0000196721
Wisconsin,Door,60.42,-0.0000253791,0.0000180762,-0.0000107806,0.0000241085,0.0000150329,0.0000317555
Wisconsin,Douglas,36.89,0.0000028240,-0.0000029992,-0.0000098675,-0.0000008147,-0.0000028511,0.0000006153
Wisconsin,Dunn,43.03,-0.0000097991,0.0000098359,-0.0000082830,0.0000112878,0.0000012988,0.0000221250
Wisconsin,Eau Claire,38.85,-0.0000020989,0.0000058605,-0.0000053823,0.0000047745,-0.0000027655,0.0000127480
Wisconsin,Florence,38.19,-0.0000083338,0.0000063806,0.0000017866,0.0000089698,-0.0000003834,0.0000161016
Wisconsin,Fond du Lac,72.97,-0.0000196573,0.0000157546,0.0000108044,0.0000190620,0.0000147843,0.0000221981
Wisconsin,Forest,40.74,-0.0000070272,0.0000076404,0.0000041657,0.0000078159,-0.0000023002,0.0000164084
Wisconsin,Grant,33.56,-0.0000121656,0.0000015088,0.0000070449,0.0000147077,0.0000047486,0.0000249353
Wisconsin,Green,66.99,-0.0000124708,0.0000038720,0.0000076011,0.0000142756,0.0000143329,0.0000122029
Wisconsin,Green Lake,81.40,-0.0000137701,0.0000133181,0.0000094204,0.0000138925,0.0000111629,0.0000155135
Wisconsin,Iowa,32.20,-0.0000075958,0.0000018724,0.0000068545,0.0000100896,0.0000012125,0.0000192562
Wisconsin,Iron,59.48,-0.0000062917,0.0000052963,0.0000139758,0.0000085011,0.0000072680,0.0000083923
Wisconsin,Jackson,30.25,0.0000051719,-0.0000005094,-0.0000060698,-0.0000021804,-0.0000122058,0.0000088696
Wisconsin,Jefferson,37.74,-0.0000092593,0.0000035986,0.0000004520,0.0000107812,0.0000058527,0.0000162252
Wisconsin,Juneau,76.70,-0.0000055182,0.0000089627,-0.0000057031,0.0000063984,0.0000055628,0.0000064491
Wisconsin,Kenosha,82.07,-0.0000116264,0.0000075689,0.0000115045,0.0000134404,0.0000124883,0.0000132331
Wisconsin,Kewaunee,49.65,-0.0000241283,0.0000141264,0.0000018581,0.0000218448,0.0000124961,0.0000305915
Wisconsin,La Crosse,34.94,0.0000004054,0.0000001547,-0.0000075339,0.0000027479,-0.0000008727,0.0000072065
Wisconsin,Lafayette,50.95,-0.0000075074,-0.0000020539,0.0000044536,0.0000104363,0.0000074052,0.0000122190
