State,County,Composite Score,heater_z Slope,cooler_z Slope,precip_z Slope,temp_a_z Slope,temp_max_z Slope,temp_min_z Slope
Wyoming,Albany,52.17,-0.0000337951,0.0000238201,0.0000053285,0.0000306776,0.0000217995,0.0000449244
Wyoming,Big Horn,65.90,-0.0000158603,0.0000103359,0.0000208039,0.0000133449,0.0000069644,0.0000209824
Wyoming,Campbell,71.54,-0.0000171776,0.0000191312,-0.0000267831,0.0000151866,0.0000215781,0.0000032034
Wyoming,Carbon,42.77,-0.0000354665,0.0000296472,0.0000188985,0.0000279803,0.0000138344,0.0000630947
Wyoming,Converse,67.44,-0.0000572326,0.0000323749,-0.0000140008,0.0000523676,0.0000451644,0.0000520096
Wyoming,Crook,70.25,-0.0000144249,0.0000195896,-0.0000257892,0.0000117064,0.0000245718,-0.0000080466
Wyoming,Fremont,37.06,-0.0000220689,0.0000190513,0.0000004980,0.0000190561,0.0000082212,0.0000410619
Wyoming,Goshen,46.47,-0.0000360068,0.0000176234,-0.0000012025,0.0000345231,0.0000241122,0.0000481540
Wyoming,Hot Springs,46.19,-0.0000263930,0.0000230932,-0.0000041378,0.0000231119,0.0000124330,0.0000414611
Wyoming,Johnson,72.81,-0.0000196073,0.0000191528,-0.0000022966,0.0000169372,0.0000207550,0.0000102212
Wyoming,Laramie,61.43,-0.0000225152,0.0000209026,-0.0000014954,0.0000241727,0.0000201024,0.0000297516
Wyoming,Lincoln,57.02,-0.0000349426,0.0000126709,-0.0000028078,0.0000307706,0.0000356562,0.0000194650
Wyoming,Natrona,71.31,-0.0000228733,0.0000198909,0.0000043332,0.0000183925,0.0000153227,0.0000222665
Wyoming,Niobrara,66.32,-0.0000528860,0.0000323797,-0.0000074054,0.0000479226,0.0000396291,0.0000520564
Wyoming,Park,43.12,-0.0000208952,0.0000098750,-0.0000072192,0.0000184687,0.0000080384,0.0000308379
Wyoming,Platte,57.51,-0.0000395678,0.0000273465,-0.0000066679,0.0000364341,0.0000269547,0.0000478837
Wyoming,Sheridan,86.16,-0.0000212937,0.0000234871,0.0000210770,0.0000174097,0.0000155212,0.0000191056
Wyoming,Sublette,56.74,-0.0000285707,0.0000101444,0.0000122007,0.0000255542,0.0000332238,0.0000093848
Wyoming,Sweetwater,62.30,-0.0000504140,0.0000300925,0.0000036084,0.0000430727,0.0000340865,0.0000485350
Wyoming,Teton,58.75,-0.0000270982,0.0000031231,-0.0000117880,0.0000246153,0.0000262697,0.0000214619
Wyoming,Uinta,56.21,-0.0000516701,0.0000163771,-0.0000062083,0.0000450948,0.0000411217,0.0000452776
Wyoming,Washakie,56.12,-0.0000266633,0.0000182682,-0.0000005003,0.0000232500,0.0000172059,0.0000306674
Wyoming,Weston,82.60,-0.0000322565,0.0000262620,-0.0000288173,0.0000287097,0.0000346349,0.0000179202
